,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,"5,716","64,625,000","1,236,860,420",19.08,20191231,19.05,19.25,0.00,0.14,00637L,元大滬深300正2,19.13
1,"13,331","167,858,958","3,185,248,826",19.22,20191230,18.68,19.3,0.0,0.27,00637L,元大滬深300正2,18.85
2,"13,343","165,300,991","3,132,238,409",18.95,20191227,18.69,19.11,0.0,0.37,00637L,元大滬深300正2,18.73
3,"4,034","47,910,200","888,509,658",18.58,20191226,18.42,18.63,0.0,0.15,00637L,元大滬深300正2,18.46
4,"5,528","57,416,190","1,060,763,027",18.43,20191225,18.4,18.61,0.0,0.1,00637L,元大滬深300正2,18.6
5,"7,399","70,099,019","1,296,347,695",18.53,20191224,18.31,18.61,0.0,0.13,00637L,元大滬深300正2,18.61
6,"7,109","75,687,498","1,427,901,842",18.66,20191223,18.66,19.04,0.0,0.29,00637L,元大滬深300正2,19.02
7,"6,107","95,048,995","1,808,222,155",18.95,20191220,18.93,19.12,0.0,0.06,00637L,元大滬深300正2,19.0
8,"6,296","70,787,157","1,343,826,046",18.89,20191219,18.88,19.12,0.0,0.21,00637L,元大滬深300正2,19.07
9,"8,251","86,846,800","1,657,755,207",19.1,20191218,18.96,19.19,0.0,0.03,00637L,元大滬深300正2,19.07
10,"18,147","200,355,276","3,763,823,475",19.13,20191217,18.52,19.13,0.0,0.72,00637L,元大滬深300正2,18.6
11,"6,246","79,812,200","1,476,035,660",18.41,20191216,18.39,18.58,0.0,0.02,00637L,元大滬深300正2,18.57
12,"16,280","174,513,605","3,210,638,612",18.43,20191213,18.25,18.51,0.0,0.49,00637L,元大滬深300正2,18.3
13,"6,415","90,425,000","1,634,860,690",17.94,20191212,17.94,18.2,0.0,0.07,00637L,元大滬深300正2,18.07
14,"2,665","41,938,600","755,527,351",18.01,20191211,17.92,18.07,0.0,0.03,00637L,元大滬深300正2,18.03
15,"2,668","40,129,258","719,189,509",17.98,20191210,17.83,18.0,0.0,0.04,00637L,元大滬深300正2,17.89
16,"5,937","68,910,565","1,243,232,113",17.94,20191209,17.92,18.15,0.0,0.03,00637L,元大滬深300正2,18.11
