,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,1,100,944,9.44,20191122,9.44,9.44,0.00,0.15,00657K,國泰日經225+U,9.44
1,1,100,929,9.29,20191121,9.29,9.29,0.0,0.13,00657K,國泰日經225+U,9.29
2,1,100,942,9.42,20191120,9.42,9.42,0.0,0.08,00657K,國泰日經225+U,9.42
3,1,100,950,9.50,20191119,9.50,9.50,0.0,0.02,00657K,國泰日經225+U,9.50
4,1,100,952,9.52,20191118,9.52,9.52,0.0,0.04,00657K,國泰日經225+U,9.52
5,1,100,948,9.48,20191115,9.48,9.48,0.0,0.08,00657K,國泰日經225+U,9.48
6,1,100,940,9.40,20191114,9.40,9.40,0.0,0.11,00657K,國泰日經225+U,9.40
7,1,100,951,9.51,20191113,9.51,9.51,0.0,0.04,00657K,國泰日經225+U,9.51
8,1,100,955,9.55,20191112,9.55,9.55,0.0,0.04,00657K,國泰日經225+U,9.55
9,1,100,951,9.51,20191111,9.51,9.51,0.0,0.04,00657K,國泰日經225+U,9.51
10,1,100,955,9.55,20191108,9.55,9.55,0.0,0.05,00657K,國泰日經225+U,9.55
11,1,100,950,9.50,20191107,9.50,9.50,0.0,0.01,00657K,國泰日經225+U,9.50
12,1,100,951,9.51,20191106,9.51,9.51,0.0,0.01,00657K,國泰日經225+U,9.51
13,1,100,952,9.52,20191105,9.52,9.52,0.0,0.12,00657K,國泰日經225+U,9.52
14,1,100,940,9.40,20191104,9.40,9.40,0.0,0.1,00657K,國泰日經225+U,9.40
15,1,100,930,9.30,20191101,9.30,9.30,0.0,0.05,00657K,國泰日經225+U,9.30
16,1,100,935,9.35,20191031,9.35,9.35,0.0,0.05,00657K,國泰日經225+U,9.35
17,1,100,930,9.30,20191030,9.30,9.30,0.0,0.05,00657K,國泰日經225+U,9.30
18,1,100,935,9.35,20191029,9.35,9.35,0.0,0.05,00657K,國泰日經225+U,9.35
19,1,100,930,9.30,20191028,9.30,9.30,0.0,0.05,00657K,國泰日經225+U,9.30
20,1,100,925,9.25,20191025,9.25,9.25,0.0,0.01,00657K,國泰日經225+U,9.25
21,1,100,926,9.26,20191024,9.26,9.26,0.0,0.09,00657K,國泰日經225+U,9.26
22,1,100,917,9.17,20191023,9.17,9.17,0.0,0.06,00657K,國泰日經225+U,9.17
23,1,100,923,9.23,20191022,9.23,9.23,0.0,0.06,00657K,國泰日經225+U,9.23
24,1,100,917,9.17,20191021,9.17,9.17,0.0,0.03,00657K,國泰日經225+U,9.17
25,1,100,914,9.14,20191018,9.14,9.14,0.0,0.02,00657K,國泰日經225+U,9.14
26,1,100,912,9.12,20191017,9.12,9.12,0.0,0.0,00657K,國泰日經225+U,9.12
27,1,100,912,9.12,20191016,9.12,9.12,0.0,0.08,00657K,國泰日經225+U,9.12
28,1,100,904,9.04,20191015,9.04,9.04,0.0,0.05,00657K,國泰日經225+U,9.04
29,1,100,899,8.99,20191014,8.99,8.99,0.0,0.33,00657K,國泰日經225+U,8.99
30,1,100,866,8.66,20191009,8.66,8.66,0.0,0.07,00657K,國泰日經225+U,8.66
31,1,100,873,8.73,20191008,8.73,8.73,0.0,0.11,00657K,國泰日經225+U,8.73
32,1,100,862,8.62,20191007,8.62,8.62,0.0,0.01,00657K,國泰日經225+U,8.62
33,1,100,861,8.61,20191004,8.61,8.61,0.0,0.05,00657K,國泰日經225+U,8.61
34,1,100,856,8.56,20191003,8.56,8.56,0.0,0.17,00657K,國泰日經225+U,8.56
35,1,100,873,8.73,20191002,8.73,8.73,0.0,0.08,00657K,國泰日經225+U,8.73
36,1,100,881,8.81,20191001,8.81,8.81,0.0,0.03,00657K,國泰日經225+U,8.81
37,1,100,878,8.78,20190927,8.78,8.78,0.0,0.04,00657K,國泰日經225+U,8.78
38,1,100,882,8.82,20190926,8.82,8.82,0.0,0.02,00657K,國泰日經225+U,8.82
39,1,100,880,8.80,20190925,8.80,8.80,0.0,0.05,00657K,國泰日經225+U,8.80
40,1,100,885,8.85,20190924,8.85,8.85,0.0,0.0,00657K,國泰日經225+U,8.85
41,0,0,0,--,20190923,--,--,0.0,0.0,00657K,國泰日經225+U,--
42,1,100,885,8.85,20190920,8.85,8.85,0.0,0.0,00657K,國泰日經225+U,8.85
43,1,100,885,8.85,20190919,8.85,8.85,0.0,0.04,00657K,國泰日經225+U,8.85
44,1,100,881,8.81,20190918,8.81,8.81,0.0,0.01,00657K,國泰日經225+U,8.81
45,1,100,882,8.82,20190917,8.82,8.82,0.0,0.05,00657K,國泰日經225+U,8.82
46,1,100,877,8.77,20190916,8.77,8.77,0.0,0.07,00657K,國泰日經225+U,8.77
47,1,100,870,8.7,20190912,8.7,8.7,0.0,0.13,00657K,國泰日經225+U,8.7
48,1,100,857,8.57,20190911,8.57,8.57,0.0,0.07,00657K,國泰日經225+U,8.57
49,1,100,850,8.5,20190910,8.5,8.5,0.0,0.02,00657K,國泰日經225+U,8.5
50,1,100,848,8.48,20190909,8.48,8.48,0.0,0.04,00657K,國泰日經225+U,8.48
51,1,100,844,8.44,20190906,8.44,8.44,0.0,0.07,00657K,國泰日經225+U,8.44
52,1,100,837,8.37,20190905,8.37,8.37,0.0,0.23,00657K,國泰日經225+U,8.37
53,1,100,814,8.14,20190904,8.14,8.14,0.0,0.01,00657K,國泰日經225+U,8.14
54,2,200,"1,626",8.13,20190903,8.13,8.13,0.0,0.04,00657K,國泰日經225+U,8.13
55,1,100,817,8.17,20190902,8.17,8.17,0.0,0.03,00657K,國泰日經225+U,8.17
56,1,100,820,8.2,20190830,8.2,8.2,0.0,0.13,00657K,國泰日經225+U,8.2
57,1,100,807,8.07,20190829,8.07,8.07,0.0,0.03,00657K,國泰日經225+U,8.07
58,1,100,810,8.1,20190828,8.1,8.1,0.0,0.02,00657K,國泰日經225+U,8.1
59,1,100,808,8.08,20190827,8.08,8.08,0.0,0.11,00657K,國泰日經225+U,8.08
60,1,100,797,7.97,20190826,7.97,7.97,0.0,0.2,00657K,國泰日經225+U,7.97
61,1,100,817,8.17,20190823,8.17,8.17,0.0,0.01,00657K,國泰日經225+U,8.17
62,1,100,816,8.16,20190822,8.16,8.16,0.0,0.01,00657K,國泰日經225+U,8.16
63,1,100,817,8.17,20190821,8.17,8.17,0.0,0.01,00657K,國泰日經225+U,8.17
64,1,100,816,8.16,20190820,8.16,8.16,0.0,0.02,00657K,國泰日經225+U,8.16
65,1,100,814,8.14,20190819,8.14,8.14,0.0,0.07,00657K,國泰日經225+U,8.14
66,1,100,807,8.07,20190816,8.07,8.07,0.0,0.06,00657K,國泰日經225+U,8.07
67,1,100,801,8.01,20190815,8.01,8.01,0.0,0.18,00657K,國泰日經225+U,8.01
68,1,100,819,8.19,20190814,8.19,8.19,0.0,0.12,00657K,國泰日經225+U,8.19
69,1,100,807,8.07,20190813,8.07,8.07,0.0,0.05,00657K,國泰日經225+U,8.07
70,1,100,812,8.12,20190812,8.12,8.12,0.0,0.01,00657K,國泰日經225+U,8.12
