,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,3,"41,000","767,510",18.71,20191231,18.71,18.72,0.00,0.00,00684R,元大美元指數反1,18.72
1,3,"41,000","763,110",18.71,20191230,18.61,18.71,0.0,0.19,00684R,元大美元指數反1,18.61
2,2,"40,000","740,800",18.52,20191227,18.52,18.52,0.0,0.05,00684R,元大美元指數反1,18.52
3,4,"44,000","814,660",18.57,20191226,18.51,18.57,0.0,0.07,00684R,元大美元指數反1,18.51
4,2,"40,000","740,000",18.50,20191225,18.50,18.50,0.0,0.03,00684R,元大美元指數反1,18.50
5,3,"41,000","757,250",18.47,20191224,18.45,18.47,0.0,0.1,00684R,元大美元指數反1,18.45
6,10,"99,000","1,827,070",18.37,20191223,18.37,18.48,0.0,0.24,00684R,元大美元指數反1,18.45
7,3,"41,000","762,610",18.61,20191220,18.60,18.61,0.0,0.04,00684R,元大美元指數反1,18.60
8,3,"41,000","760,970",18.57,20191219,18.56,18.57,0.0,0.02,00684R,元大美元指數反1,18.56
9,3,"43,000","797,620",18.55,20191218,18.54,18.55,0.0,0.04,00684R,元大美元指數反1,18.54
10,4,"42,000","780,750",18.59,20191217,18.56,18.59,0.0,0.0,00684R,元大美元指數反1,18.56
11,2,"40,000","743,600",18.59,20191216,18.59,18.59,0.0,0.11,00684R,元大美元指數反1,18.59
12,7,"48,000","895,110",18.70,20191213,18.63,18.70,0.0,0.1,00684R,元大美元指數反1,18.63
13,3,"43,000","799,800",18.60,20191212,18.60,18.60,0.0,0.06,00684R,元大美元指數反1,18.60
14,2,"40,000","741,600",18.54,20191211,18.54,18.54,0.0,0.01,00684R,元大美元指數反1,18.54
15,2,"40,000","741,200",18.53,20191210,18.53,18.53,0.0,0.0,00684R,元大美元指數反1,18.53
16,2,"40,000","741,200",18.53,20191209,18.53,18.53,0.0,0.21,00684R,元大美元指數反1,18.53
17,3,"41,000","762,340",18.74,20191206,18.59,18.74,0.0,0.22,00684R,元大美元指數反1,18.59
18,3,"10,000","185,230",18.52,20191205,18.52,18.53,0.0,0.01,00684R,元大美元指數反1,18.53
19,1,"3,000","55,530",18.51,20191204,18.51,18.51,0.0,0.04,00684R,元大美元指數反1,18.51
20,3,"5,000","92,340",18.47,20191203,18.46,18.47,0.0,0.0,00684R,元大美元指數反1,18.46
21,0,0,0,--,20191202,--,--,0.0,0.0,00684R,元大美元指數反1,--
22,1,"2,000","36,800",18.40,20191129,18.40,18.40,0.0,0.01,00684R,元大美元指數反1,18.40
23,2,"3,000","55,170",18.39,20191128,18.39,18.39,0.0,0.02,00684R,元大美元指數反1,18.39
24,1,"3,000","55,230",18.41,20191127,18.41,18.41,0.0,0.0,00684R,元大美元指數反1,18.41
25,0,0,0,--,20191126,--,--,0.0,0.0,00684R,元大美元指數反1,--
26,0,0,0,--,20191125,--,--,0.0,0.0,00684R,元大美元指數反1,--
27,0,0,0,--,20191122,--,--,0.0,0.0,00684R,元大美元指數反1,--
28,6,"101,000","1,864,490",18.46,20191121,18.46,18.49,0.0,0.03,00684R,元大美元指數反1,18.49
29,1,"6,000","110,940",18.49,20191120,18.49,18.49,0.0,0.02,00684R,元大美元指數反1,18.49
30,2,"4,000","74,030",18.51,20191119,18.50,18.51,0.0,0.04,00684R,元大美元指數反1,18.50
31,2,"3,000","55,410",18.47,20191118,18.47,18.47,0.0,0.0,00684R,元大美元指數反1,18.47
32,0,0,0,--,20191115,--,--,0.0,0.0,00684R,元大美元指數反1,--
33,0,0,0,--,20191114,--,--,0.0,0.0,00684R,元大美元指數反1,--
34,0,0,0,--,20191113,--,--,0.0,0.0,00684R,元大美元指數反1,--
35,3,"12,000","221,150",18.43,20191112,18.42,18.43,0.0,0.1,00684R,元大美元指數反1,18.42
36,1,"6,000","111,180",18.53,20191111,18.53,18.53,0.0,0.08,00684R,元大美元指數反1,18.53
37,4,"21,000","387,450",18.45,20191108,18.45,18.45,0.0,0.07,00684R,元大美元指數反1,18.45
38,5,"45,000","833,400",18.52,20191107,18.52,18.52,0.0,0.08,00684R,元大美元指數反1,18.52
39,3,"5,000","93,100",18.60,20191106,18.60,18.65,0.0,0.11,00684R,元大美元指數反1,18.65
40,2,"8,000","148,910",18.71,20191105,18.60,18.71,0.0,0.04,00684R,元大美元指數反1,18.60
41,3,"26,000","486,070",18.67,20191104,18.67,18.70,0.0,0.04,00684R,元大美元指數反1,18.70
42,1,"2,000","37,420",18.71,20191101,18.71,18.71,0.0,0.02,00684R,元大美元指數反1,18.71
43,5,"24,000","448,550",18.69,20191031,18.68,18.69,0.0,0.07,00684R,元大美元指數反1,18.68
44,1,"2,000","37,240",18.62,20191030,18.62,18.62,0.0,0.0,00684R,元大美元指數反1,18.62
45,0,0,0,--,20191029,--,--,0.0,0.0,00684R,元大美元指數反1,--
