,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,2,"3,000","55,080",18.36,20191122,18.36,18.36,0.00,0.00,00763U,國票道瓊銅,18.36
1,0,0,0,--,20191121,--,--,0.0,0.0,00763U,國票道瓊銅,--
2,2,"2,000","37,100",18.55,20191120,18.55,18.55,0.0,0.14,00763U,國票道瓊銅,18.55
3,9,"10,000","183,910",18.41,20191119,18.36,18.42,0.0,0.14,00763U,國票道瓊銅,18.42
4,1,"1,000","18,550",18.55,20191118,18.55,18.55,0.0,0.0,00763U,國票道瓊銅,18.55
5,0,0,0,--,20191115,--,--,0.0,0.0,00763U,國票道瓊銅,--
6,2,"2,000","37,000",18.50,20191114,18.50,18.50,0.0,0.0,00763U,國票道瓊銅,18.50
7,3,"3,000","55,500",18.50,20191113,18.50,18.50,0.0,0.19,00763U,國票道瓊銅,18.50
8,2,"2,000","37,380",18.69,20191112,18.69,18.69,0.0,0.01,00763U,國票道瓊銅,18.69
9,9,"82,000","1,532,360",18.68,20191111,18.63,18.70,0.0,0.21,00763U,國票道瓊銅,18.69
10,16,"58,000","1,095,060",18.89,20191108,18.86,18.89,0.0,0.16,00763U,國票道瓊銅,18.87
11,3,"3,000","56,210",18.73,20191107,18.73,18.75,0.0,0.1,00763U,國票道瓊銅,18.75
12,19,"26,000","488,920",18.83,20191106,18.79,18.83,0.0,0.11,00763U,國票道瓊銅,18.81
13,6,"31,000","577,350",18.72,20191105,18.62,18.72,0.0,0.13,00763U,國票道瓊銅,18.62
14,6,"7,000","130,080",18.59,20191104,18.58,18.59,0.0,0.04,00763U,國票道瓊銅,18.58
15,4,"11,000","203,850",18.55,20191101,18.50,18.55,0.0,0.18,00763U,國票道瓊銅,18.55
16,9,"30,000","561,910",18.73,20191031,18.72,18.77,0.0,0.01,00763U,國票道瓊銅,18.72
17,4,"5,000","93,780",18.72,20191030,18.72,18.77,0.0,0.0,00763U,國票道瓊銅,18.77
18,5,"7,000","131,050",18.72,20191029,18.72,18.73,0.0,0.01,00763U,國票道瓊銅,18.72
19,7,"8,000","149,980",18.73,20191028,18.73,18.75,0.0,0.13,00763U,國票道瓊銅,18.75
20,3,"3,000","55,880",18.60,20191025,18.60,18.66,0.0,0.02,00763U,國票道瓊銅,18.66
21,13,"17,000","317,240",18.62,20191024,18.62,18.68,0.0,0.17,00763U,國票道瓊銅,18.68
22,3,"5,000","92,250",18.45,20191023,18.45,18.45,0.0,0.07,00763U,國票道瓊銅,18.45
23,7,"56,000","1,037,780",18.52,20191022,18.51,18.55,0.0,0.06,00763U,國票道瓊銅,18.55
