,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,12,"682,000","6,973,440",10.23,20191122,10.22,10.23,0.00,0.01,01010T,京城樂富R1,10.23
1,28,"789,000","8,067,830",10.24,20191121,10.21,10.25,0.0,0.01,01010T,京城樂富R1,10.25
2,27,"473,000","4,841,950",10.25,20191120,10.23,10.25,0.0,0.01,01010T,京城樂富R1,10.23
3,16,"79,000","808,460",10.24,20191119,10.23,10.24,0.0,0.02,01010T,京城樂富R1,10.23
4,36,"395,000","4,037,920",10.22,20191118,10.22,10.24,0.0,0.0,01010T,京城樂富R1,10.22
5,13,"222,000","2,268,880",10.22,20191115,10.22,10.23,0.0,0.01,01010T,京城樂富R1,10.22
6,19,"632,000","6,452,520",10.21,20191114,10.2,10.23,0.0,0.01,01010T,京城樂富R1,10.21
7,21,"421,000","4,300,780",10.22,20191113,10.21,10.23,0.0,0.01,01010T,京城樂富R1,10.23
8,8,"138,000","1,410,590",10.23,20191112,10.22,10.23,0.0,0.0,01010T,京城樂富R1,10.23
9,15,"267,000","2,729,640",10.23,20191111,10.22,10.24,0.0,0.01,01010T,京城樂富R1,10.24
10,14,"175,000","1,790,410",10.24,20191108,10.22,10.25,0.0,0.01,01010T,京城樂富R1,10.25
11,14,"61,000","623,400",10.25,20191107,10.21,10.25,0.0,0.01,01010T,京城樂富R1,10.22
12,13,"149,000","1,523,250",10.24,20191106,10.21,10.24,0.0,0.02,01010T,京城樂富R1,10.21
13,19,"209,000","2,132,450",10.22,20191105,10.2,10.22,0.0,0.02,01010T,京城樂富R1,10.2
14,17,"240,000","2,448,270",10.2,20191104,10.2,10.21,0.0,0.0,01010T,京城樂富R1,10.2
15,42,"541,000","5,510,690",10.2,20191101,10.15,10.2,0.0,0.05,01010T,京城樂富R1,10.15
16,18,"238,000","2,415,200",10.15,20191031,10.14,10.16,0.0,0.01,01010T,京城樂富R1,10.14
17,6,"71,000","719,940",10.14,20191030,10.14,10.14,0.0,0.0,01010T,京城樂富R1,10.14
18,35,"493,000","4,996,420",10.14,20191029,10.12,10.17,0.0,0.0,01010T,京城樂富R1,10.14
19,30,"237,000","2,405,690",10.14,20191028,10.13,10.17,0.0,0.01,01010T,京城樂富R1,10.15
20,16,"120,000","1,217,370",10.15,20191025,10.14,10.15,0.0,0.01,01010T,京城樂富R1,10.14
