,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,"1,785","2,800,640","104,381,532",37.40,20191122,36.90,37.40,10.03,0.65,2347,聯強,36.90
1,"2,106","3,679,873","135,877,776",36.75,20191121,36.75,37.15,9.85,0.4,2347,聯強,36.95
2,"1,146","2,135,409","79,383,322",37.15,20191120,37.05,37.35,9.96,0.1,2347,聯強,37.25
3,"2,204","4,150,676","154,559,372",37.25,20191119,37.05,37.35,9.99,0.3,2347,聯強,37.35
4,"1,392","2,651,522","99,699,039",37.55,20191118,37.4,37.7,10.07,0.0,2347,聯強,37.55
5,"2,147","3,206,385","120,145,043",37.55,20191115,37.2,37.7,10.07,0.25,2347,聯強,37.3
6,"2,165","4,515,266","169,281,399",37.3,20191114,37.3,37.9,10.0,0.6,2347,聯強,37.9
7,"3,740","6,674,941","251,630,808",37.9,20191113,37.1,38.0,10.16,0.45,2347,聯強,37.35
8,"3,216","7,385,965","273,877,675",37.45,20191112,36.55,37.5,10.04,0.95,2347,聯強,36.7
9,"1,806","4,320,295","157,634,759",36.5,20191111,36.35,36.65,9.79,0.0,2347,聯強,36.6
10,"1,259","2,068,791","75,324,261",36.5,20191108,36.3,36.6,9.79,0.0,2347,聯強,36.6
11,924,"1,593,848","58,231,300",36.5,20191107,36.45,36.7,10.0,0.2,2347,聯強,36.7
12,"2,074","4,051,659","148,708,357",36.7,20191106,36.35,36.85,10.05,0.4,2347,聯強,36.5
13,"1,080","3,576,874","130,045,976",36.3,20191105,36.25,36.55,9.95,0.1,2347,聯強,36.35
14,"1,545","3,495,911","127,078,448",36.4,20191104,36.25,36.6,9.97,0.05,2347,聯強,36.6
15,752,"1,791,099","65,255,207",36.45,20191101,36.35,36.55,9.99,0.1,2347,聯強,36.35
16,"1,548","3,363,427","122,763,734",36.35,20191031,36.35,36.7,9.96,0.15,2347,聯強,36.6
17,"1,590","3,016,283","109,866,985",36.5,20191030,36.2,36.5,10.0,0.4,2347,聯強,36.2
18,"1,838","3,223,528","116,895,556",36.1,20191029,36.1,36.7,9.89,0.5,2347,聯強,36.7
19,"1,121","1,998,019","73,043,141",36.6,20191028,36.35,36.85,10.03,0.2,2347,聯強,36.85
20,"1,224","2,256,746","82,819,366",36.8,20191025,36.6,36.8,10.08,0.2,2347,聯強,36.7
21,"1,130","2,270,841","82,807,201",36.6,20191024,36.3,36.65,10.03,0.1,2347,聯強,36.5
22,"2,026","4,990,641","182,533,176",36.5,20191023,36.3,36.8,10.0,0.15,2347,聯強,36.35
23,"1,435","4,434,204","161,106,236",36.35,20191022,36.2,36.45,9.96,0.2,2347,聯強,36.35
24,"1,603","3,610,477","130,690,581",36.15,20191021,36.0,36.35,9.9,0.2,2347,聯強,36.25
25,"1,626","5,179,545","186,706,320",35.95,20191018,35.95,36.35,9.85,0.0,2347,聯強,36.15
26,"1,270","2,485,472","89,368,592",35.95,20191017,35.85,36.15,9.85,0.05,2347,聯強,36.0
27,"1,324","2,355,332","84,700,402",36.0,20191016,35.85,36.2,9.86,0.1,2347,聯強,36.2
28,"1,718","2,820,051","101,526,286",35.9,20191015,35.85,36.2,9.84,0.0,2347,聯強,36.0
29,"2,552","4,937,193","179,025,348",35.9,20191014,35.85,36.7,9.84,0.3,2347,聯強,36.65
30,"1,618","3,675,745","133,859,690",36.2,20191009,36.2,36.75,9.92,0.65,2347,聯強,36.5
31,"1,061","2,525,462","92,863,271",36.85,20191008,36.55,36.95,10.1,0.05,2347,聯強,36.6
32,957,"2,710,424","99,900,747",36.8,20191007,36.7,36.95,10.08,0.0,2347,聯強,36.7
33,"1,241","2,215,885","81,023,412",36.8,20191004,36.2,36.8,10.08,0.3,2347,聯強,36.25
34,"1,352","2,718,457","98,925,119",36.5,20191003,36.05,36.55,10.0,0.2,2347,聯強,36.15
35,"1,141","2,116,161","77,292,196",36.7,20191002,36.35,36.75,10.05,0.05,2347,聯強,36.75
36,"1,330","3,071,473","112,594,916",36.75,20191001,36.4,36.95,10.07,0.45,2347,聯強,36.85
37,"1,749","3,324,205","121,303,584",36.3,20190927,36.3,36.95,9.95,0.45,2347,聯強,36.95
38,"1,428","2,802,187","103,179,226",36.75,20190926,36.7,37.0,10.07,0.2,2347,聯強,37.0
39,"1,797","2,846,792","105,064,502",36.95,20190925,36.8,37.1,10.12,0.05,2347,聯強,37.0
40,"1,937","6,008,282","220,736,584",37.0,20190924,36.45,37.0,10.14,0.15,2347,聯強,36.8
41,"1,168","2,266,528","83,642,795",36.85,20190923,36.8,37.05,10.1,0.05,2347,聯強,36.85
42,"2,040","6,376,498","235,386,262",36.8,20190920,36.75,37.1,10.08,0.05,2347,聯強,37.0
43,"1,090","2,539,367","93,420,764",36.75,20190919,36.7,36.95,10.07,0.05,2347,聯強,36.8
44,"1,636","2,356,877","86,823,256",36.8,20190918,36.75,36.9,10.08,0.0,2347,聯強,36.9
45,"1,644","6,099,175","224,266,655",36.8,20190917,36.55,37.05,10.08,0.1,2347,聯強,37.0
46,"1,536","3,447,745","126,608,665",36.9,20190916,36.55,36.9,10.11,0.45,2347,聯強,36.65
47,"3,423","5,784,428","210,986,789",36.45,20190912,36.2,36.95,9.99,0.05,2347,聯強,36.7
48,"2,568","4,312,473","156,926,629",36.4,20190911,36.1,36.85,9.97,0.2,2347,聯強,36.7
49,"2,325","4,119,208","150,324,378",36.6,20190910,36.35,36.75,10.03,0.0,2347,聯強,36.7
50,"1,963","3,402,038","124,069,488",36.6,20190909,36.25,36.8,10.03,0.1,2347,聯強,36.6
51,"1,894","4,381,565","160,568,730",36.5,20190906,36.45,36.95,10.0,0.3,2347,聯強,36.9
52,"1,890","4,019,345","147,095,141",36.8,20190905,36.4,36.85,10.08,0.2,2347,聯強,36.8
53,"1,579","3,231,622","118,048,390",36.6,20190904,36.3,36.75,10.03,0.3,2347,聯強,36.75
54,"1,583","3,455,120","125,746,628",36.3,20190903,36.2,36.8,9.95,0.35,2347,聯強,36.55
55,858,"1,356,835","49,804,809",36.65,20190902,36.6,37.0,10.04,0.35,2347,聯強,37.0
56,"1,678","3,429,882","126,702,834",37.0,20190830,36.75,37.2,10.14,0.4,2347,聯強,36.8
57,"1,127","2,420,362","88,154,196",36.6,20190829,36.15,36.65,10.03,0.2,2347,聯強,36.4
58,"1,151","2,135,448","77,565,245",36.4,20190828,36.05,36.6,9.97,0.1,2347,聯強,36.5
59,"1,613","5,561,868","201,807,246",36.5,20190827,35.9,36.5,10.0,0.4,2347,聯強,36.1
60,"2,234","4,147,768","149,168,100",36.1,20190826,35.75,36.25,9.89,0.5,2347,聯強,36.0
61,"2,307","6,817,400","253,010,497",36.6,20190823,36.35,36.65,10.03,0.0,2347,聯強,36.65
62,"1,821","5,766,468","222,416,871",38.65,20190822,38.4,38.7,10.59,0.35,2347,聯強,38.5
63,"1,823","4,076,920","156,282,471",38.3,20190821,38.15,38.45,10.49,0.25,2347,聯強,38.35
64,"1,409","3,255,816","124,270,872",38.05,20190820,38.05,38.4,10.42,0.15,2347,聯強,38.2
65,"1,209","5,450,507","208,068,411",38.2,20190819,38.0,38.35,10.47,0.0,2347,聯強,38.3
66,"1,521","5,484,286","209,154,221",38.2,20190816,37.45,38.3,10.47,0.45,2347,聯強,37.5
67,"1,372","1,998,213","75,075,881",37.75,20190815,37.15,37.85,10.34,0.15,2347,聯強,37.25
68,"1,274","4,620,135","173,863,118",37.6,20190814,37.4,37.85,10.3,0.25,2347,聯強,37.4
69,"1,520","2,479,223","92,604,383",37.35,20190813,37.25,37.55,10.23,0.2,2347,聯強,37.5
70,"1,758","3,551,841","133,748,751",37.55,20190812,37.3,38.05,10.29,0.35,2347,聯強,37.3
