,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,17,"103,138","5,775,528",55.90,20191119,55.90,56.00,0.00,0.10,2887E,台新戊特,56.00
1,9,"16,162","903,807",56.0,20191118,55.9,56.0,0.0,0.1,2887E,台新戊特,55.9
2,17,"29,090","1,625,693",55.9,20191115,55.9,55.9,0.0,0.0,2887E,台新戊特,55.9
3,22,"80,453","4,503,621",55.9,20191114,55.9,56.0,0.0,0.1,2887E,台新戊特,55.9
4,174,"378,100","21,172,680",56.0,20191113,55.9,56.0,0.0,0.0,2887E,台新戊特,55.9
5,43,"43,375","2,428,786",56.0,20191112,55.9,56.0,0.0,0.0,2887E,台新戊特,56.0
6,47,"150,000","8,398,800",56.0,20191111,55.9,56.0,0.0,0.0,2887E,台新戊特,56.0
7,56,"68,196","3,815,876",56.0,20191108,55.9,56.0,0.0,0.0,2887E,台新戊特,56.0
8,20,"71,193","3,982,149",56.0,20191107,55.9,56.0,0.0,0.1,2887E,台新戊特,55.9
9,22,"110,547","6,185,566",55.9,20191106,55.9,56.0,0.0,0.0,2887E,台新戊特,55.9
10,16,"76,017","4,254,845",55.9,20191105,55.9,56.0,0.0,0.0,2887E,台新戊特,55.9
11,79,"208,583","11,677,631",55.9,20191104,55.9,56.1,0.0,0.2,2887E,台新戊特,56.1
12,60,"78,300","4,392,200",56.1,20191101,56.0,56.1,0.0,0.0,2887E,台新戊特,56.0
13,23,"79,518","4,466,602",56.1,20191031,56.1,56.2,0.0,0.0,2887E,台新戊特,56.1
14,68,"154,124","8,656,355",56.1,20191030,56.1,56.2,0.0,0.0,2887E,台新戊特,56.1
15,45,"52,302","2,934,312",56.1,20191029,56.1,56.2,0.0,0.0,2887E,台新戊特,56.1
16,63,"236,379","13,249,624",56.1,20191028,55.3,56.2,0.0,0.1,2887E,台新戊特,55.3
17,69,"153,692","8,637,389",56.2,20191025,56.1,56.2,0.0,0.0,2887E,台新戊特,56.2
18,37,"70,250","3,948,000",56.2,20191024,56.2,56.2,0.0,0.0,2887E,台新戊特,56.2
19,68,"200,739","11,296,384",56.2,20191023,56.2,56.3,0.0,0.1,2887E,台新戊特,56.2
20,137,"257,500","14,497,248",56.3,20191022,56.3,56.3,0.0,0.0,2887E,台新戊特,56.3
21,105,"201,610","11,350,481",56.3,20191021,56.2,56.3,0.0,0.0,2887E,台新戊特,56.3
22,80,"72,845","4,094,185",56.3,20191018,56.2,56.3,0.0,0.1,2887E,台新戊特,56.2
23,16,"23,649","1,327,344",56.2,20191017,56.1,56.2,0.0,0.1,2887E,台新戊特,56.2
24,87,"80,446","4,512,976",56.1,20191016,56.1,56.1,0.0,0.1,2887E,台新戊特,56.1
25,32,"37,737","2,113,272",56.0,20191015,56.0,56.0,0.0,0.0,2887E,台新戊特,56.0
26,59,"49,924","2,795,644",56.0,20191014,55.9,56.1,0.0,0.0,2887E,台新戊特,56.0
27,29,"24,187","1,352,150",56.0,20191009,55.9,56.0,0.0,0.1,2887E,台新戊特,55.9
28,48,"57,185","3,194,703",55.9,20191008,55.8,55.9,0.0,0.0,2887E,台新戊特,55.9
29,62,"60,825","3,393,868",55.9,20191007,55.7,55.9,0.0,0.1,2887E,台新戊特,55.8
30,38,"36,495","2,035,220",55.8,20191004,55.7,55.8,0.0,0.0,2887E,台新戊特,55.8
31,24,"20,194","1,126,746",55.8,20191003,55.8,55.8,0.0,0.0,2887E,台新戊特,55.8
32,33,"33,000","1,841,400",55.8,20191002,55.8,55.8,0.0,0.0,2887E,台新戊特,55.8
33,31,"36,144","2,016,520",55.8,20191001,55.7,55.8,0.0,0.0,2887E,台新戊特,55.8
34,43,"45,291","2,525,407",55.8,20190927,55.7,55.8,0.0,0.1,2887E,台新戊特,55.8
35,28,"35,592","1,982,473",55.7,20190926,55.7,55.7,0.0,0.0,2887E,台新戊特,55.7
36,58,"70,320","3,916,559",55.7,20190925,55.6,55.7,0.0,0.0,2887E,台新戊特,55.7
37,42,"46,750","2,603,971",55.7,20190924,55.7,55.7,0.0,0.0,2887E,台新戊特,55.7
38,58,"98,040","5,451,314",55.7,20190923,55.4,55.7,0.0,0.1,2887E,台新戊特,55.6
39,19,"18,268","1,016,199",55.6,20190920,55.6,55.7,0.0,0.1,2887E,台新戊特,55.7
40,23,"25,464","1,419,689",55.7,20190919,55.7,55.8,0.0,0.1,2887E,台新戊特,55.8
41,24,"38,601","2,155,734",55.8,20190918,55.8,55.9,0.0,0.1,2887E,台新戊特,55.9
42,10,"8,085","451,242",55.9,20190917,55.8,55.9,0.0,0.1,2887E,台新戊特,55.8
43,39,"58,718","3,273,818",55.8,20190916,55.7,55.9,0.0,0.1,2887E,台新戊特,55.8
44,19,"22,469","1,256,469",55.9,20190912,55.9,56.0,0.0,0.0,2887E,台新戊特,55.9
45,32,"43,547","2,437,866",55.9,20190911,55.9,56.0,0.0,0.0,2887E,台新戊特,56.0
46,52,"90,922","5,081,355",55.9,20190910,55.8,55.9,0.0,0.0,2887E,台新戊特,55.9
47,64,"72,844","4,070,493",55.9,20190909,55.8,56.0,0.0,0.0,2887E,台新戊特,55.9
48,35,"63,211","3,533,130",55.9,20190906,55.8,56.0,0.0,0.0,2887E,台新戊特,55.9
49,10,"4,248","237,211",55.9,20190905,55.8,55.9,0.0,0.1,2887E,台新戊特,55.8
50,40,"140,130","7,819,854",55.8,20190904,55.8,55.9,0.0,0.1,2887E,台新戊特,55.9
51,39,"46,109","2,575,560",55.9,20190903,55.7,55.9,0.0,0.0,2887E,台新戊特,55.9
52,87,"132,000","7,378,600",55.9,20190902,55.8,55.9,0.0,0.0,2887E,台新戊特,55.9
53,207,"256,255","14,324,453",55.9,20190830,55.8,55.9,0.0,0.0,2887E,台新戊特,55.9
54,155,"212,881","11,900,782",55.9,20190829,55.9,56.0,0.0,0.0,2887E,台新戊特,55.9
55,265,"410,460","22,925,766",55.9,20190828,55.7,55.9,0.0,0.0,2887E,台新戊特,55.9
56,248,"408,301","22,813,023",55.9,20190827,55.8,55.9,0.0,0.1,2887E,台新戊特,55.8
57,182,"297,159","16,588,971",55.8,20190826,55.7,55.9,0.0,0.1,2887E,台新戊特,55.9
58,253,"314,128","17,531,240",55.9,20190823,55.8,55.9,0.0,0.1,2887E,台新戊特,55.9
59,152,"305,106","17,033,493",55.8,20190822,55.8,55.9,0.0,0.0,2887E,台新戊特,55.8
60,225,"362,231","20,188,842",55.8,20190821,55.7,55.9,0.0,0.1,2887E,台新戊特,55.7
61,86,"157,055","8,769,645",55.7,20190820,55.6,55.9,0.0,0.1,2887E,台新戊特,55.6
62,83,"153,810","8,569,654",55.6,20190819,55.5,55.8,0.0,0.1,2887E,台新戊特,55.5
63,73,"145,284","8,061,004",55.5,20190816,55.4,55.5,0.0,0.2,2887E,台新戊特,55.4
64,77,"152,216","8,436,800",55.3,20190815,55.1,55.5,0.0,0.1,2887E,台新戊特,55.1
65,85,"173,787","9,613,885",55.2,20190814,55.2,55.5,0.0,0.0,2887E,台新戊特,55.3
66,16,"60,037","3,313,835",55.2,20190813,55.2,55.2,0.0,0.0,2887E,台新戊特,55.2
67,77,"200,018","11,044,484",55.2,20190812,55.1,55.3,0.0,0.0,2887E,台新戊特,55.2
