,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,11,"14,018","764,076",54.50,20191231,54.50,54.60,0.00,0.10,2887F,台新戊特二,54.60
1,10,"8,462","462,378",54.6,20191230,54.6,54.7,0.0,0.5,2887F,台新戊特二,54.7
2,41,"106,485","5,867,020",55.1,20191227,55.1,55.1,0.0,0.2,2887F,台新戊特二,55.1
3,59,"139,862","7,668,034",54.9,20191226,54.8,54.9,0.0,0.2,2887F,台新戊特二,54.8
4,39,"131,516","7,187,517",54.7,20191225,54.5,54.7,0.0,0.2,2887F,台新戊特二,54.5
5,25,"113,698","6,195,168",54.5,20191224,54.4,54.5,0.0,0.0,2887F,台新戊特二,54.5
6,13,"4,107","223,185",54.5,20191223,54.4,54.5,0.0,0.1,2887F,台新戊特二,54.4
7,32,"21,543","1,171,081",54.4,20191220,54.2,54.4,0.0,0.1,2887F,台新戊特二,54.2
8,50,"102,971","5,611,816",54.5,20191219,54.4,54.5,0.0,0.1,2887F,台新戊特二,54.4
9,29,"91,383","4,971,119",54.4,20191218,54.4,54.4,0.0,0.1,2887F,台新戊特二,54.4
10,13,"13,881","753,074",54.3,20191217,54.1,54.5,0.0,0.1,2887F,台新戊特二,54.5
11,38,"47,754","2,594,890",54.4,20191216,54.3,54.4,0.0,0.1,2887F,台新戊特二,54.3
12,37,"31,326","1,700,104",54.3,20191213,54.1,54.3,0.0,0.1,2887F,台新戊特二,54.3
13,63,"151,250","8,211,847",54.4,20191212,53.8,54.4,0.0,0.2,2887F,台新戊特二,54.2
14,31,"30,374","1,645,657",54.2,20191211,54.1,54.2,0.0,0.0,2887F,台新戊特二,54.1
15,36,"45,495","2,463,579",54.2,20191210,54.1,54.2,0.0,0.1,2887F,台新戊特二,54.1
16,34,"37,230","2,012,296",54.1,20191209,53.9,54.1,0.0,0.1,2887F,台新戊特二,53.9
17,10,"4,611","248,794",54.0,20191206,53.8,54.0,0.0,0.1,2887F,台新戊特二,53.8
18,42,"29,368","1,586,104",54.1,20191205,53.4,54.1,0.0,0.0,2887F,台新戊特二,53.4
19,37,"27,820","1,501,680",54.1,20191204,53.9,54.1,0.0,0.1,2887F,台新戊特二,53.9
20,51,"119,794","6,473,376",54.0,20191203,54.0,54.1,0.0,0.0,2887F,台新戊特二,54.0
21,26,"25,040","1,351,848",54.0,20191202,53.9,54.0,0.0,0.1,2887F,台新戊特二,53.9
22,36,"109,341","5,903,377",53.9,20191129,53.9,54.0,0.0,0.1,2887F,台新戊特二,54.0
23,35,"43,736","2,358,094",54.0,20191128,53.9,54.0,0.0,0.0,2887F,台新戊特二,53.9
24,52,"137,699","7,434,646",54.0,20191127,53.9,54.0,0.0,0.0,2887F,台新戊特二,54.0
25,23,"105,418","5,691,945",54.0,20191126,53.9,54.0,0.0,0.0,2887F,台新戊特二,53.9
26,22,"113,120","6,109,056",54.0,20191125,54.0,54.1,0.0,0.0,2887F,台新戊特二,54.0
27,32,"84,999","4,587,244",54.0,20191122,53.9,54.0,0.0,0.0,2887F,台新戊特二,54.0
28,28,"120,021","6,481,127",54.0,20191121,54.0,54.0,0.0,0.0,2887F,台新戊特二,54.0
29,27,"21,899","1,182,274",54.0,20191120,54.0,54.0,0.0,0.0,2887F,台新戊特二,54.0
30,39,"177,200","9,551,759",54.0,20191119,53.8,54.0,0.0,0.1,2887F,台新戊特二,53.8
31,34,"122,048","6,576,373",53.9,20191118,53.7,53.9,0.0,0.1,2887F,台新戊特二,53.8
32,26,"92,792","4,999,969",53.8,20191115,53.8,53.9,0.0,0.1,2887F,台新戊特二,53.8
33,17,"20,308","1,094,100",53.9,20191114,53.8,54.0,0.0,0.1,2887F,台新戊特二,53.9
34,17,"34,021","1,834,929",54.0,20191113,53.9,54.0,0.0,0.0,2887F,台新戊特二,53.9
35,26,"15,027","810,350",54.0,20191112,53.9,54.0,0.0,0.1,2887F,台新戊特二,53.9
