,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,10,"4,244","269,042",63.40,20191122,63.40,63.40,0.00,0.10,2891C,中信金丙特,63.40
1,7,"3,156","200,342",63.5,20191121,63.5,63.5,0.0,0.0,2891C,中信金丙特,63.5
2,19,"4,634","294,279",63.5,20191120,63.4,63.5,0.0,0.1,2891C,中信金丙特,63.5
3,31,"15,613","992,480",63.6,20191119,63.1,63.7,0.0,0.1,2891C,中信金丙特,63.7
4,88,"121,944","7,751,872",63.7,20191118,63.3,63.7,0.0,0.4,2891C,中信金丙特,63.3
5,66,"152,880","9,612,222",63.3,20191115,62.6,63.3,0.0,0.2,2891C,中信金丙特,63.3
6,38,"77,450","4,910,272",63.5,20191114,63.3,63.5,0.0,0.0,2891C,中信金丙特,63.4
7,29,"21,558","1,366,771",63.5,20191113,63.3,63.5,0.0,0.0,2891C,中信金丙特,63.3
8,19,"18,170","1,151,559",63.5,20191112,63.3,63.5,0.0,0.0,2891C,中信金丙特,63.3
9,21,"21,286","1,350,959",63.5,20191111,63.4,63.5,0.0,0.1,2891C,中信金丙特,63.5
10,35,"28,274","1,795,217",63.6,20191108,63.4,63.6,0.0,0.0,2891C,中信金丙特,63.4
11,39,"18,119","1,150,057",63.6,20191107,63.4,63.6,0.0,0.0,2891C,中信金丙特,63.5
12,28,"16,707","1,060,891",63.6,20191106,63.4,63.6,0.0,0.0,2891C,中信金丙特,63.5
13,36,"22,936","1,455,449",63.6,20191105,63.4,63.6,0.0,0.0,2891C,中信金丙特,63.4
14,36,"174,375","11,072,098",63.6,20191104,63.4,63.6,0.0,0.0,2891C,中信金丙特,63.5
15,32,"16,089","1,021,748",63.6,20191101,63.5,63.6,0.0,0.0,2891C,中信金丙特,63.5
16,22,"15,324","973,499",63.6,20191031,63.5,63.6,0.0,0.0,2891C,中信金丙特,63.6
17,23,"64,174","4,079,929",63.6,20191030,63.4,63.7,0.0,0.0,2891C,中信金丙特,63.4
18,13,"12,244","777,793",63.6,20191029,63.5,63.6,0.0,0.0,2891C,中信金丙特,63.6
