,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,8,"10,370","109,485",10.55,20191122,10.55,10.60,0.00,0.00,2897A,王道銀甲特,10.55
1,11,"30,300","319,800",10.55,20191121,10.55,10.6,0.0,0.0,2897A,王道銀甲特,10.55
2,22,"36,000","379,700",10.55,20191120,10.5,10.55,0.0,0.0,2897A,王道銀甲特,10.55
3,22,"41,702","440,056",10.55,20191119,10.55,10.6,0.0,0.0,2897A,王道銀甲特,10.55
4,7,"20,000","211,000",10.55,20191118,10.55,10.55,0.0,0.0,2897A,王道銀甲特,10.55
5,17,"35,006","368,963",10.55,20191115,10.5,10.55,0.0,0.05,2897A,王道銀甲特,10.5
6,15,"50,000","527,250",10.5,20191114,10.5,10.55,0.0,0.05,2897A,王道銀甲特,10.55
7,24,"70,377","744,515",10.55,20191113,10.55,10.6,0.0,0.0,2897A,王道銀甲特,10.6
8,11,"28,423","299,926",10.55,20191112,10.55,10.55,0.0,0.0,2897A,王道銀甲特,10.55
9,31,"170,102","1,796,688",10.55,20191111,10.55,10.6,0.0,0.05,2897A,王道銀甲特,10.6
10,17,"106,000","1,123,350",10.6,20191108,10.55,10.6,0.0,0.0,2897A,王道銀甲特,10.6
11,18,"45,410","479,296",10.6,20191107,10.55,10.6,0.0,0.0,2897A,王道銀甲特,10.55
12,23,"164,099","1,731,794",10.6,20191106,10.55,10.6,0.0,0.05,2897A,王道銀甲特,10.55
13,18,"41,205","435,173",10.55,20191105,10.55,10.6,0.0,0.05,2897A,王道銀甲特,10.6
14,16,"98,000","1,037,950",10.6,20191104,10.55,10.6,0.0,0.0,2897A,王道銀甲特,10.55
15,23,"104,000","1,101,850",10.6,20191101,10.55,10.6,0.0,0.0,2897A,王道銀甲特,10.6
16,10,"27,000","286,200",10.6,20191031,10.6,10.6,0.0,0.0,2897A,王道銀甲特,10.6
17,14,"82,000","869,700",10.6,20191030,10.6,10.65,0.0,0.0,2897A,王道銀甲特,10.6
18,20,"63,000","668,300",10.6,20191029,10.6,10.65,0.0,0.0,2897A,王道銀甲特,10.6
