,date,highPrice,lowPrice,numberOfTransactions,price,value,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,,,,,,,93,"91,561","7,939,025",86.60,20191113.0,86.20,87.10,8.40,0.20,6277,宏正,87.10
1,20191112.0,87.1,85.6,132.0,86.8,"133,191",,,,,,,,,,,,
2,20191111.0,86.4,85.6,73.0,86.0,"76,010",,,,,,,,,,,,
3,20191108.0,86.9,86.2,106.0,86.4,"107,265",,,,,,,,,,,,
4,20191107.0,87.3,86.7,94.0,87.0,"127,303",,,,,,,,,,,,
5,20191106.0,87.5,86.9,118.0,87.0,"133,354",,,,,,,,,,,,
6,20191105.0,87.5,86.9,109.0,86.9,"131,209",,,,,,,,,,,,
7,20191104.0,86.8,86.5,72.0,86.8,"78,492",,,,,,,,,,,,
8,20191101.0,87.4,86.2,99.0,86.5,"113,000",,,,,,,,,,,,
9,20191031.0,86.3,85.9,56.0,86.3,"74,271",,,,,,,,,,,,
10,20191030.0,86.3,85.7,145.0,85.9,"163,450",,,,,,,,,,,,
11,20191029.0,87.1,86.1,135.0,86.2,"157,151",,,,,,,,,,,,
12,20191028.0,87.2,86.9,97.0,87.0,"118,158",,,,,,,,,,,,
13,20191025.0,87.4,86.7,81.0,87.1,"81,242",,,,,,,,,,,,
14,20191024.0,87.4,86.5,121.0,87.4,"140,311",,,,,,,,,,,,
15,20191023.0,87.5,86.5,72.0,86.5,"72,580",,,,,,,,,,,,
16,20191022.0,87.0,86.2,68.0,87.0,"83,300",,,,,,,,,,,,
17,20191021.0,86.7,86.2,63.0,86.3,"71,299",,,,,,,,,,,,
18,20191018.0,87.2,86.5,154.0,86.5,"185,969",,,,,,,,,,,,
19,20191017.0,89.5,86.5,426.0,87.1,"536,871",,,,,,,,,,,,
20,20191016.0,88.4,86.4,369.0,88.4,"481,691",,,,,,,,,,,,
21,20191015.0,86.0,85.5,136.0,86.0,"164,187",,,,,,,,,,,,
22,20191014.0,85.8,85.1,104.0,85.4,"108,222",,,,,,,,,,,,
23,20191009.0,85.4,85.0,85.0,85.1,"100,030",,,,,,,,,,,,
24,20191008.0,85.6,84.8,120.0,85.5,"255,166",,,,,,,,,,,,
25,20191007.0,85.1,84.7,62.0,84.8,"82,200",,,,,,,,,,,,
26,20191004.0,85.2,84.5,80.0,85.2,"100,100",,,,,,,,,,,,
27,20191003.0,85.0,84.5,94.0,85.0,"133,000",,,,,,,,,,,,
28,20191002.0,85.2,85.0,58.0,85.0,"72,760",,,,,,,,,,,,
29,20190927.0,86.1,85.2,93.0,85.9,"116,231",,,,,,,,,,,,
30,20190926.0,86.1,85.5,46.0,85.9,"41,919",,,,,,,,,,,,
31,20190925.0,85.8,85.4,73.0,85.8,"84,168",,,,,,,,,,,,
32,20190924.0,85.8,85.2,63.0,85.5,"57,546",,,,,,,,,,,,
33,20190923.0,85.5,85.3,55.0,85.5,"66,300",,,,,,,,,,,,
34,20190920.0,85.6,84.5,62.0,85.6,"67,727",,,,,,,,,,,,
35,20190919.0,85.4,83.4,69.0,85.4,"63,982",,,,,,,,,,,,
36,20190918.0,85.7,84.7,76.0,85.1,"81,110",,,,,,,,,,,,
37,20190917.0,84.9,84.7,30.0,84.7,"22,897",,,,,,,,,,,,
38,20190916.0,85.3,84.6,56.0,84.7,"60,727",,,,,,,,,,,,
39,20190912.0,86.1,85.0,59.0,85.1,"70,002",,,,,,,,,,,,
40,20190911.0,85.4,85.1,49.0,85.1,"51,446",,,,,,,,,,,,
41,20190910.0,86.0,84.9,210.0,85.4,"293,496",,,,,,,,,,,,
42,20190909.0,87.8,85.5,211.0,86.8,"281,284",,,,,,,,,,,,
43,20190906.0,85.9,85.5,59.0,85.9,"71,300",,,,,,,,,,,,
44,20190905.0,85.8,85.3,89.0,85.6,"102,355",,,,,,,,,,,,
45,20190904.0,85.0,84.2,95.0,85.0,"106,524",,,,,,,,,,,,
46,20190903.0,84.4,84.1,61.0,84.4,"65,310",,,,,,,,,,,,
47,20190902.0,84.3,84.0,72.0,84.1,"78,538",,,,,,,,,,,,
48,20190830.0,83.6,83.1,93.0,83.6,"117,099",,,,,,,,,,,,
49,20190829.0,83.3,83.0,66.0,83.1,"73,500",,,,,,,,,,,,
50,20190828.0,83.9,83.1,110.0,83.2,"124,180",,,,,,,,,,,,
51,20190827.0,83.5,83.0,106.0,83.5,"125,200",,,,,,,,,,,,
52,20190826.0,83.8,83.0,127.0,83.2,"153,806",,,,,,,,,,,,
53,20190823.0,84.9,83.8,96.0,83.8,"122,553",,,,,,,,,,,,
54,20190822.0,84.8,84.1,92.0,84.6,"117,900",,,,,,,,,,,,
55,20190821.0,84.4,83.3,74.0,84.0,"82,200",,,,,,,,,,,,
56,20190820.0,84.9,83.3,172.0,83.3,"341,587",,,,,,,,,,,,
57,20190819.0,85.0,84.0,87.0,84.1,"79,881",,,,,,,,,,,,
58,20190816.0,84.8,83.3,99.0,84.0,"194,005",,,,,,,,,,,,
59,20190815.0,83.8,83.0,84.0,83.5,"96,250",,,,,,,,,,,,
60,20190814.0,84.5,83.8,53.0,83.8,"54,159",,,,,,,,,,,,
61,20190813.0,84.4,83.6,112.0,83.6,"127,075",,,,,,,,,,,,
62,20190812.0,85.0,84.5,90.0,84.5,"111,310",,,,,,,,,,,,
63,20190808.0,85.0,84.2,129.0,85.0,"136,607",,,,,,,,,,,,
64,20190807.0,85.0,84.1,85.0,84.5,"92,350",,,,,,,,,,,,
65,20190806.0,83.5,82.0,151.0,83.1,"168,199",,,,,,,,,,,,
66,20190805.0,84.3,83.5,151.0,83.5,"182,126",,,,,,,,,,,,
