,date,highPrice,lowPrice,numberOfTransactions,price,value
0,20191112,40.30,39.80,62,40.30,"85,001"
1,20191111,40.4,39.35,112,40.0,"182,002"
2,20191108,40.8,40.6,28,40.6,"31,101"
3,20191107,40.75,40.35,52,40.45,"77,702"
4,20191106,42.05,40.0,231,40.9,"303,150"
5,20191105,40.05,39.9,62,39.9,"91,655"
6,20191104,40.3,39.85,68,39.9,"108,599"
7,20191101,39.95,39.85,13,39.95,"19,000"
8,20191031,40.2,39.85,36,39.95,"38,128"
9,20191030,40.25,39.85,25,40.2,"29,272"
10,20191029,40.05,39.85,20,40.0,"17,145"
11,20191028,40.5,39.75,35,40.05,"87,341"
12,20191025,40.0,39.9,25,39.9,"23,300"
13,20191024,40.25,39.7,50,40.0,"71,002"
14,20191023,39.9,39.5,39,39.7,"73,000"
15,20191022,40.15,39.85,42,40.0,"49,256"
16,20191021,40.35,39.7,25,40.0,"55,155"
17,20191018,39.95,39.75,54,39.75,"106,100"
18,20191017,40.1,39.75,80,39.75,"109,000"
19,20191016,40.9,39.85,105,39.9,"165,200"
20,20191015,40.9,39.75,94,40.9,"95,986"
21,20191014,40.6,39.8,79,39.95,"164,164"
22,20191009,40.5,39.7,154,39.8,"206,239"
23,20191008,41.35,40.8,27,40.8,"50,300"
24,20191007,41.45,40.75,34,40.85,"50,033"
25,20191004,41.0,40.75,40,40.9,"45,644"
26,20191003,41.2,40.85,34,41.0,"42,000"
27,20191002,41.7,41.25,41,41.3,"51,155"
28,20190927,42.5,41.6,162,42.0,"224,061"
29,20190926,41.65,41.2,38,41.35,"43,384"
30,20190925,41.75,40.95,50,40.95,"62,157"
31,20190924,41.65,41.15,32,41.15,"36,013"
32,20190923,42.25,41.45,47,41.7,"77,290"
33,20190920,42.25,41.3,47,41.45,"61,730"
34,20190919,41.35,41.0,26,41.3,"49,000"
35,20190918,41.3,41.1,35,41.1,"42,303"
36,20190917,41.35,41.05,17,41.15,"19,106"
37,20190916,42.15,41.0,78,41.3,"93,703"
38,20190912,42.7,42.0,30,42.2,"35,014"
39,20190911,42.45,42.0,57,42.25,"77,001"
40,20190910,42.9,42.15,227,42.25,"289,001"
41,20190909,41.8,41.3,28,41.65,"33,156"
42,20190906,42.05,41.4,46,41.6,"73,503"
43,20190905,41.9,41.2,51,41.5,"77,100"
44,20190904,41.6,40.6,30,41.25,"35,214"
45,20190903,42.25,40.8,122,40.8,"146,335"
46,20190902,42.2,40.0,137,42.05,"202,923"
47,20190830,39.95,39.6,71,39.7,"101,000"
48,20190829,40.0,39.55,47,39.6,"76,107"
49,20190828,39.95,39.65,7,39.85,"4,241"
50,20190827,40.2,39.7,44,39.8,"62,317"
51,20190826,40.75,39.75,61,39.75,"95,003"
52,20190823,40.9,40.45,38,40.75,"61,000"
53,20190822,40.7,40.3,39,40.65,"66,212"
54,20190821,40.7,40.3,38,40.3,"63,000"
55,20190820,40.9,39.9,66,40.5,"75,100"
56,20190819,40.0,39.5,69,39.9,"84,100"
57,20190816,39.8,38.9,154,39.3,"272,111"
58,20190815,39.6,38.3,133,39.5,"182,671"
59,20190814,41.45,39.8,355,39.9,"511,775"
60,20190813,41.8,41.0,32,41.45,"42,000"
61,20190812,41.9,41.6,34,41.7,"46,000"
62,20190808,41.95,41.4,56,41.75,"67,655"
63,20190807,42.0,41.45,60,41.65,"75,100"
64,20190806,41.75,40.15,96,41.5,"106,111"
65,20190805,43.45,41.65,137,41.65,"185,301"
