,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,光電類指數,37.92,20191122,<p style ='color:red'>+</p>,0.88,0.33
1,光電類指數,37.59,20191121,<p style ='color:green'>-</p>,-1.08,0.41
2,光電類指數,38.0,20191120,<p style ='color:green'>-</p>,-1.12,0.43
3,光電類指數,38.43,20191119,<p style ='color:green'>-</p>,-0.1,0.04
4,光電類指數,38.47,20191118,<p style ='color:red'>+</p>,0.23,0.09
5,光電類指數,38.38,20191115,<p style ='color:red'>+</p>,0.79,0.3
6,光電類指數,38.08,20191114,<p style ='color:green'>-</p>,-0.37,0.14
7,光電類指數,38.22,20191113,<p style ='color:green'>-</p>,-0.49,0.19
8,光電類指數,38.41,20191112,<p style ='color:green'>-</p>,-0.29,0.11
9,光電類指數,38.52,20191111,<p style ='color:green'>-</p>,-3.0,1.19
10,光電類指數,39.71,20191108,<p style ='color:red'>+</p>,0.74,0.29
11,光電類指數,39.42,20191107,<p style ='color:green'>-</p>,-1.3,0.52
12,光電類指數,39.94,20191106,<p style ='color:red'>+</p>,0.76,0.3
13,光電類指數,39.64,20191105,<p style ='color:red'>+</p>,0.61,0.24
14,光電類指數,39.4,20191104,<p style ='color:red'>+</p>,1.7,0.66
15,光電類指數,38.74,20191101,<p style ='color:green'>-</p>,-0.03,0.01
16,光電類指數,38.75,20191031,<p style ='color:red'>+</p>,1.02,0.39
17,光電類指數,38.36,20191030,<p style ='color:red'>+</p>,0.29,0.11
18,光電類指數,38.25,20191029,<p style ='color:green'>-</p>,-0.21,0.08
19,光電類指數,38.33,20191028,<p style ='color:green'>-</p>,-0.31,0.12
20,光電類指數,38.45,20191025,<p style ='color:green'>-</p>,-1.13,0.44
21,光電類指數,38.89,20191024,<p style ='color:red'>+</p>,2.32,0.88
22,光電類指數,38.01,20191023,<p style ='color:green'>-</p>,-0.81,0.31
23,光電類指數,38.32,20191022,<p style ='color:red'>+</p>,0.13,0.05
24,光電類指數,38.27,20191021,<p style ='color:red'>+</p>,0.95,0.36
25,光電類指數,37.91,20191018,<p style ='color:green'>-</p>,-0.91,0.35
26,光電類指數,38.26,20191017,<p style ='color:red'>+</p>,0.66,0.25
27,光電類指數,38.01,20191016,<p style ='color:green'>-</p>,-1.4,0.54
28,光電類指數,38.55,20191015,<p style ='color:red'>+</p>,0.73,0.28
29,光電類指數,38.27,20191014,<p style ='color:red'>+</p>,0.5,0.19
30,光電類指數,38.08,20191009,<p style ='color:green'>-</p>,-1.04,0.4
31,光電類指數,38.48,20191008,<p style ='color:green'>-</p>,-0.18,0.07
32,光電類指數,38.55,20191007,<p style ='color:green'>-</p>,-0.16,0.06
33,光電類指數,38.61,20191004,<p style ='color:red'>+</p>,0.21,0.08
34,光電類指數,38.53,20191003,<p style ='color:green'>-</p>,-0.16,0.06
35,光電類指數,38.59,20191002,<p style ='color:red'>+</p>,0.18,0.07
36,光電類指數,38.52,20191001,<p style ='color:red'>+</p>,1.85,0.7
37,光電類指數,37.82,20190927,<p style ='color:green'>-</p>,-0.32,0.12
38,光電類指數,37.94,20190926,<p style ='color:red'>+</p>,1.09,0.41
39,光電類指數,37.53,20190925,<p style ='color:green'>-</p>,-0.56,0.21
40,光電類指數,37.74,20190924,<p style ='color:green'>-</p>,-0.92,0.35
41,光電類指數,38.09,20190923,<p style ='color:red'>+</p>,0.29,0.11
42,光電類指數,37.98,20190920,<p style ='color:red'>+</p>,0.34,0.13
43,光電類指數,37.85,20190919,<p style ='color:red'>+</p>,0.66,0.25
44,光電類指數,37.6,20190918,<p style ='color:red'>+</p>,2.65,0.97
45,光電類指數,36.63,20190917,<p style ='color:green'>-</p>,-0.68,0.25
46,光電類指數,36.88,20190916,<p style ='color:green'>-</p>,-0.05,0.02
47,光電類指數,36.9,20190912,<p style ='color:red'>+</p>,1.21,0.44
48,光電類指數,36.46,20190911,<p style ='color:red'>+</p>,2.27,0.81
49,光電類指數,35.65,20190910,<p style ='color:green'>-</p>,-2.65,0.97
50,光電類指數,36.62,20190909,<p style ='color:red'>+</p>,0.03,0.01
51,光電類指數,36.61,20190906,<p style ='color:green'>-</p>,-0.3,0.11
52,光電類指數,36.72,20190905,<p style ='color:red'>+</p>,0.55,0.2
53,光電類指數,36.52,20190904,<p style ='color:red'>+</p>,1.05,0.38
54,光電類指數,36.14,20190903,<p style ='color:red'>+</p>,0.5,0.18
55,光電類指數,35.96,20190902,<p style ='color:red'>+</p>,0.47,0.17
56,光電類指數,35.79,20190830,<p style ='color:red'>+</p>,1.19,0.42
57,光電類指數,35.37,20190829,<p style ='color:green'>-</p>,-0.03,0.01
58,光電類指數,35.38,20190828,<p style ='color:red'>+</p>,1.2,0.42
59,光電類指數,34.96,20190827,<p style ='color:red'>+</p>,0.29,0.1
60,光電類指數,34.86,20190826,<p style ='color:green'>-</p>,-3.03,1.09
61,光電類指數,35.95,20190823,<p style ='color:red'>+</p>,0.03,0.01
62,光電類指數,35.94,20190822,<p style ='color:red'>+</p>,0.87,0.31
63,光電類指數,35.63,20190821,<p style ='color:red'>+</p>,0.91,0.32
64,光電類指數,35.31,20190820,<p style ='color:red'>+</p>,0.46,0.16
65,光電類指數,35.15,20190819,<p style ='color:red'>+</p>,0.34,0.12
66,光電類指數,35.03,20190816,<p style ='color:red'>+</p>,1.16,0.4
67,光電類指數,34.63,20190815,<p style ='color:green'>-</p>,-0.72,0.25
