,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,其他電子類指數,88.87,20191122,<p style ='color:green'>-</p>,-0.80,0.72
1,其他電子類指數,89.59,20191121,<p style ='color:red'>+</p>,0.27,0.24
2,其他電子類指數,89.35,20191120,<p style ='color:green'>-</p>,-0.76,0.68
3,其他電子類指數,90.03,20191119,<p style ='color:red'>+</p>,1.86,1.64
4,其他電子類指數,88.39,20191118,<p style ='color:red'>+</p>,0.43,0.38
5,其他電子類指數,88.01,20191115,<p style ='color:red'>+</p>,1.36,1.18
6,其他電子類指數,86.83,20191114,<p style ='color:green'>-</p>,-0.28,0.24
7,其他電子類指數,87.07,20191113,<p style ='color:green'>-</p>,-0.99,0.87
8,其他電子類指數,87.94,20191112,<p style ='color:red'>+</p>,2.72,2.33
9,其他電子類指數,85.61,20191111,<p style ='color:green'>-</p>,-3.43,3.04
10,其他電子類指數,88.65,20191108,<p style ='color:red'>+</p>,0.32,0.28
11,其他電子類指數,88.37,20191107,<p style ='color:red'>+</p>,0.02,0.02
12,其他電子類指數,88.35,20191106,,--,--
13,其他電子類指數,88.35,20191105,<p style ='color:red'>+</p>,0.75,0.66
14,其他電子類指數,87.69,20191104,<p style ='color:red'>+</p>,4.06,3.42
15,其他電子類指數,84.27,20191101,<p style ='color:red'>+</p>,3.69,3.00
16,其他電子類指數,81.27,20191031,<p style ='color:red'>+</p>,0.16,0.13
17,其他電子類指數,81.14,20191030,<p style ='color:green'>-</p>,-0.22,0.18
18,其他電子類指數,81.32,20191029,<p style ='color:red'>+</p>,0.44,0.36
19,其他電子類指數,80.96,20191028,<p style ='color:red'>+</p>,0.07,0.06
20,其他電子類指數,80.9,20191025,<p style ='color:green'>-</p>,-0.22,0.18
21,其他電子類指數,81.08,20191024,<p style ='color:red'>+</p>,0.33,0.27
22,其他電子類指數,80.81,20191023,<p style ='color:red'>+</p>,0.64,0.51
23,其他電子類指數,80.3,20191022,<p style ='color:red'>+</p>,1.74,1.37
24,其他電子類指數,78.93,20191021,<p style ='color:red'>+</p>,0.37,0.29
25,其他電子類指數,78.64,20191018,<p style ='color:green'>-</p>,-0.22,0.17
26,其他電子類指數,78.81,20191017,<p style ='color:red'>+</p>,2.22,1.71
27,其他電子類指數,77.1,20191016,<p style ='color:red'>+</p>,0.33,0.25
28,其他電子類指數,76.85,20191015,<p style ='color:red'>+</p>,0.10,0.08
29,其他電子類指數,76.77,20191014,<p style ='color:red'>+</p>,1.79,1.35
30,其他電子類指數,75.42,20191009,<p style ='color:green'>-</p>,-1.57,1.20
31,其他電子類指數,76.62,20191008,<p style ='color:red'>+</p>,0.47,0.36
32,其他電子類指數,76.26,20191007,<p style ='color:red'>+</p>,1.19,0.90
33,其他電子類指數,75.36,20191004,<p style ='color:red'>+</p>,0.65,0.49
34,其他電子類指數,74.87,20191003,<p style ='color:green'>-</p>,-0.65,0.49
35,其他電子類指數,75.36,20191002,<p style ='color:green'>-</p>,-0.16,0.12
36,其他電子類指數,75.48,20191001,<p style ='color:red'>+</p>,0.33,0.25
