,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,其他類指數,285.11,20191122,<p style ='color:red'>+</p>,0.25,0.72
1,其他類指數,284.39,20191121,<p style ='color:green'>-</p>,-0.48,1.36
2,其他類指數,285.75,20191120,<p style ='color:green'>-</p>,-0.21,0.6
3,其他類指數,286.35,20191119,<p style ='color:red'>+</p>,0.05,0.13
4,其他類指數,286.22,20191118,<p style ='color:red'>+</p>,0.05,0.15
5,其他類指數,286.07,20191115,<p style ='color:green'>-</p>,-0.08,0.23
6,其他類指數,286.3,20191114,<p style ='color:green'>-</p>,-0.01,0.04
7,其他類指數,286.34,20191113,<p style ='color:green'>-</p>,-0.73,2.12
8,其他類指數,288.46,20191112,<p style ='color:red'>+</p>,0.51,1.45
9,其他類指數,287.01,20191111,<p style ='color:green'>-</p>,-1.03,2.99
10,其他類指數,290.0,20191108,<p style ='color:green'>-</p>,-0.09,0.26
11,其他類指數,290.26,20191107,<p style ='color:red'>+</p>,0.04,0.13
12,其他類指數,290.13,20191106,<p style ='color:red'>+</p>,0.28,0.8
13,其他類指數,289.33,20191105,<p style ='color:red'>+</p>,0.11,0.32
14,其他類指數,289.01,20191104,<p style ='color:red'>+</p>,0.46,1.33
15,其他類指數,287.68,20191101,<p style ='color:red'>+</p>,0.2,0.56
16,其他類指數,287.12,20191031,<p style ='color:red'>+</p>,0.01,0.02
17,其他類指數,287.1,20191030,<p style ='color:red'>+</p>,0.87,2.48
18,其他類指數,284.62,20191029,<p style ='color:green'>-</p>,-0.41,1.18
19,其他類指數,285.8,20191028,<p style ='color:green'>-</p>,-0.18,0.51
20,其他類指數,286.31,20191025,<p style ='color:green'>-</p>,-0.97,2.79
21,其他類指數,289.1,20191024,<p style ='color:red'>+</p>,0.71,2.03
22,其他類指數,287.07,20191023,<p style ='color:green'>-</p>,-0.28,0.82
23,其他類指數,287.89,20191022,<p style ='color:red'>+</p>,0.06,0.18
24,其他類指數,287.71,20191021,<p style ='color:red'>+</p>,0.52,1.5
25,其他類指數,286.21,20191018,<p style ='color:green'>-</p>,-0.06,0.18
26,其他類指數,286.39,20191017,<p style ='color:red'>+</p>,0.93,2.65
27,其他類指數,283.74,20191016,<p style ='color:red'>+</p>,0.8,2.25
28,其他類指數,281.49,20191015,<p style ='color:red'>+</p>,0.54,1.51
29,其他類指數,279.98,20191014,<p style ='color:red'>+</p>,0.68,1.89
30,其他類指數,278.09,20191009,<p style ='color:green'>-</p>,-0.87,2.45
31,其他類指數,280.54,20191008,<p style ='color:red'>+</p>,0.22,0.61
32,其他類指數,279.93,20191007,<p style ='color:green'>-</p>,-0.17,0.48
33,其他類指數,280.41,20191004,<p style ='color:red'>+</p>,0.39,1.1
34,其他類指數,279.31,20191003,<p style ='color:green'>-</p>,-0.95,2.68
35,其他類指數,281.99,20191002,<p style ='color:red'>+</p>,0.57,1.59
36,其他類指數,280.4,20191001,<p style ='color:green'>-</p>,-0.03,0.09
37,其他類指數,280.49,20190927,<p style ='color:green'>-</p>,-0.77,2.17
38,其他類指數,282.66,20190926,<p style ='color:red'>+</p>,0.06,0.17
39,其他類指數,282.49,20190925,<p style ='color:red'>+</p>,0.31,0.88
40,其他類指數,281.61,20190924,<p style ='color:green'>-</p>,-0.01,0.02
41,其他類指數,281.63,20190923,<p style ='color:green'>-</p>,-0.05,0.13
42,其他類指數,281.76,20190920,<p style ='color:green'>-</p>,-0.15,0.41
43,其他類指數,282.17,20190919,<p style ='color:green'>-</p>,-0.4,1.13
44,其他類指數,283.3,20190918,<p style ='color:red'>+</p>,0.39,1.09
45,其他類指數,282.21,20190917,<p style ='color:green'>-</p>,-0.32,0.92
46,其他類指數,283.13,20190916,<p style ='color:green'>-</p>,-0.46,1.32
47,其他類指數,284.45,20190912,<p style ='color:red'>+</p>,0.31,0.87
48,其他類指數,283.58,20190911,<p style ='color:red'>+</p>,0.14,0.41
49,其他類指數,283.17,20190910,<p style ='color:green'>-</p>,-0.13,0.36
50,其他類指數,283.53,20190909,<p style ='color:red'>+</p>,0.31,0.87
51,其他類指數,282.66,20190906,<p style ='color:red'>+</p>,0.46,1.29
52,其他類指數,281.37,20190905,<p style ='color:red'>+</p>,0.41,1.14
53,其他類指數,280.23,20190904,<p style ='color:red'>+</p>,0.62,1.72
54,其他類指數,278.51,20190903,<p style ='color:green'>-</p>,-0.16,0.45
55,其他類指數,278.96,20190902,<p style ='color:red'>+</p>,0.18,0.5
56,其他類指數,278.46,20190830,<p style ='color:red'>+</p>,1.04,2.86
57,其他類指數,275.6,20190829,<p style ='color:red'>+</p>,0.57,1.55
58,其他類指數,274.05,20190828,<p style ='color:green'>-</p>,-0.19,0.51
59,其他類指數,274.56,20190827,<p style ='color:green'>-</p>,-0.08,0.21
60,其他類指數,274.77,20190826,<p style ='color:green'>-</p>,-1.53,4.27
61,其他類指數,279.04,20190823,<p style ='color:red'>+</p>,0.03,0.08
62,其他類指數,278.96,20190822,<p style ='color:red'>+</p>,0.21,0.58
63,其他類指數,278.38,20190821,<p style ='color:red'>+</p>,0.26,0.71
64,其他類指數,277.67,20190820,<p style ='color:green'>-</p>,-0.2,0.56
65,其他類指數,278.23,20190819,<p style ='color:green'>-</p>,-0.01,0.03
66,其他類指數,278.26,20190816,<p style ='color:green'>-</p>,-0.6,1.68
67,其他類指數,279.94,20190815,<p style ='color:green'>-</p>,-0.33,0.94
