,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,化學生技醫療類指數,98.77,20191122,<p style ='color:red'>+</p>,0.62,0.61
1,化學生技醫療類指數,98.16,20191121,<p style ='color:red'>+</p>,0.07,0.07
2,化學生技醫療類指數,98.09,20191120,<p style ='color:red'>+</p>,0.70,0.68
3,化學生技醫療類指數,97.41,20191119,<p style ='color:red'>+</p>,0.31,0.30
4,化學生技醫療類指數,97.11,20191118,<p style ='color:red'>+</p>,0.10,0.10
5,化學生技醫療類指數,97.01,20191115,<p style ='color:red'>+</p>,0.36,0.35
6,化學生技醫療類指數,96.66,20191114,<p style ='color:green'>-</p>,-0.37,0.36
7,化學生技醫療類指數,97.02,20191113,<p style ='color:red'>+</p>,0.02,0.02
8,化學生技醫療類指數,97.0,20191112,<p style ='color:red'>+</p>,0.22,0.21
9,化學生技醫療類指數,96.79,20191111,<p style ='color:green'>-</p>,-1.37,1.34
10,化學生技醫療類指數,98.13,20191108,<p style ='color:green'>-</p>,-0.16,0.16
11,化學生技醫療類指數,98.29,20191107,<p style ='color:green'>-</p>,-0.53,0.52
12,化學生技醫療類指數,98.81,20191106,<p style ='color:green'>-</p>,-0.30,0.30
13,化學生技醫療類指數,99.11,20191105,<p style ='color:red'>+</p>,0.19,0.19
14,化學生技醫療類指數,98.92,20191104,<p style ='color:red'>+</p>,0.82,0.80
15,化學生技醫療類指數,98.12,20191101,<p style ='color:red'>+</p>,0.36,0.35
16,化學生技醫療類指數,97.77,20191031,<p style ='color:green'>-</p>,-0.26,0.25
17,化學生技醫療類指數,98.02,20191030,<p style ='color:red'>+</p>,1.21,1.17
18,化學生技醫療類指數,96.85,20191029,<p style ='color:green'>-</p>,-0.50,0.49
19,化學生技醫療類指數,97.34,20191028,<p style ='color:green'>-</p>,-0.11,0.11
20,化學生技醫療類指數,97.45,20191025,<p style ='color:green'>-</p>,-0.42,0.41
21,化學生技醫療類指數,97.86,20191024,<p style ='color:red'>+</p>,0.67,0.65
22,化學生技醫療類指數,97.21,20191023,<p style ='color:green'>-</p>,-0.23,0.22
23,化學生技醫療類指數,97.43,20191022,<p style ='color:green'>-</p>,-0.14,0.14
24,化學生技醫療類指數,97.57,20191021,<p style ='color:red'>+</p>,0.33,0.32
25,化學生技醫療類指數,97.25,20191018,<p style ='color:red'>+</p>,0.05,0.05
26,化學生技醫療類指數,97.2,20191017,<p style ='color:green'>-</p>,-0.13,0.13
27,化學生技醫療類指數,97.33,20191016,<p style ='color:red'>+</p>,0.27,0.26
28,化學生技醫療類指數,97.07,20191015,<p style ='color:green'>-</p>,-0.26,0.25
29,化學生技醫療類指數,97.32,20191014,<p style ='color:red'>+</p>,0.37,0.36
30,化學生技醫療類指數,96.96,20191009,<p style ='color:green'>-</p>,-0.35,0.34
31,化學生技醫療類指數,97.3,20191008,<p style ='color:red'>+</p>,0.14,0.14
32,化學生技醫療類指數,97.16,20191007,<p style ='color:red'>+</p>,0.41,0.40
33,化學生技醫療類指數,96.76,20191004,<p style ='color:green'>-</p>,-0.13,0.13
34,化學生技醫療類指數,96.89,20191003,<p style ='color:red'>+</p>,0.21,0.20
35,化學生技醫療類指數,96.69,20191002,<p style ='color:red'>+</p>,0.61,0.59
36,化學生技醫療類指數,96.1,20191001,<p style ='color:red'>+</p>,0.06,0.06
37,化學生技醫療類指數,96.04,20190927,<p style ='color:green'>-</p>,-1.13,1.10
38,化學生技醫療類指數,97.14,20190926,<p style ='color:green'>-</p>,-0.44,0.43
39,化學生技醫療類指數,97.57,20190925,<p style ='color:green'>-</p>,-0.18,0.18
40,化學生技醫療類指數,97.75,20190924,<p style ='color:green'>-</p>,-0.03,0.03
41,化學生技醫療類指數,97.78,20190923,<p style ='color:red'>+</p>,0.13,0.13
42,化學生技醫療類指數,97.65,20190920,<p style ='color:red'>+</p>,0.01,0.01
43,化學生技醫療類指數,97.64,20190919,<p style ='color:green'>-</p>,-0.05,0.05
44,化學生技醫療類指數,97.69,20190918,<p style ='color:red'>+</p>,0.90,0.87
45,化學生技醫療類指數,96.82,20190917,<p style ='color:green'>-</p>,-0.08,0.08
46,化學生技醫療類指數,96.9,20190916,<p style ='color:red'>+</p>,0.05,0.05
47,化學生技醫療類指數,96.85,20190912,<p style ='color:red'>+</p>,0.40,0.39
48,化學生技醫療類指數,96.46,20190911,<p style ='color:green'>-</p>,-0.19,0.18
49,化學生技醫療類指數,96.64,20190910,<p style ='color:green'>-</p>,-0.38,0.37
50,化學生技醫療類指數,97.01,20190909,<p style ='color:green'>-</p>,-0.69,0.67
51,化學生技醫療類指數,97.68,20190906,<p style ='color:green'>-</p>,-0.31,0.30
52,化學生技醫療類指數,97.98,20190905,<p style ='color:red'>+</p>,0.03,0.03
53,化學生技醫療類指數,97.95,20190904,<p style ='color:red'>+</p>,0.35,0.34
54,化學生技醫療類指數,97.61,20190903,<p style ='color:green'>-</p>,-0.32,0.31
