,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,化學類指數,101.89,20191122,<p style ='color:red'>+</p>,0.26,0.26
1,化學類指數,101.63,20191121,<p style ='color:green'>-</p>,-0.3,0.31
2,化學類指數,101.94,20191120,<p style ='color:red'>+</p>,0.37,0.38
3,化學類指數,101.56,20191119,<p style ='color:green'>-</p>,-0.29,0.3
4,化學類指數,101.86,20191118,<p style ='color:green'>-</p>,-0.03,0.03
5,化學類指數,101.89,20191115,<p style ='color:red'>+</p>,0.12,0.12
6,化學類指數,101.77,20191114,<p style ='color:green'>-</p>,-0.59,0.6
7,化學類指數,102.37,20191113,<p style ='color:green'>-</p>,-0.41,0.42
8,化學類指數,102.79,20191112,<p style ='color:red'>+</p>,0.03,0.03
9,化學類指數,102.76,20191111,<p style ='color:green'>-</p>,-1.0,1.04
10,化學類指數,103.8,20191108,<p style ='color:green'>-</p>,-0.27,0.28
11,化學類指數,104.08,20191107,<p style ='color:green'>-</p>,-0.32,0.33
12,化學類指數,104.41,20191106,<p style ='color:green'>-</p>,-0.5,0.52
13,化學類指數,104.93,20191105,<p style ='color:green'>-</p>,-0.01,0.01
14,化學類指數,104.94,20191104,<p style ='color:red'>+</p>,0.72,0.75
15,化學類指數,104.19,20191101,<p style ='color:red'>+</p>,0.24,0.25
16,化學類指數,103.94,20191031,<p style ='color:green'>-</p>,-0.1,0.1
17,化學類指數,104.04,20191030,<p style ='color:red'>+</p>,0.16,0.17
18,化學類指數,103.87,20191029,<p style ='color:green'>-</p>,-0.34,0.35
19,化學類指數,104.22,20191028,<p style ='color:green'>-</p>,-0.11,0.11
20,化學類指數,104.33,20191025,<p style ='color:green'>-</p>,-0.39,0.41
21,化學類指數,104.74,20191024,<p style ='color:red'>+</p>,0.77,0.8
22,化學類指數,103.94,20191023,<p style ='color:green'>-</p>,-0.65,0.68
23,化學類指數,104.62,20191022,<p style ='color:green'>-</p>,-0.24,0.25
24,化學類指數,104.87,20191021,<p style ='color:red'>+</p>,0.13,0.14
25,化學類指數,104.73,20191018,<p style ='color:red'>+</p>,0.59,0.61
26,化學類指數,104.12,20191017,<p style ='color:green'>-</p>,-0.53,0.56
27,化學類指數,104.68,20191016,<p style ='color:red'>+</p>,0.7,0.73
28,化學類指數,103.95,20191015,<p style ='color:green'>-</p>,-0.38,0.4
29,化學類指數,104.35,20191014,<p style ='color:red'>+</p>,0.87,0.9
30,化學類指數,103.45,20191009,<p style ='color:green'>-</p>,-0.35,0.36
31,化學類指數,103.81,20191008,<p style ='color:red'>+</p>,0.23,0.24
32,化學類指數,103.57,20191007,<p style ='color:red'>+</p>,0.93,0.95
33,化學類指數,102.62,20191004,<p style ='color:green'>-</p>,-0.02,0.02
34,化學類指數,102.64,20191003,<p style ='color:red'>+</p>,0.32,0.33
35,化學類指數,102.31,20191002,<p style ='color:green'>-</p>,-0.09,0.09
36,化學類指數,102.4,20191001,<p style ='color:red'>+</p>,0.17,0.17
37,化學類指數,102.23,20190927,<p style ='color:green'>-</p>,-0.82,0.85
38,化學類指數,103.08,20190926,<p style ='color:green'>-</p>,-0.26,0.27
39,化學類指數,103.35,20190925,<p style ='color:green'>-</p>,-0.31,0.32
40,化學類指數,103.67,20190924,<p style ='color:green'>-</p>,-0.13,0.14
41,化學類指數,103.81,20190923,<p style ='color:green'>-</p>,-0.11,0.11
42,化學類指數,103.92,20190920,<p style ='color:red'>+</p>,0.44,0.46
43,化學類指數,103.46,20190919,<p style ='color:green'>-</p>,-0.27,0.28
44,化學類指數,103.74,20190918,<p style ='color:red'>+</p>,0.55,0.57
45,化學類指數,103.17,20190917,<p style ='color:green'>-</p>,-0.26,0.27
46,化學類指數,103.44,20190916,<p style ='color:red'>+</p>,0.52,0.53
47,化學類指數,102.91,20190912,<p style ='color:red'>+</p>,0.26,0.27
48,化學類指數,102.64,20190911,<p style ='color:green'>-</p>,-0.24,0.25
49,化學類指數,102.89,20190910,<p style ='color:green'>-</p>,-0.34,0.35
50,化學類指數,103.24,20190909,<p style ='color:green'>-</p>,-0.39,0.4
51,化學類指數,103.64,20190906,<p style ='color:red'>+</p>,0.05,0.05
52,化學類指數,103.59,20190905,<p style ='color:red'>+</p>,0.25,0.26
53,化學類指數,103.33,20190904,<p style ='color:red'>+</p>,0.37,0.38
54,化學類指數,102.95,20190903,<p style ='color:red'>+</p>,0.02,0.02
55,化學類指數,102.93,20190902,<p style ='color:red'>+</p>,0.76,0.78
56,化學類指數,102.15,20190830,<p style ='color:red'>+</p>,0.58,0.59
57,化學類指數,101.56,20190829,<p style ='color:red'>+</p>,0.1,0.1
58,化學類指數,101.46,20190828,<p style ='color:red'>+</p>,0.2,0.2
59,化學類指數,101.26,20190827,<p style ='color:green'>-</p>,-0.25,0.25
60,化學類指數,101.51,20190826,<p style ='color:green'>-</p>,-1.32,1.36
61,化學類指數,102.87,20190823,<p style ='color:red'>+</p>,0.08,0.08
62,化學類指數,102.79,20190822,<p style ='color:green'>-</p>,-0.06,0.06
63,化學類指數,102.85,20190821,<p style ='color:red'>+</p>,0.13,0.13
64,化學類指數,102.72,20190820,<p style ='color:green'>-</p>,-0.75,0.78
65,化學類指數,103.5,20190819,<p style ='color:red'>+</p>,0.31,0.32
66,化學類指數,103.18,20190816,<p style ='color:red'>+</p>,0.65,0.67
67,化學類指數,102.51,20190815,<p style ='color:green'>-</p>,-0.7,0.72
