,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,半導體類指數,209.20,20191122,<p style ='color:green'>-</p>,-0.32,0.68
1,半導體類指數,209.88,20191121,<p style ='color:green'>-</p>,-0.89,1.89
2,半導體類指數,211.77,20191120,<p style ='color:green'>-</p>,-0.42,0.9
3,半導體類指數,212.67,20191119,<p style ='color:red'>+</p>,1.0,2.11
4,半導體類指數,210.56,20191118,<p style ='color:red'>+</p>,1.19,2.48
5,半導體類指數,208.08,20191115,<p style ='color:red'>+</p>,1.13,2.32
6,半導體類指數,205.76,20191114,<p style ='color:green'>-</p>,-0.19,0.39
7,半導體類指數,206.15,20191113,<p style ='color:green'>-</p>,-0.36,0.74
8,半導體類指數,206.89,20191112,<p style ='color:red'>+</p>,1.37,2.79
9,半導體類指數,204.1,20191111,<p style ='color:green'>-</p>,-1.45,3.0
10,半導體類指數,207.1,20191108,<p style ='color:green'>-</p>,-1.11,2.32
11,半導體類指數,209.42,20191107,<p style ='color:green'>-</p>,-0.73,1.55
12,半導體類指數,210.97,20191106,<p style ='color:red'>+</p>,0.13,0.28
13,半導體類指數,210.69,20191105,<p style ='color:red'>+</p>,1.27,2.64
14,半導體類指數,208.05,20191104,<p style ='color:red'>+</p>,2.14,4.36
15,半導體類指數,203.69,20191101,<p style ='color:red'>+</p>,0.24,0.48
16,半導體類指數,203.21,20191031,<p style ='color:green'>-</p>,-0.12,0.25
17,半導體類指數,203.46,20191030,<p style ='color:red'>+</p>,0.26,0.52
18,半導體類指數,202.94,20191029,<p style ='color:red'>+</p>,1.05,2.1
19,半導體類指數,200.84,20191028,<p style ='color:red'>+</p>,0.37,0.74
20,半導體類指數,200.1,20191025,<p style ='color:green'>-</p>,-0.05,0.11
21,半導體類指數,200.21,20191024,<p style ='color:red'>+</p>,0.47,0.94
22,半導體類指數,199.27,20191023,<p style ='color:green'>-</p>,-0.03,0.05
23,半導體類指數,199.32,20191022,<p style ='color:red'>+</p>,1.1,2.16
24,半導體類指數,197.16,20191021,<p style ='color:green'>-</p>,-0.88,1.76
25,半導體類指數,198.92,20191018,<p style ='color:green'>-</p>,-0.01,0.01
26,半導體類指數,198.93,20191017,<p style ='color:green'>-</p>,-0.45,0.89
27,半導體類指數,199.82,20191016,<p style ='color:red'>+</p>,0.73,1.44
28,半導體類指數,198.38,20191015,<p style ='color:red'>+</p>,0.77,1.52
29,半導體類指數,196.86,20191014,<p style ='color:red'>+</p>,2.58,4.96
30,半導體類指數,191.9,20191009,<p style ='color:green'>-</p>,-1.81,3.54
31,半導體類指數,195.44,20191008,<p style ='color:red'>+</p>,2.11,4.03
32,半導體類指數,191.41,20191007,<p style ='color:red'>+</p>,0.49,0.93
33,半導體類指數,190.48,20191004,<p style ='color:red'>+</p>,0.19,0.37
34,半導體類指數,190.11,20191003,<p style ='color:green'>-</p>,-0.78,1.49
35,半導體類指數,191.6,20191002,<p style ='color:green'>-</p>,-0.15,0.29
36,半導體類指數,191.89,20191001,<p style ='color:red'>+</p>,2.64,4.94
37,半導體類指數,186.95,20190927,<p style ='color:red'>+</p>,0.64,1.19
38,半導體類指數,185.76,20190926,<p style ='color:red'>+</p>,0.42,0.78
39,半導體類指數,184.98,20190925,<p style ='color:green'>-</p>,-0.04,0.07
40,半導體類指數,185.05,20190924,<p style ='color:red'>+</p>,0.23,0.43
41,半導體類指數,184.62,20190923,<p style ='color:red'>+</p>,0.18,0.33
42,半導體類指數,184.29,20190920,<p style ='color:green'>-</p>,-0.01,0.02
43,半導體類指數,184.31,20190919,<p style ='color:green'>-</p>,-0.39,0.73
44,半導體類指數,185.04,20190918,<p style ='color:red'>+</p>,0.59,1.08
45,半導體類指數,183.96,20190917,<p style ='color:red'>+</p>,0.12,0.22
46,半導體類指數,183.74,20190916,<p style ='color:red'>+</p>,0.85,1.55
47,半導體類指數,182.19,20190912,<p style ='color:red'>+</p>,0.01,0.02
48,半導體類指數,182.17,20190911,<p style ='color:red'>+</p>,0.5,0.91
49,半導體類指數,181.26,20190910,<p style ='color:green'>-</p>,-1.18,2.16
50,半導體類指數,183.42,20190909,<p style ='color:red'>+</p>,0.49,0.89
51,半導體類指數,182.53,20190906,<p style ='color:red'>+</p>,0.32,0.58
52,半導體類指數,181.95,20190905,<p style ='color:red'>+</p>,1.79,3.2
53,半導體類指數,178.75,20190904,<p style ='color:red'>+</p>,1.34,2.37
54,半導體類指數,176.38,20190903,<p style ='color:green'>-</p>,-1.37,2.45
55,半導體類指數,178.83,20190902,<p style ='color:green'>-</p>,-0.09,0.16
56,半導體類指數,178.99,20190830,<p style ='color:red'>+</p>,1.75,3.08
57,半導體類指數,175.91,20190829,<p style ='color:red'>+</p>,0.62,1.08
58,半導體類指數,174.83,20190828,<p style ='color:red'>+</p>,1.06,1.83
59,半導體類指數,173.0,20190827,<p style ='color:red'>+</p>,0.66,1.14
60,半導體類指數,171.86,20190826,<p style ='color:green'>-</p>,-2.09,3.66
61,半導體類指數,175.52,20190823,<p style ='color:red'>+</p>,0.03,0.05
62,半導體類指數,175.47,20190822,<p style ='color:green'>-</p>,-0.11,0.2
63,半導體類指數,175.67,20190821,<p style ='color:green'>-</p>,-0.02,0.03
64,半導體類指數,175.7,20190820,<p style ='color:red'>+</p>,0.74,1.29
65,半導體類指數,174.41,20190819,<p style ='color:red'>+</p>,1.49,2.56
66,半導體類指數,171.85,20190816,<p style ='color:red'>+</p>,0.89,1.52
67,半導體類指數,170.33,20190815,<p style ='color:green'>-</p>,-0.71,1.22
