,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,塑膠化工類指數,835.54,20191122,<p style ='color:red'>+</p>,0.56,4.63
1,塑膠化工類指數,830.91,20191121,<p style ='color:green'>-</p>,-0.23,1.91
2,塑膠化工類指數,832.82,20191120,<p style ='color:green'>-</p>,-0.35,2.96
3,塑膠化工類指數,835.78,20191119,<p style ='color:green'>-</p>,-0.03,0.27
4,塑膠化工類指數,836.05,20191118,<p style ='color:red'>+</p>,0.23,1.95
5,塑膠化工類指數,834.1,20191115,<p style ='color:red'>+</p>,0.29,2.39
6,塑膠化工類指數,831.71,20191114,<p style ='color:green'>-</p>,-0.17,1.4
7,塑膠化工類指數,833.11,20191113,<p style ='color:green'>-</p>,-0.58,4.83
8,塑膠化工類指數,837.94,20191112,<p style ='color:green'>-</p>,-0.3,2.55
9,塑膠化工類指數,840.49,20191111,<p style ='color:green'>-</p>,-1.19,10.08
10,塑膠化工類指數,850.57,20191108,<p style ='color:green'>-</p>,-0.42,3.59
11,塑膠化工類指數,854.16,20191107,<p style ='color:green'>-</p>,-0.29,2.47
12,塑膠化工類指數,856.63,20191106,<p style ='color:green'>-</p>,-0.38,3.31
13,塑膠化工類指數,859.94,20191105,<p style ='color:red'>+</p>,0.34,2.88
14,塑膠化工類指數,857.06,20191104,<p style ='color:red'>+</p>,0.82,6.99
15,塑膠化工類指數,850.07,20191101,<p style ='color:red'>+</p>,0.22,1.89
16,塑膠化工類指數,848.18,20191031,<p style ='color:green'>-</p>,-0.34,2.88
17,塑膠化工類指數,851.06,20191030,<p style ='color:red'>+</p>,0.75,6.31
18,塑膠化工類指數,844.75,20191029,<p style ='color:green'>-</p>,-0.07,0.6
19,塑膠化工類指數,845.35,20191028,<p style ='color:green'>-</p>,-0.07,0.63
20,塑膠化工類指數,845.98,20191025,<p style ='color:green'>-</p>,-0.59,4.99
21,塑膠化工類指數,850.97,20191024,<p style ='color:red'>+</p>,1.11,9.32
22,塑膠化工類指數,841.65,20191023,<p style ='color:green'>-</p>,-0.56,4.75
23,塑膠化工類指數,846.4,20191022,<p style ='color:red'>+</p>,0.54,4.58
24,塑膠化工類指數,841.82,20191021,<p style ='color:red'>+</p>,0.19,1.61
25,塑膠化工類指數,840.21,20191018,<p style ='color:green'>-</p>,-0.04,0.3
26,塑膠化工類指數,840.51,20191017,<p style ='color:red'>+</p>,0.22,1.83
27,塑膠化工類指數,838.68,20191016,<p style ='color:red'>+</p>,0.82,6.86
28,塑膠化工類指數,831.82,20191015,<p style ='color:red'>+</p>,0.53,4.39
29,塑膠化工類指數,827.43,20191014,<p style ='color:red'>+</p>,1.03,8.41
30,塑膠化工類指數,819.02,20191009,<p style ='color:green'>-</p>,-0.96,7.91
31,塑膠化工類指數,826.93,20191008,<p style ='color:red'>+</p>,0.4,3.3
32,塑膠化工類指數,823.63,20191007,<p style ='color:red'>+</p>,0.46,3.75
33,塑膠化工類指數,819.88,20191004,<p style ='color:red'>+</p>,0.21,1.75
34,塑膠化工類指數,818.13,20191003,<p style ='color:green'>-</p>,-0.68,5.58
