,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,塑膠類指數,256.32,20191122,<p style ='color:red'>+</p>,0.70,1.79
1,塑膠類指數,254.53,20191121,<p style ='color:green'>-</p>,-0.29,0.74
2,塑膠類指數,255.27,20191120,<p style ='color:green'>-</p>,-0.65,1.68
3,塑膠類指數,256.95,20191119,<p style ='color:green'>-</p>,-0.07,0.17
4,塑膠類指數,257.12,20191118,<p style ='color:red'>+</p>,0.33,0.84
5,塑膠類指數,256.28,20191115,<p style ='color:red'>+</p>,0.29,0.75
6,塑膠類指數,255.53,20191114,<p style ='color:green'>-</p>,-0.02,0.06
7,塑膠類指數,255.59,20191113,<p style ='color:green'>-</p>,-0.67,1.73
8,塑膠類指數,257.32,20191112,<p style ='color:red'>+</p>,0.09,0.24
9,塑膠類指數,257.08,20191111,<p style ='color:green'>-</p>,-0.94,2.45
10,塑膠類指數,259.53,20191108,<p style ='color:green'>-</p>,-0.58,1.51
11,塑膠類指數,261.04,20191107,<p style ='color:green'>-</p>,-0.16,0.42
12,塑膠類指數,261.46,20191106,<p style ='color:green'>-</p>,-0.45,1.17
13,塑膠類指數,262.63,20191105,<p style ='color:red'>+</p>,0.44,1.14
14,塑膠類指數,261.49,20191104,<p style ='color:red'>+</p>,0.90,2.34
15,塑膠類指數,259.15,20191101,<p style ='color:red'>+</p>,0.15,0.40
16,塑膠類指數,258.75,20191031,<p style ='color:green'>-</p>,-0.40,1.04
17,塑膠類指數,259.79,20191030,<p style ='color:red'>+</p>,0.62,1.61
18,塑膠類指數,258.18,20191029,<p style ='color:red'>+</p>,0.14,0.37
19,塑膠類指數,257.81,20191028,<p style ='color:green'>-</p>,-0.01,0.03
20,塑膠類指數,257.84,20191025,<p style ='color:green'>-</p>,-0.58,1.51
21,塑膠類指數,259.35,20191024,<p style ='color:red'>+</p>,1.30,3.34
22,塑膠類指數,256.01,20191023,<p style ='color:green'>-</p>,-0.77,1.98
23,塑膠類指數,257.99,20191022,<p style ='color:red'>+</p>,1.06,2.70
24,塑膠類指數,255.29,20191021,<p style ='color:green'>-</p>,--,0.01
25,塑膠類指數,255.3,20191018,<p style ='color:green'>-</p>,-0.26,0.66
26,塑膠類指數,255.96,20191017,<p style ='color:red'>+</p>,0.41,1.05
27,塑膠類指數,254.91,20191016,<p style ='color:red'>+</p>,0.71,1.79
28,塑膠類指數,253.12,20191015,<p style ='color:red'>+</p>,0.67,1.68
29,塑膠類指數,251.44,20191014,<p style ='color:red'>+</p>,1.09,2.72
30,塑膠類指數,248.72,20191009,<p style ='color:green'>-</p>,-1.29,3.24
