,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,寶島股價指數,"13,687.74",20191231,<p style ='color:green'>-</p>,-0.42,58.32
1,寶島股價指數,"13,746.06",20191230,<p style ='color:green'>-</p>,-0.28,39.13
2,寶島股價指數,"13,785.19",20191227,<p style ='color:red'>+</p>,0.72,98.33
3,寶島股價指數,"13,686.86",20191226,<p style ='color:green'>-</p>,-0.04,5.18
4,寶島股價指數,"13,692.04",20191225,<p style ='color:red'>+</p>,0.31,41.66
5,寶島股價指數,"13,650.38",20191224,<p style ='color:green'>-</p>,-0.33,45.12
6,寶島股價指數,"13,695.50",20191223,<p style ='color:red'>+</p>,0.49,66.81
7,寶島股價指數,"13,628.69",20191220,<p style ='color:green'>-</p>,-0.46,63.48
8,寶島股價指數,"13,692.17",20191219,<p style ='color:green'>-</p>,-0.81,111.83
9,寶島股價指數,"13,804.00",20191218,<p style ='color:red'>+</p>,0.18,24.68
10,寶島股價指數,"13,779.32",20191217,<p style ='color:red'>+</p>,1.24,168.38
11,寶島股價指數,"13,610.94",20191216,<p style ='color:red'>+</p>,0.15,20.24
12,寶島股價指數,"13,590.70",20191213,<p style ='color:red'>+</p>,0.66,89.25
13,寶島股價指數,"13,501.45",20191212,<p style ='color:red'>+</p>,1.07,142.82
14,寶島股價指數,"13,358.63",20191211,<p style ='color:red'>+</p>,0.58,77.47
15,寶島股價指數,"13,281.16",20191210,<p style ='color:green'>-</p>,-0.26,34.51
16,寶島股價指數,"13,315.67",20191209,<p style ='color:red'>+</p>,0.41,54.79
17,寶島股價指數,"13,260.88",20191206,<p style ='color:red'>+</p>,0.14,18.14
18,寶島股價指數,"13,242.74",20191205,<p style ='color:red'>+</p>,0.77,100.81
19,寶島股價指數,"13,141.93",20191204,<p style ='color:green'>-</p>,-0.15,19.27
20,寶島股價指數,"13,161.20",20191203,<p style ='color:red'>+</p>,0.26,33.89
21,寶島股價指數,"13,127.31",20191202,<p style ='color:red'>+</p>,0.06,7.46
22,寶島股價指數,"13,119.85",20191129,<p style ='color:green'>-</p>,-1.07,142.3
23,寶島股價指數,"13,262.15",20191128,<p style ='color:green'>-</p>,-0.23,30.24
24,寶島股價指數,"13,292.39",20191127,<p style ='color:red'>+</p>,0.59,77.32
25,寶島股價指數,"13,215.07",20191126,<p style ='color:red'>+</p>,0.19,24.44
26,寶島股價指數,"13,190.63",20191125,<p style ='color:green'>-</p>,-0.02,2.86
27,寶島股價指數,"13,193.49",20191122,<p style ='color:red'>+</p>,0.1,12.89
28,寶島股價指數,"13,180.60",20191121,<p style ='color:green'>-</p>,-0.52,69.54
29,寶島股價指數,"13,250.14",20191120,<p style ='color:green'>-</p>,-0.29,38.34
30,寶島股價指數,"13,288.48",20191119,<p style ='color:red'>+</p>,0.44,57.93
31,寶島股價指數,"13,230.55",20191118,<p style ='color:red'>+</p>,0.62,81.56
32,寶島股價指數,"13,148.99",20191115,<p style ='color:red'>+</p>,0.66,86.1
33,寶島股價指數,"13,062.89",20191114,<p style ='color:green'>-</p>,-0.18,23.72
34,寶島股價指數,"13,086.61",20191113,<p style ='color:green'>-</p>,-0.41,54.16
35,寶島股價指數,"13,140.77",20191112,<p style ='color:red'>+</p>,0.81,105.37
36,寶島股價指數,"13,035.40",20191111,<p style ='color:green'>-</p>,-1.35,178.11
37,寶島股價指數,"13,213.51",20191108,<p style ='color:green'>-</p>,-0.22,29.15
38,寶島股價指數,"13,242.66",20191107,<p style ='color:green'>-</p>,-0.46,60.72
39,寶島股價指數,"13,303.38",20191106,<p style ='color:red'>+</p>,0.02,2.34
40,寶島股價指數,"13,301.04",20191105,<p style ='color:red'>+</p>,0.75,98.59
41,寶島股價指數,"13,202.45",20191104,<p style ='color:red'>+</p>,1.31,170.82
42,寶島股價指數,"13,031.63",20191101,<p style ='color:red'>+</p>,0.38,49.64
43,寶島股價指數,"12,981.99",20191031,<p style ='color:green'>-</p>,-0.22,29.07
44,寶島股價指數,"13,011.06",20191030,<p style ='color:red'>+</p>,0.41,53.7
45,寶島股價指數,"12,957.36",20191029,<p style ='color:red'>+</p>,0.09,12.18
46,寶島股價指數,"12,945.18",20191028,<p style ='color:red'>+</p>,0.23,29.22
47,寶島股價指數,"12,915.96",20191025,<p style ='color:green'>-</p>,-0.21,27.43
48,寶島股價指數,"12,943.39",20191024,<p style ='color:red'>+</p>,0.72,93.01
49,寶島股價指數,"12,850.38",20191023,<p style ='color:green'>-</p>,-0.27,35.16
50,寶島股價指數,"12,885.54",20191022,<p style ='color:red'>+</p>,0.73,93.25
51,寶島股價指數,"12,792.29",20191021,<p style ='color:red'>+</p>,0.06,7.51
52,寶島股價指數,"12,784.78",20191018,<p style ='color:green'>-</p>,-0.03,3.32
53,寶島股價指數,"12,788.10",20191017,<p style ='color:red'>+</p>,0.26,33.69
54,寶島股價指數,"12,754.41",20191016,<p style ='color:red'>+</p>,0.4,50.81
55,寶島股價指數,"12,703.60",20191015,<p style ='color:red'>+</p>,0.38,48.35
56,寶島股價指數,"12,655.25",20191014,<p style ='color:red'>+</p>,1.57,195.5
57,寶島股價指數,"12,459.75",20191009,<p style ='color:green'>-</p>,-1.1,138.72
58,寶島股價指數,"12,598.47",20191008,<p style ='color:red'>+</p>,0.65,80.87
59,寶島股價指數,"12,517.60",20191007,<p style ='color:red'>+</p>,0.36,44.45
60,寶島股價指數,"12,473.15",20191004,<p style ='color:red'>+</p>,0.15,18.33
61,寶島股價指數,"12,454.82",20191003,<p style ='color:green'>-</p>,-0.59,74.24
