,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,建材營造類指數,297.71,20191122,<p style ='color:red'>+</p>,0.03,0.10
1,建材營造類指數,297.61,20191121,<p style ='color:green'>-</p>,-0.67,2.0
2,建材營造類指數,299.61,20191120,<p style ='color:red'>+</p>,0.61,1.81
3,建材營造類指數,297.8,20191119,<p style ='color:red'>+</p>,0.33,0.98
4,建材營造類指數,296.82,20191118,<p style ='color:green'>-</p>,-0.16,0.49
5,建材營造類指數,297.31,20191115,<p style ='color:red'>+</p>,0.19,0.55
6,建材營造類指數,296.76,20191114,<p style ='color:green'>-</p>,-0.23,0.68
7,建材營造類指數,297.44,20191113,<p style ='color:red'>+</p>,0.02,0.07
8,建材營造類指數,297.37,20191112,<p style ='color:red'>+</p>,0.18,0.54
9,建材營造類指數,296.83,20191111,<p style ='color:green'>-</p>,-1.09,3.26
10,建材營造類指數,300.09,20191108,<p style ='color:green'>-</p>,-0.37,1.12
11,建材營造類指數,301.21,20191107,<p style ='color:green'>-</p>,-0.33,0.99
12,建材營造類指數,302.2,20191106,<p style ='color:red'>+</p>,0.35,1.04
13,建材營造類指數,301.16,20191105,<p style ='color:green'>-</p>,-0.03,0.08
14,建材營造類指數,301.24,20191104,<p style ='color:red'>+</p>,0.56,1.69
15,建材營造類指數,299.55,20191101,<p style ='color:green'>-</p>,-0.28,0.85
16,建材營造類指數,300.4,20191031,<p style ='color:green'>-</p>,-0.25,0.74
17,建材營造類指數,301.14,20191030,<p style ='color:red'>+</p>,0.85,2.55
18,建材營造類指數,298.59,20191029,<p style ='color:green'>-</p>,-0.42,1.27
19,建材營造類指數,299.86,20191028,<p style ='color:green'>-</p>,-0.03,0.08
20,建材營造類指數,299.94,20191025,<p style ='color:green'>-</p>,-0.47,1.42
21,建材營造類指數,301.36,20191024,<p style ='color:red'>+</p>,0.4,1.21
22,建材營造類指數,300.15,20191023,<p style ='color:green'>-</p>,-0.47,1.43
23,建材營造類指數,301.58,20191022,<p style ='color:red'>+</p>,0.18,0.55
24,建材營造類指數,301.03,20191021,<p style ='color:red'>+</p>,1.35,4.02
25,建材營造類指數,297.01,20191018,<p style ='color:green'>-</p>,-0.49,1.46
26,建材營造類指數,298.47,20191017,<p style ='color:red'>+</p>,0.99,2.92
27,建材營造類指數,295.55,20191016,<p style ='color:red'>+</p>,1.66,4.83
28,建材營造類指數,290.72,20191015,<p style ='color:red'>+</p>,0.52,1.49
29,建材營造類指數,289.23,20191014,<p style ='color:red'>+</p>,1.77,5.03
30,建材營造類指數,284.2,20191009,<p style ='color:green'>-</p>,-0.06,0.16
31,建材營造類指數,284.36,20191008,<p style ='color:red'>+</p>,0.1,0.28
32,建材營造類指數,284.08,20191007,<p style ='color:red'>+</p>,0.28,0.78
33,建材營造類指數,283.3,20191004,<p style ='color:green'>-</p>,-0.09,0.26
34,建材營造類指數,283.56,20191003,<p style ='color:red'>+</p>,0.36,1.03
35,建材營造類指數,282.53,20191002,<p style ='color:green'>-</p>,-0.71,2.02
36,建材營造類指數,284.55,20191001,<p style ='color:green'>-</p>,-0.05,0.15
37,建材營造類指數,284.7,20190927,<p style ='color:green'>-</p>,-0.76,2.19
38,建材營造類指數,286.89,20190926,<p style ='color:green'>-</p>,-0.42,1.22
39,建材營造類指數,288.11,20190925,<p style ='color:green'>-</p>,-0.13,0.38
40,建材營造類指數,288.49,20190924,<p style ='color:green'>-</p>,-0.34,0.99
41,建材營造類指數,289.48,20190923,<p style ='color:red'>+</p>,0.36,1.04
42,建材營造類指數,288.44,20190920,<p style ='color:red'>+</p>,0.48,1.38
43,建材營造類指數,287.06,20190919,<p style ='color:green'>-</p>,-0.31,0.88
44,建材營造類指數,287.94,20190918,<p style ='color:red'>+</p>,0.84,2.4
45,建材營造類指數,285.54,20190917,<p style ='color:green'>-</p>,-0.13,0.38
46,建材營造類指數,285.92,20190916,<p style ='color:red'>+</p>,0.3,0.86
47,建材營造類指數,285.06,20190912,<p style ='color:red'>+</p>,0.53,1.51
48,建材營造類指數,283.55,20190911,<p style ='color:green'>-</p>,-0.68,1.94
49,建材營造類指數,285.49,20190910,<p style ='color:green'>-</p>,-0.29,0.83
50,建材營造類指數,286.32,20190909,<p style ='color:green'>-</p>,-0.11,0.32
51,建材營造類指數,286.64,20190906,<p style ='color:green'>-</p>,-0.34,0.98
52,建材營造類指數,287.62,20190905,<p style ='color:red'>+</p>,0.1,0.28
53,建材營造類指數,287.34,20190904,<p style ='color:red'>+</p>,1.23,3.49
54,建材營造類指數,283.85,20190903,<p style ='color:green'>-</p>,-0.05,0.15
55,建材營造類指數,284.0,20190902,<p style ='color:red'>+</p>,0.35,0.99
56,建材營造類指數,283.01,20190830,<p style ='color:red'>+</p>,0.64,1.81
57,建材營造類指數,281.2,20190829,<p style ='color:green'>-</p>,-0.61,1.72
58,建材營造類指數,282.92,20190828,<p style ='color:red'>+</p>,0.51,1.43
59,建材營造類指數,281.49,20190827,<p style ='color:green'>-</p>,-0.84,2.39
60,建材營造類指數,283.88,20190826,<p style ='color:green'>-</p>,-0.88,2.51
61,建材營造類指數,286.39,20190823,<p style ='color:red'>+</p>,0.1,0.28
62,建材營造類指數,286.11,20190822,<p style ='color:red'>+</p>,0.02,0.07
63,建材營造類指數,286.04,20190821,<p style ='color:red'>+</p>,0.28,0.81
64,建材營造類指數,285.23,20190820,<p style ='color:red'>+</p>,0.11,0.32
65,建材營造類指數,284.91,20190819,<p style ='color:red'>+</p>,0.23,0.64
66,建材營造類指數,284.27,20190816,<p style ='color:red'>+</p>,0.45,1.28
67,建材營造類指數,282.99,20190815,<p style ='color:green'>-</p>,-0.37,1.06
