,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,未含金融指數,"10,171.39",20191231,<p style ='color:green'>-</p>,-0.47,47.96
1,未含金融指數,"10,219.35",20191230,<p style ='color:green'>-</p>,-0.34,34.63
2,未含金融指數,"10,253.98",20191227,<p style ='color:red'>+</p>,0.83,84.44
3,未含金融指數,"10,169.54",20191226,<p style ='color:green'>-</p>,-0.08,8.15
4,未含金融指數,"10,177.69",20191225,<p style ='color:red'>+</p>,0.32,32.39
5,未含金融指數,"10,145.30",20191224,<p style ='color:green'>-</p>,-0.39,39.9
6,未含金融指數,"10,185.20",20191223,<p style ='color:red'>+</p>,0.55,55.94
7,未含金融指數,"10,129.26",20191220,<p style ='color:green'>-</p>,-0.57,58.32
8,未含金融指數,"10,187.58",20191219,<p style ='color:green'>-</p>,-0.95,98.17
9,未含金融指數,"10,285.75",20191218,<p style ='color:red'>+</p>,0.18,18.66
10,未含金融指數,"10,267.09",20191217,<p style ='color:red'>+</p>,1.44,145.37
11,未含金融指數,"10,121.72",20191216,<p style ='color:red'>+</p>,0.16,15.7
12,未含金融指數,"10,106.02",20191213,<p style ='color:red'>+</p>,0.74,74.65
13,未含金融指數,"10,031.37",20191212,<p style ='color:red'>+</p>,1.30,129.14
14,未含金融指數,"9,902.23",20191211,<p style ='color:red'>+</p>,0.67,66.04
15,未含金融指數,"9,836.19",20191210,<p style ='color:green'>-</p>,-0.34,33.23
16,未含金融指數,"9,869.42",20191209,<p style ='color:red'>+</p>,0.48,46.79
17,未含金融指數,"9,822.63",20191206,<p style ='color:red'>+</p>,0.16,15.26
18,未含金融指數,"9,807.37",20191205,<p style ='color:red'>+</p>,0.85,82.88
19,未含金融指數,"9,724.49",20191204,<p style ='color:green'>-</p>,-0.20,19.14
20,未含金融指數,"9,743.63",20191203,<p style ='color:red'>+</p>,0.28,26.8
21,未含金融指數,"9,716.83",20191202,<p style ='color:red'>+</p>,0.14,13.4
22,未含金融指數,"9,703.43",20191129,<p style ='color:green'>-</p>,-1.11,109.22
23,未含金融指數,"9,812.65",20191128,<p style ='color:green'>-</p>,-0.25,24.15
24,未含金融指數,"9,836.80",20191127,<p style ='color:red'>+</p>,0.64,62.85
25,未含金融指數,"9,773.95",20191126,<p style ='color:red'>+</p>,0.15,14.76
26,未含金融指數,"9,759.19",20191125,<p style ='color:green'>-</p>,-0.10,9.74
27,未含金融指數,"9,768.93",20191122,<p style ='color:red'>+</p>,0.04,4.0
28,未含金融指數,"9,764.93",20191121,<p style ='color:green'>-</p>,-0.61,59.8
29,未含金融指數,"9,824.73",20191120,<p style ='color:green'>-</p>,-0.22,22.04
30,未含金融指數,"9,846.77",20191119,<p style ='color:red'>+</p>,0.56,54.72
31,未含金融指數,"9,792.05",20191118,<p style ='color:red'>+</p>,0.65,63.63
32,未含金融指數,"9,728.42",20191115,<p style ='color:red'>+</p>,0.70,67.37
33,未含金融指數,"9,661.05",20191114,<p style ='color:green'>-</p>,-0.12,11.78
34,未含金融指數,"9,672.83",20191113,<p style ='color:green'>-</p>,-0.45,43.39
35,未含金融指數,"9,716.22",20191112,<p style ='color:red'>+</p>,0.86,82.7
36,未含金融指數,"9,633.52",20191111,<p style ='color:green'>-</p>,-1.39,135.86
37,未含金融指數,"9,769.38",20191108,<p style ='color:green'>-</p>,-0.27,26.41
38,未含金融指數,"9,795.79",20191107,<p style ='color:green'>-</p>,-0.43,42.24
39,未含金融指數,"9,838.03",20191106,<p style ='color:green'>-</p>,-0.10,10.12
40,未含金融指數,"9,848.15",20191105,<p style ='color:red'>+</p>,0.78,76.02
41,未含金融指數,"9,772.13",20191104,<p style ='color:red'>+</p>,1.45,139.86
42,未含金融指數,"9,632.27",20191101,<p style ='color:red'>+</p>,0.43,41.27
43,未含金融指數,"9,591.00",20191031,<p style ='color:green'>-</p>,-0.20,19.3
44,未含金融指數,"9,610.30",20191030,<p style ='color:red'>+</p>,0.41,39.4
45,未含金融指數,"9,570.90",20191029,<p style ='color:red'>+</p>,0.17,16.11
46,未含金融指數,"9,554.79",20191028,<p style ='color:red'>+</p>,0.18,17.12
47,未含金融指數,"9,537.67",20191025,<p style ='color:green'>-</p>,-0.24,22.84
48,未含金融指數,"9,560.51",20191024,<p style ='color:red'>+</p>,0.70,66.71
