,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,未含金融電子指數,"12,553.52",20191231,<p style ='color:green'>-</p>,-0.23,28.94
1,未含金融電子指數,"12,582.46",20191230,<p style ='color:green'>-</p>,-0.10,12.26
2,未含金融電子指數,"12,594.72",20191227,<p style ='color:red'>+</p>,0.53,66.26
3,未含金融電子指數,"12,528.46",20191226,<p style ='color:green'>-</p>,-0.17,21.1
4,未含金融電子指數,"12,549.56",20191225,<p style ='color:red'>+</p>,0.04,4.64
5,未含金融電子指數,"12,544.92",20191224,<p style ='color:green'>-</p>,-0.30,37.2
6,未含金融電子指數,"12,582.12",20191223,<p style ='color:red'>+</p>,0.44,55.53
7,未含金融電子指數,"12,526.59",20191220,<p style ='color:red'>+</p>,0.21,26.63
8,未含金融電子指數,"12,499.96",20191219,<p style ='color:green'>-</p>,-0.14,17.31
9,未含金融電子指數,"12,517.27",20191218,<p style ='color:red'>+</p>,0.58,72.26
10,未含金融電子指數,"12,445.01",20191217,<p style ='color:red'>+</p>,0.85,105.1
11,未含金融電子指數,"12,339.91",20191216,<p style ='color:red'>+</p>,0.33,41.18
12,未含金融電子指數,"12,298.73",20191213,<p style ='color:red'>+</p>,0.15,18.29
13,未含金融電子指數,"12,280.44",20191212,<p style ='color:red'>+</p>,0.20,25.02
14,未含金融電子指數,"12,255.42",20191211,<p style ='color:red'>+</p>,0.06,6.93
15,未含金融電子指數,"12,248.49",20191210,<p style ='color:green'>-</p>,-0.09,10.9
16,未含金融電子指數,"12,259.39",20191209,<p style ='color:green'>-</p>,-0.16,19.57
17,未含金融電子指數,"12,278.96",20191206,<p style ='color:red'>+</p>,0.20,24.88
18,未含金融電子指數,"12,254.08",20191205,<p style ='color:green'>-</p>,-0.17,20.31
19,未含金融電子指數,"12,274.39",20191204,<p style ='color:green'>-</p>,-0.21,26.29
20,未含金融電子指數,"12,300.68",20191203,<p style ='color:red'>+</p>,0.17,21.15
21,未含金融電子指數,"12,279.53",20191202,<p style ='color:red'>+</p>,0.01,1.06
22,未含金融電子指數,"12,278.47",20191129,<p style ='color:green'>-</p>,-0.94,116.35
23,未含金融電子指數,"12,394.82",20191128,<p style ='color:green'>-</p>,-0.08,9.67
24,未含金融電子指數,"12,404.49",20191127,<p style ='color:red'>+</p>,0.24,30.2
25,未含金融電子指數,"12,374.29",20191126,<p style ='color:red'>+</p>,0.34,41.9
26,未含金融電子指數,"12,332.39",20191125,<p style ='color:red'>+</p>,0.26,32.14
27,未含金融電子指數,"12,300.25",20191122,<p style ='color:red'>+</p>,0.31,38.31
28,未含金融電子指數,"12,261.94",20191121,<p style ='color:green'>-</p>,-0.52,63.65
29,未含金融電子指數,"12,325.59",20191120,<p style ='color:red'>+</p>,0.13,16.14
30,未含金融電子指數,"12,309.45",20191119,<p style ='color:red'>+</p>,0.09,10.88
31,未含金融電子指數,"12,298.57",20191118,<p style ='color:red'>+</p>,0.26,32.15
