,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,未含電子指數,"14,908.97",20191122,<p style ='color:red'>+</p>,0.30,44.73
1,未含電子指數,"14,864.24",20191121,<p style ='color:green'>-</p>,-0.59,87.98
2,未含電子指數,"14,952.22",20191120,<p style ='color:red'>+</p>,0.03,5.13
3,未含電子指數,"14,947.09",20191119,<p style ='color:red'>+</p>,0.08,11.55
4,未含電子指數,"14,935.54",20191118,<p style ='color:red'>+</p>,0.36,54.21
5,未含電子指數,"14,881.33",20191115,<p style ='color:red'>+</p>,0.39,57.62
6,未含電子指數,"14,823.71",20191114,<p style ='color:green'>-</p>,-0.28,41.33
7,未含電子指數,"14,865.04",20191113,<p style ='color:green'>-</p>,-0.48,72.29
8,未含電子指數,"14,937.33",20191112,<p style ='color:red'>+</p>,0.27,40.08
9,未含電子指數,"14,897.25",20191111,<p style ='color:green'>-</p>,-0.9,134.83
10,未含電子指數,"15,032.08",20191108,<p style ='color:green'>-</p>,-0.14,21.44
11,未含電子指數,"15,053.52",20191107,<p style ='color:green'>-</p>,-0.15,22.64
12,未含電子指數,"15,076.16",20191106,<p style ='color:red'>+</p>,0.17,24.88
13,未含電子指數,"15,051.28",20191105,<p style ='color:red'>+</p>,0.43,64.01
14,未含電子指數,"14,987.27",20191104,<p style ='color:red'>+</p>,0.82,121.38
15,未含電子指數,"14,865.89",20191101,<p style ='color:red'>+</p>,0.1,14.49
16,未含電子指數,"14,851.40",20191031,<p style ='color:green'>-</p>,-0.28,41.96
17,未含電子指數,"14,893.36",20191030,<p style ='color:red'>+</p>,0.57,83.96
18,未含電子指數,"14,809.40",20191029,<p style ='color:green'>-</p>,-0.05,7.06
19,未含電子指數,"14,816.46",20191028,<p style ='color:green'>-</p>,-0.02,2.26
20,未含電子指數,"14,818.72",20191025,<p style ='color:green'>-</p>,-0.26,39.07
21,未含電子指數,"14,857.79",20191024,<p style ='color:red'>+</p>,0.82,121.2
22,未含電子指數,"14,736.59",20191023,<p style ='color:green'>-</p>,-0.63,93.93
23,未含電子指數,"14,830.52",20191022,<p style ='color:red'>+</p>,0.47,69.45
24,未含電子指數,"14,761.07",20191021,<p style ='color:red'>+</p>,0.44,64.44
25,未含電子指數,"14,696.63",20191018,<p style ='color:green'>-</p>,-0.08,11.98
26,未含電子指數,"14,708.61",20191017,<p style ='color:red'>+</p>,0.25,36.28
27,未含電子指數,"14,672.33",20191016,<p style ='color:red'>+</p>,0.58,84.9
28,未含電子指數,"14,587.43",20191015,<p style ='color:red'>+</p>,0.24,34.48
29,未含電子指數,"14,552.95",20191014,<p style ='color:red'>+</p>,1.18,170.28
30,未含電子指數,"14,382.67",20191009,<p style ='color:green'>-</p>,-0.76,110.15
31,未含電子指數,"14,492.82",20191008,<p style ='color:red'>+</p>,0.25,35.53
32,未含電子指數,"14,457.29",20191007,<p style ='color:red'>+</p>,0.12,17.53
33,未含電子指數,"14,439.76",20191004,<p style ='color:red'>+</p>,0.15,21.27
34,未含電子指數,"14,418.49",20191003,<p style ='color:green'>-</p>,-0.73,106.7
35,未含電子指數,"14,525.19",20191002,<p style ='color:green'>-</p>,-0.36,52.87
36,未含電子指數,"14,578.06",20191001,<p style ='color:red'>+</p>,0.52,75.08
37,未含電子指數,"14,502.98",20190927,<p style ='color:green'>-</p>,-0.78,113.92
38,未含電子指數,"14,616.90",20190926,<p style ='color:green'>-</p>,-0.24,35.37
39,未含電子指數,"14,652.27",20190925,<p style ='color:green'>-</p>,-0.47,69.43
40,未含電子指數,"14,721.70",20190924,<p style ='color:green'>-</p>,-0.01,0.74
41,未含電子指數,"14,722.44",20190923,<p style ='color:green'>-</p>,-0.48,70.71
42,未含電子指數,"14,793.15",20190920,<p style ='color:red'>+</p>,0.49,71.86
43,未含電子指數,"14,721.29",20190919,<p style ='color:green'>-</p>,-0.4,59.69
44,未含電子指數,"14,780.98",20190918,<p style ='color:red'>+</p>,0.33,48.39
45,未含電子指數,"14,732.59",20190917,<p style ='color:green'>-</p>,-0.37,54.02
46,未含電子指數,"14,786.61",20190916,<p style ='color:red'>+</p>,0.83,122.35
47,未含電子指數,"14,664.26",20190912,<p style ='color:red'>+</p>,0.29,42.89
48,未含電子指數,"14,621.37",20190911,<p style ='color:red'>+</p>,0.1,14.68
49,未含電子指數,"14,606.69",20190910,<p style ='color:red'>+</p>,0.15,22.05
50,未含電子指數,"14,584.64",20190909,<p style ='color:red'>+</p>,0.31,45.15
51,未含電子指數,"14,539.49",20190906,<p style ='color:red'>+</p>,0.28,40.81
52,未含電子指數,"14,498.68",20190905,<p style ='color:red'>+</p>,0.6,86.3
53,未含電子指數,"14,412.38",20190904,<p style ='color:red'>+</p>,0.71,101.91
54,未含電子指數,"14,310.47",20190903,<p style ='color:green'>-</p>,-0.48,69.26
55,未含電子指數,"14,379.73",20190902,<p style ='color:red'>+</p>,0.12,17.18
56,未含電子指數,"14,362.55",20190830,<p style ='color:red'>+</p>,1.32,186.5
57,未含電子指數,"14,176.05",20190829,<p style ='color:red'>+</p>,0.1,13.77
58,未含電子指數,"14,162.28",20190828,<p style ='color:red'>+</p>,0.14,20.43
59,未含電子指數,"14,141.85",20190827,<p style ='color:green'>-</p>,-0.01,1.4
