,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,機電類指數,"2,805.61",20191122,<p style ='color:green'>-</p>,-0.09,2.66
1,機電類指數,"2,808.27",20191121,<p style ='color:green'>-</p>,-0.65,18.36
2,機電類指數,"2,826.63",20191120,<p style ='color:green'>-</p>,-0.4,11.25
3,機電類指數,"2,837.88",20191119,<p style ='color:red'>+</p>,0.79,22.3
4,機電類指數,"2,815.58",20191118,<p style ='color:red'>+</p>,0.83,23.07
5,機電類指數,"2,792.51",20191115,<p style ='color:red'>+</p>,0.86,23.86
6,機電類指數,"2,768.65",20191114,<p style ='color:green'>-</p>,-0.06,1.54
7,機電類指數,"2,770.19",20191113,<p style ='color:green'>-</p>,-0.42,11.79
8,機電類指數,"2,781.98",20191112,<p style ='color:red'>+</p>,1.2,33.12
9,機電類指數,"2,748.86",20191111,<p style ='color:green'>-</p>,-1.61,44.92
10,機電類指數,"2,793.78",20191108,<p style ='color:green'>-</p>,-0.29,8.03
11,機電類指數,"2,801.81",20191107,<p style ='color:green'>-</p>,-0.59,16.51
12,機電類指數,"2,818.32",20191106,<p style ='color:green'>-</p>,-0.01,0.39
13,機電類指數,"2,818.71",20191105,<p style ='color:red'>+</p>,0.99,27.52
14,機電類指數,"2,791.19",20191104,<p style ='color:red'>+</p>,1.77,48.45
15,機電類指數,"2,742.74",20191101,<p style ='color:red'>+</p>,0.58,15.83
16,機電類指數,"2,726.91",20191031,<p style ='color:green'>-</p>,-0.12,3.23
17,機電類指數,"2,730.14",20191030,<p style ='color:red'>+</p>,0.29,7.88
18,機電類指數,"2,722.26",20191029,<p style ='color:red'>+</p>,0.31,8.34
19,機電類指數,"2,713.92",20191028,<p style ='color:red'>+</p>,0.32,8.53
20,機電類指數,"2,705.39",20191025,<p style ='color:green'>-</p>,-0.15,4.11
21,機電類指數,"2,709.50",20191024,<p style ='color:red'>+</p>,0.63,17.02
22,機電類指數,"2,692.48",20191023,<p style ='color:green'>-</p>,-0.02,0.5
23,機電類指數,"2,692.98",20191022,<p style ='color:red'>+</p>,0.99,26.41
24,機電類指數,"2,666.57",20191021,<p style ='color:green'>-</p>,-0.28,7.56
25,機電類指數,"2,674.13",20191018,<p style ='color:green'>-</p>,-0.03,0.82
26,機電類指數,"2,674.95",20191017,<p style ='color:red'>+</p>,0.19,5.03
27,機電類指數,"2,669.92",20191016,<p style ='color:red'>+</p>,0.37,9.95
28,機電類指數,"2,659.97",20191015,<p style ='color:red'>+</p>,0.53,14.05
29,機電類指數,"2,645.92",20191014,<p style ='color:red'>+</p>,2.0,51.85
30,機電類指數,"2,594.07",20191009,<p style ='color:green'>-</p>,-1.43,37.52
31,機電類指數,"2,631.59",20191008,<p style ='color:red'>+</p>,1.11,28.98
32,機電類指數,"2,602.61",20191007,<p style ='color:red'>+</p>,0.55,14.19
33,機電類指數,"2,588.42",20191004,<p style ='color:red'>+</p>,0.17,4.51
34,機電類指數,"2,583.91",20191003,<p style ='color:green'>-</p>,-0.58,15.11
35,機電類指數,"2,599.02",20191002,<p style ='color:green'>-</p>,-0.04,1.06
36,機電類指數,"2,600.08",20191001,<p style ='color:red'>+</p>,1.85,47.27
37,機電類指數,"2,552.81",20190927,<p style ='color:green'>-</p>,-0.11,2.69
38,機電類指數,"2,555.50",20190926,<p style ='color:red'>+</p>,0.16,3.99
39,機電類指數,"2,551.51",20190925,<p style ='color:green'>-</p>,-0.36,9.11
40,機電類指數,"2,560.62",20190924,<p style ='color:green'>-</p>,-0.02,0.39
41,機電類指數,"2,561.01",20190923,<p style ='color:red'>+</p>,0.23,5.99
42,機電類指數,"2,555.02",20190920,<p style ='color:red'>+</p>,0.2,5.03
43,機電類指數,"2,549.99",20190919,<p style ='color:green'>-</p>,-0.26,6.59
44,機電類指數,"2,556.58",20190918,<p style ='color:red'>+</p>,0.64,16.19
45,機電類指數,"2,540.39",20190917,<p style ='color:green'>-</p>,-0.08,2.16
46,機電類指數,"2,542.55",20190916,<p style ='color:red'>+</p>,0.48,12.06
47,機電類指數,"2,530.49",20190912,<p style ='color:red'>+</p>,0.39,9.93
48,機電類指數,"2,520.56",20190911,<p style ='color:red'>+</p>,0.58,14.58
49,機電類指數,"2,505.98",20190910,<p style ='color:green'>-</p>,-0.88,22.16
50,機電類指數,"2,528.14",20190909,<p style ='color:red'>+</p>,0.08,1.92
51,機電類指數,"2,526.22",20190906,<p style ='color:red'>+</p>,0.18,4.62
52,機電類指數,"2,521.60",20190905,<p style ='color:red'>+</p>,1.21,30.06
53,機電類指數,"2,491.54",20190904,<p style ='color:red'>+</p>,1.1,27.06
54,機電類指數,"2,464.48",20190903,<p style ='color:green'>-</p>,-0.91,22.72
55,機電類指數,"2,487.20",20190902,<p style ='color:red'>+</p>,0.22,5.34
56,機電類指數,"2,481.86",20190830,<p style ='color:red'>+</p>,1.6,39.16
57,機電類指數,"2,442.70",20190829,<p style ='color:red'>+</p>,0.4,9.62
58,機電類指數,"2,433.08",20190828,<p style ='color:red'>+</p>,0.68,16.48
59,機電類指數,"2,416.60",20190827,<p style ='color:red'>+</p>,0.6,14.31
60,機電類指數,"2,402.29",20190826,<p style ='color:green'>-</p>,-2.16,52.98
61,機電類指數,"2,455.27",20190823,<p style ='color:green'>-</p>,-0.06,1.47
62,機電類指數,"2,456.74",20190822,<p style ='color:red'>+</p>,0.04,1.08
63,機電類指數,"2,455.66",20190821,<p style ='color:red'>+</p>,0.23,5.54
64,機電類指數,"2,450.12",20190820,<p style ='color:red'>+</p>,0.52,12.76
65,機電類指數,"2,437.36",20190819,<p style ='color:red'>+</p>,1.01,24.47
66,機電類指數,"2,412.89",20190816,<p style ='color:red'>+</p>,0.78,18.57
67,機電類指數,"2,394.32",20190815,<p style ='color:green'>-</p>,-0.77,18.46
