,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,水泥窯製類指數,601.88,20191122,<p style ='color:green'>-</p>,-0.15,0.93
1,水泥窯製類指數,602.81,20191121,<p style ='color:green'>-</p>,-0.4,2.4
2,水泥窯製類指數,605.21,20191120,<p style ='color:red'>+</p>,1.68,9.99
3,水泥窯製類指數,595.22,20191119,<p style ='color:red'>+</p>,0.06,0.38
4,水泥窯製類指數,594.84,20191118,<p style ='color:red'>+</p>,0.52,3.09
5,水泥窯製類指數,591.75,20191115,<p style ='color:red'>+</p>,1.78,10.36
6,水泥窯製類指數,581.39,20191114,<p style ='color:red'>+</p>,0.48,2.8
7,水泥窯製類指數,578.59,20191113,<p style ='color:red'>+</p>,0.49,2.8
8,水泥窯製類指數,575.79,20191112,<p style ='color:red'>+</p>,0.46,2.63
9,水泥窯製類指數,573.16,20191111,<p style ='color:green'>-</p>,-1.21,7.01
10,水泥窯製類指數,580.17,20191108,<p style ='color:red'>+</p>,0.1,0.6
11,水泥窯製類指數,579.57,20191107,<p style ='color:red'>+</p>,0.18,1.04
12,水泥窯製類指數,578.53,20191106,<p style ='color:green'>-</p>,-0.41,2.38
13,水泥窯製類指數,580.91,20191105,<p style ='color:green'>-</p>,-0.04,0.21
14,水泥窯製類指數,581.12,20191104,<p style ='color:red'>+</p>,0.83,4.78
15,水泥窯製類指數,576.34,20191101,<p style ='color:red'>+</p>,0.2,1.16
16,水泥窯製類指數,575.18,20191031,<p style ='color:green'>-</p>,-0.15,0.85
17,水泥窯製類指數,576.03,20191030,<p style ='color:green'>-</p>,-0.41,2.36
18,水泥窯製類指數,578.39,20191029,<p style ='color:green'>-</p>,-0.15,0.86
19,水泥窯製類指數,579.25,20191028,<p style ='color:green'>-</p>,-0.37,2.14
20,水泥窯製類指數,581.39,20191025,<p style ='color:green'>-</p>,-0.42,2.47
21,水泥窯製類指數,583.86,20191024,<p style ='color:red'>+</p>,0.24,1.42
22,水泥窯製類指數,582.44,20191023,<p style ='color:green'>-</p>,-1.03,6.05
23,水泥窯製類指數,588.49,20191022,<p style ='color:green'>-</p>,-0.12,0.69
24,水泥窯製類指數,589.18,20191021,<p style ='color:red'>+</p>,1.47,8.54
25,水泥窯製類指數,580.64,20191018,<p style ='color:red'>+</p>,1.19,6.82
26,水泥窯製類指數,573.82,20191017,<p style ='color:red'>+</p>,0.68,3.89
27,水泥窯製類指數,569.93,20191016,<p style ='color:green'>-</p>,-0.11,0.62
28,水泥窯製類指數,570.55,20191015,<p style ='color:red'>+</p>,0.19,1.11
29,水泥窯製類指數,569.44,20191014,<p style ='color:red'>+</p>,1.1,6.18
30,水泥窯製類指數,563.26,20191009,<p style ='color:green'>-</p>,-0.79,4.48
31,水泥窯製類指數,567.74,20191008,<p style ='color:red'>+</p>,0.86,4.86
32,水泥窯製類指數,562.88,20191007,<p style ='color:red'>+</p>,0.87,4.88
33,水泥窯製類指數,558.0,20191004,<p style ='color:green'>-</p>,-0.41,2.31
34,水泥窯製類指數,560.31,20191003,<p style ='color:green'>-</p>,-0.64,3.62
35,水泥窯製類指數,563.93,20191002,<p style ='color:green'>-</p>,-0.91,5.18
36,水泥窯製類指數,569.11,20191001,<p style ='color:red'>+</p>,0.02,0.14
37,水泥窯製類指數,568.97,20190927,<p style ='color:green'>-</p>,-0.6,3.46
38,水泥窯製類指數,572.43,20190926,<p style ='color:red'>+</p>,0.41,2.33
39,水泥窯製類指數,570.1,20190925,<p style ='color:green'>-</p>,-0.3,1.7
40,水泥窯製類指數,571.8,20190924,<p style ='color:red'>+</p>,0.16,0.94
41,水泥窯製類指數,570.86,20190923,<p style ='color:green'>-</p>,-0.92,5.31
42,水泥窯製類指數,576.17,20190920,<p style ='color:red'>+</p>,0.72,4.14
43,水泥窯製類指數,572.03,20190919,<p style ='color:green'>-</p>,-0.38,2.18
44,水泥窯製類指數,574.21,20190918,<p style ='color:red'>+</p>,0.63,3.59
45,水泥窯製類指數,570.62,20190917,<p style ='color:green'>-</p>,-1.05,6.03
46,水泥窯製類指數,576.65,20190916,<p style ='color:red'>+</p>,0.5,2.88
47,水泥窯製類指數,573.77,20190912,<p style ='color:red'>+</p>,0.27,1.56
48,水泥窯製類指數,572.21,20190911,<p style ='color:green'>-</p>,-0.18,1.05
49,水泥窯製類指數,573.26,20190910,<p style ='color:green'>-</p>,-0.42,2.42
50,水泥窯製類指數,575.68,20190909,<p style ='color:red'>+</p>,0.75,4.29
51,水泥窯製類指數,571.39,20190906,<p style ='color:red'>+</p>,0.88,5.01
52,水泥窯製類指數,566.38,20190905,<p style ='color:red'>+</p>,0.53,2.98
53,水泥窯製類指數,563.4,20190904,<p style ='color:red'>+</p>,0.21,1.17
54,水泥窯製類指數,562.23,20190903,<p style ='color:red'>+</p>,0.69,3.87
55,水泥窯製類指數,558.36,20190902,<p style ='color:red'>+</p>,0.35,1.97
56,水泥窯製類指數,556.39,20190830,<p style ='color:red'>+</p>,1.6,8.76
57,水泥窯製類指數,547.63,20190829,<p style ='color:green'>-</p>,-0.04,0.24
58,水泥窯製類指數,547.87,20190828,<p style ='color:red'>+</p>,0.28,1.53
59,水泥窯製類指數,546.34,20190827,<p style ='color:green'>-</p>,-0.31,1.69
60,水泥窯製類指數,548.03,20190826,<p style ='color:green'>-</p>,-1.0,5.52
61,水泥窯製類指數,553.55,20190823,<p style ='color:red'>+</p>,0.86,4.72
62,水泥窯製類指數,548.83,20190822,<p style ='color:green'>-</p>,-0.26,1.41
63,水泥窯製類指數,550.24,20190821,<p style ='color:green'>-</p>,-0.52,2.89
64,水泥窯製類指數,553.13,20190820,<p style ='color:green'>-</p>,-0.06,0.32
65,水泥窯製類指數,553.45,20190819,<p style ='color:red'>+</p>,0.2,1.12
66,水泥窯製類指數,552.33,20190816,<p style ='color:red'>+</p>,0.63,3.47
67,水泥窯製類指數,548.86,20190815,<p style ='color:green'>-</p>,-0.17,0.94
