,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,水泥類指數,167.52,20191122,<p style ='color:green'>-</p>,-0.14,0.24
1,水泥類指數,167.76,20191121,<p style ='color:green'>-</p>,-0.42,0.71
2,水泥類指數,168.47,20191120,<p style ='color:red'>+</p>,1.71,2.84
3,水泥類指數,165.63,20191119,<p style ='color:red'>+</p>,0.18,0.29
4,水泥類指數,165.34,20191118,<p style ='color:red'>+</p>,0.65,1.06
5,水泥類指數,164.28,20191115,<p style ='color:red'>+</p>,1.99,3.21
6,水泥類指數,161.07,20191114,<p style ='color:red'>+</p>,0.59,0.94
7,水泥類指數,160.13,20191113,<p style ='color:red'>+</p>,0.55,0.87
8,水泥類指數,159.26,20191112,<p style ='color:red'>+</p>,0.52,0.82
9,水泥類指數,158.44,20191111,<p style ='color:green'>-</p>,-1.21,1.94
10,水泥類指數,160.38,20191108,<p style ='color:red'>+</p>,0.05,0.08
11,水泥類指數,160.3,20191107,<p style ='color:red'>+</p>,0.23,0.37
12,水泥類指數,159.93,20191106,<p style ='color:green'>-</p>,-0.42,0.67
13,水泥類指數,160.6,20191105,<p style ='color:green'>-</p>,-0.12,0.19
14,水泥類指數,160.79,20191104,<p style ='color:red'>+</p>,0.88,1.40
15,水泥類指數,159.39,20191101,<p style ='color:red'>+</p>,0.19,0.30
16,水泥類指數,159.09,20191031,<p style ='color:green'>-</p>,-0.13,0.21
17,水泥類指數,159.3,20191030,<p style ='color:green'>-</p>,-0.48,0.77
18,水泥類指數,160.07,20191029,<p style ='color:green'>-</p>,-0.16,0.25
19,水泥類指數,160.32,20191028,<p style ='color:green'>-</p>,-0.29,0.47
20,水泥類指數,160.79,20191025,<p style ='color:green'>-</p>,-0.43,0.70
21,水泥類指數,161.49,20191024,<p style ='color:red'>+</p>,0.24,0.38
22,水泥類指數,161.11,20191023,<p style ='color:green'>-</p>,-1.00,1.63
23,水泥類指數,162.74,20191022,<p style ='color:green'>-</p>,-0.17,0.27
24,水泥類指數,163.01,20191021,<p style ='color:red'>+</p>,1.44,2.31
25,水泥類指數,160.7,20191018,<p style ='color:red'>+</p>,1.30,2.06
26,水泥類指數,158.64,20191017,<p style ='color:red'>+</p>,0.76,1.19
27,水泥類指數,157.45,20191016,<p style ='color:green'>-</p>,-0.17,0.27
28,水泥類指數,157.72,20191015,<p style ='color:red'>+</p>,0.17,0.26
29,水泥類指數,157.46,20191014,<p style ='color:red'>+</p>,1.21,1.89
30,水泥類指數,155.57,20191009,<p style ='color:green'>-</p>,-0.81,1.27
31,水泥類指數,156.84,20191008,<p style ='color:red'>+</p>,1.00,1.56
32,水泥類指數,155.28,20191007,<p style ='color:red'>+</p>,0.90,1.38
33,水泥類指數,153.9,20191004,<p style ='color:green'>-</p>,-0.46,0.71
34,水泥類指數,154.61,20191003,<p style ='color:green'>-</p>,-0.66,1.02
35,水泥類指數,155.63,20191002,<p style ='color:green'>-</p>,-0.97,1.53
36,水泥類指數,157.16,20191001,,--,--
37,水泥類指數,157.16,20190927,<p style ='color:green'>-</p>,-0.47,0.75
38,水泥類指數,157.91,20190926,<p style ='color:red'>+</p>,0.52,0.82
39,水泥類指數,157.09,20190925,<p style ='color:green'>-</p>,-0.36,0.56
40,水泥類指數,157.65,20190924,<p style ='color:red'>+</p>,0.26,0.41
41,水泥類指數,157.24,20190923,<p style ='color:green'>-</p>,-0.99,1.57
42,水泥類指數,158.81,20190920,<p style ='color:red'>+</p>,0.71,1.12
43,水泥類指數,157.69,20190919,<p style ='color:green'>-</p>,-0.38,0.6
44,水泥類指數,158.29,20190918,<p style ='color:red'>+</p>,0.55,0.86
45,水泥類指數,157.43,20190917,<p style ='color:green'>-</p>,-1.09,1.73
46,水泥類指數,159.16,20190916,<p style ='color:red'>+</p>,0.48,0.76
47,水泥類指數,158.4,20190912,<p style ='color:red'>+</p>,0.28,0.44
48,水泥類指數,157.96,20190911,<p style ='color:green'>-</p>,-0.11,0.17
49,水泥類指數,158.13,20190910,<p style ='color:green'>-</p>,-0.43,0.69
50,水泥類指數,158.82,20190909,<p style ='color:red'>+</p>,0.79,1.24
51,水泥類指數,157.58,20190906,<p style ='color:red'>+</p>,1.03,1.6
52,水泥類指數,155.98,20190905,<p style ='color:red'>+</p>,0.72,1.11
53,水泥類指數,154.87,20190904,<p style ='color:green'>-</p>,-0.03,0.04
54,水泥類指數,154.91,20190903,<p style ='color:red'>+</p>,0.73,1.13
55,水泥類指數,153.78,20190902,<p style ='color:red'>+</p>,0.34,0.52
56,水泥類指數,153.26,20190830,<p style ='color:red'>+</p>,1.75,2.63
57,水泥類指數,150.63,20190829,<p style ='color:red'>+</p>,0.01,0.02
58,水泥類指數,150.61,20190828,<p style ='color:red'>+</p>,0.34,0.51
59,水泥類指數,150.1,20190827,<p style ='color:green'>-</p>,-0.47,0.71
60,水泥類指數,150.81,20190826,<p style ='color:green'>-</p>,-1.01,1.54
61,水泥類指數,152.35,20190823,<p style ='color:red'>+</p>,0.95,1.44
62,水泥類指數,150.91,20190822,<p style ='color:green'>-</p>,-0.23,0.35
63,水泥類指數,151.26,20190821,<p style ='color:green'>-</p>,-0.7,1.06
64,水泥類指數,152.32,20190820,<p style ='color:green'>-</p>,-0.06,0.09
65,水泥類指數,152.41,20190819,<p style ='color:red'>+</p>,0.27,0.41
66,水泥類指數,152.0,20190816,<p style ='color:red'>+</p>,0.68,1.03
67,水泥類指數,150.97,20190815,<p style ='color:green'>-</p>,-0.01,0.02
