,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,汽車類指數,320.69,20191122,<p style ='color:red'>+</p>,0.25,0.81
1,汽車類指數,319.88,20191121,<p style ='color:green'>-</p>,-0.75,2.42
2,汽車類指數,322.3,20191120,<p style ='color:red'>+</p>,0.3,0.95
3,汽車類指數,321.35,20191119,<p style ='color:red'>+</p>,0.6,1.92
4,汽車類指數,319.43,20191118,<p style ='color:red'>+</p>,0.14,0.46
5,汽車類指數,318.97,20191115,<p style ='color:red'>+</p>,0.7,2.23
6,汽車類指數,316.74,20191114,<p style ='color:green'>-</p>,-0.93,2.97
7,汽車類指數,319.71,20191113,<p style ='color:green'>-</p>,-0.1,0.33
8,汽車類指數,320.04,20191112,<p style ='color:red'>+</p>,0.88,2.78
9,汽車類指數,317.26,20191111,<p style ='color:green'>-</p>,-0.04,0.12
10,汽車類指數,317.38,20191108,<p style ='color:green'>-</p>,-0.58,1.85
11,汽車類指數,319.23,20191107,<p style ='color:green'>-</p>,-0.34,1.1
12,汽車類指數,320.33,20191106,<p style ='color:green'>-</p>,-0.04,0.14
13,汽車類指數,320.47,20191105,<p style ='color:red'>+</p>,1.26,3.98
14,汽車類指數,316.49,20191104,<p style ='color:red'>+</p>,1.19,3.73
15,汽車類指數,312.76,20191101,<p style ='color:red'>+</p>,0.69,2.13
16,汽車類指數,310.63,20191031,<p style ='color:green'>-</p>,-0.48,1.49
17,汽車類指數,312.12,20191030,<p style ='color:red'>+</p>,0.98,3.04
18,汽車類指數,309.08,20191029,<p style ='color:red'>+</p>,0.4,1.22
19,汽車類指數,307.86,20191028,<p style ='color:red'>+</p>,0.2,0.62
20,汽車類指數,307.24,20191025,<p style ='color:red'>+</p>,0.05,0.16
21,汽車類指數,307.08,20191024,<p style ='color:red'>+</p>,2.31,6.93
22,汽車類指數,300.15,20191023,<p style ='color:green'>-</p>,-0.7,2.12
23,汽車類指數,302.27,20191022,<p style ='color:red'>+</p>,1.57,4.66
24,汽車類指數,297.61,20191021,<p style ='color:red'>+</p>,0.91,2.67
25,汽車類指數,294.94,20191018,<p style ='color:green'>-</p>,-0.1,0.31
26,汽車類指數,295.25,20191017,<p style ='color:red'>+</p>,0.31,0.9
27,汽車類指數,294.35,20191016,<p style ='color:red'>+</p>,0.72,2.1
28,汽車類指數,292.25,20191015,<p style ='color:red'>+</p>,0.32,0.93
29,汽車類指數,291.32,20191014,<p style ='color:red'>+</p>,1.91,5.46
30,汽車類指數,285.86,20191009,<p style ='color:green'>-</p>,-0.99,2.87
31,汽車類指數,288.73,20191008,<p style ='color:green'>-</p>,-0.69,2.0
32,汽車類指數,290.73,20191007,<p style ='color:green'>-</p>,-0.33,0.96
33,汽車類指數,291.69,20191004,<p style ='color:red'>+</p>,0.04,0.11
34,汽車類指數,291.58,20191003,<p style ='color:green'>-</p>,-1.3,3.84
35,汽車類指數,295.42,20191002,<p style ='color:green'>-</p>,-0.6,1.77
36,汽車類指數,297.19,20191001,<p style ='color:red'>+</p>,2.52,7.3
37,汽車類指數,289.89,20190927,<p style ='color:green'>-</p>,-0.79,2.31
38,汽車類指數,292.2,20190926,<p style ='color:red'>+</p>,0.84,2.42
39,汽車類指數,289.78,20190925,<p style ='color:green'>-</p>,-0.02,0.07
40,汽車類指數,289.85,20190924,<p style ='color:green'>-</p>,-0.13,0.39
41,汽車類指數,290.24,20190923,<p style ='color:green'>-</p>,-1.41,4.16
42,汽車類指數,294.4,20190920,<p style ='color:red'>+</p>,3.29,9.39
43,汽車類指數,285.01,20190919,<p style ='color:green'>-</p>,-0.52,1.48
44,汽車類指數,286.49,20190918,<p style ='color:red'>+</p>,0.58,1.65
45,汽車類指數,284.84,20190917,<p style ='color:green'>-</p>,-0.72,2.08
46,汽車類指數,286.92,20190916,<p style ='color:green'>-</p>,-0.19,0.54
47,汽車類指數,287.46,20190912,<p style ='color:red'>+</p>,1.31,3.72
48,汽車類指數,283.74,20190911,<p style ='color:red'>+</p>,0.77,2.16
49,汽車類指數,281.58,20190910,<p style ='color:green'>-</p>,-0.89,2.54
50,汽車類指數,284.12,20190909,<p style ='color:green'>-</p>,-0.65,1.86
51,汽車類指數,285.98,20190906,<p style ='color:red'>+</p>,0.29,0.83
52,汽車類指數,285.15,20190905,<p style ='color:red'>+</p>,0.16,0.46
53,汽車類指數,284.69,20190904,<p style ='color:red'>+</p>,2.11,5.89
54,汽車類指數,278.8,20190903,<p style ='color:green'>-</p>,-2.06,5.87
55,汽車類指數,284.67,20190902,<p style ='color:green'>-</p>,-0.34,0.97
56,汽車類指數,285.64,20190830,<p style ='color:red'>+</p>,1.67,4.69
57,汽車類指數,280.95,20190829,<p style ='color:red'>+</p>,1.56,4.32
58,汽車類指數,276.63,20190828,<p style ='color:green'>-</p>,-0.11,0.3
59,汽車類指數,276.93,20190827,<p style ='color:red'>+</p>,0.64,1.77
60,汽車類指數,275.16,20190826,<p style ='color:green'>-</p>,-2.14,6.03
61,汽車類指數,281.19,20190823,<p style ='color:red'>+</p>,0.46,1.28
62,汽車類指數,279.91,20190822,<p style ='color:red'>+</p>,0.37,1.03
63,汽車類指數,278.88,20190821,<p style ='color:green'>-</p>,-1.2,3.39
64,汽車類指數,282.27,20190820,<p style ='color:green'>-</p>,-0.42,1.19
65,汽車類指數,283.46,20190819,<p style ='color:red'>+</p>,0.38,1.08
66,汽車類指數,282.38,20190816,<p style ='color:red'>+</p>,2.1,5.8
67,汽車類指數,276.58,20190815,<p style ='color:green'>-</p>,-1.54,4.33
