,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,油電燃氣類指數,124.54,20191122,<p style ='color:red'>+</p>,0.46,0.57
1,油電燃氣類指數,123.97,20191121,<p style ='color:green'>-</p>,-0.41,0.51
2,油電燃氣類指數,124.48,20191120,<p style ='color:red'>+</p>,0.64,0.79
3,油電燃氣類指數,123.69,20191119,<p style ='color:green'>-</p>,-0.58,0.72
4,油電燃氣類指數,124.41,20191118,<p style ='color:red'>+</p>,0.78,0.96
5,油電燃氣類指數,123.45,20191115,<p style ='color:green'>-</p>,-0.10,0.12
6,油電燃氣類指數,123.57,20191114,<p style ='color:green'>-</p>,-0.23,0.28
7,油電燃氣類指數,123.85,20191113,<p style ='color:green'>-</p>,-0.50,0.62
8,油電燃氣類指數,124.47,20191112,<p style ='color:red'>+</p>,0.03,0.04
9,油電燃氣類指數,124.43,20191111,<p style ='color:green'>-</p>,-1.61,2.03
10,油電燃氣類指數,126.46,20191108,<p style ='color:red'>+</p>,0.48,0.61
11,油電燃氣類指數,125.85,20191107,,--,--
12,油電燃氣類指數,125.85,20191106,<p style ='color:green'>-</p>,-0.75,0.95
13,油電燃氣類指數,126.8,20191105,<p style ='color:red'>+</p>,0.65,0.82
14,油電燃氣類指數,125.98,20191104,<p style ='color:red'>+</p>,0.69,0.86
15,油電燃氣類指數,125.12,20191101,<p style ='color:red'>+</p>,0.59,0.73
16,油電燃氣類指數,124.39,20191031,<p style ='color:green'>-</p>,-1.43,1.81
17,油電燃氣類指數,126.2,20191030,<p style ='color:red'>+</p>,1.43,1.78
18,油電燃氣類指數,124.42,20191029,<p style ='color:green'>-</p>,-0.01,0.01
19,油電燃氣類指數,124.43,20191028,<p style ='color:green'>-</p>,-0.47,0.59
20,油電燃氣類指數,125.02,20191025,<p style ='color:green'>-</p>,-0.18,0.23
21,油電燃氣類指數,125.25,20191024,<p style ='color:red'>+</p>,0.69,0.86
22,油電燃氣類指數,124.39,20191023,<p style ='color:green'>-</p>,-0.57,0.71
23,油電燃氣類指數,125.1,20191022,<p style ='color:red'>+</p>,0.65,0.81
24,油電燃氣類指數,124.29,20191021,<p style ='color:red'>+</p>,0.31,0.38
25,油電燃氣類指數,123.91,20191018,<p style ='color:green'>-</p>,-0.76,0.95
26,油電燃氣類指數,124.86,20191017,<p style ='color:green'>-</p>,-0.66,0.83
27,油電燃氣類指數,125.69,20191016,<p style ='color:red'>+</p>,0.83,1.04
28,油電燃氣類指數,124.65,20191015,<p style ='color:green'>-</p>,-0.27,0.34
29,油電燃氣類指數,124.99,20191014,<p style ='color:red'>+</p>,1.4,1.72
30,油電燃氣類指數,123.27,20191009,<p style ='color:green'>-</p>,-1.26,1.57
31,油電燃氣類指數,124.84,20191008,<p style ='color:red'>+</p>,0.18,0.22
32,油電燃氣類指數,124.62,20191007,<p style ='color:red'>+</p>,0.11,0.14
33,油電燃氣類指數,124.48,20191004,<p style ='color:green'>-</p>,-0.2,0.25
34,油電燃氣類指數,124.73,20191003,<p style ='color:green'>-</p>,-1.6,2.03
35,油電燃氣類指數,126.76,20191002,<p style ='color:green'>-</p>,-1.39,1.79
36,油電燃氣類指數,128.55,20191001,<p style ='color:red'>+</p>,2.2,2.77
37,油電燃氣類指數,125.78,20190927,<p style ='color:green'>-</p>,-0.39,0.49
38,油電燃氣類指數,126.27,20190926,<p style ='color:green'>-</p>,-1.14,1.46
39,油電燃氣類指數,127.73,20190925,<p style ='color:green'>-</p>,-1.57,2.04
40,油電燃氣類指數,129.77,20190924,<p style ='color:red'>+</p>,1.33,1.7
41,油電燃氣類指數,128.07,20190923,<p style ='color:green'>-</p>,-0.93,1.2
42,油電燃氣類指數,129.27,20190920,<p style ='color:red'>+</p>,1.24,1.58
43,油電燃氣類指數,127.69,20190919,<p style ='color:green'>-</p>,-1.64,2.13
44,油電燃氣類指數,129.82,20190918,<p style ='color:green'>-</p>,-0.39,0.51
45,油電燃氣類指數,130.33,20190917,<p style ='color:green'>-</p>,-1.81,2.4
46,油電燃氣類指數,132.73,20190916,<p style ='color:red'>+</p>,6.97,8.65
47,油電燃氣類指數,124.08,20190912,<p style ='color:red'>+</p>,0.31,0.38
48,油電燃氣類指數,123.7,20190911,<p style ='color:green'>-</p>,-0.48,0.6
49,油電燃氣類指數,124.3,20190910,<p style ='color:green'>-</p>,-0.53,0.66
50,油電燃氣類指數,124.96,20190909,<p style ='color:green'>-</p>,-0.07,0.09
51,油電燃氣類指數,125.05,20190906,<p style ='color:red'>+</p>,0.18,0.22
52,油電燃氣類指數,124.83,20190905,<p style ='color:red'>+</p>,0.68,0.84
53,油電燃氣類指數,123.99,20190904,<p style ='color:red'>+</p>,0.69,0.85
54,油電燃氣類指數,123.14,20190903,<p style ='color:green'>-</p>,-0.23,0.28
55,油電燃氣類指數,123.42,20190902,<p style ='color:green'>-</p>,-0.82,1.02
56,油電燃氣類指數,124.44,20190830,<p style ='color:red'>+</p>,2.29,2.79
57,油電燃氣類指數,121.65,20190829,<p style ='color:green'>-</p>,-0.07,0.08
58,油電燃氣類指數,121.73,20190828,<p style ='color:green'>-</p>,-0.47,0.58
59,油電燃氣類指數,122.31,20190827,<p style ='color:red'>+</p>,0.29,0.35
60,油電燃氣類指數,121.96,20190826,<p style ='color:green'>-</p>,-2.13,2.65
61,油電燃氣類指數,124.61,20190823,<p style ='color:green'>-</p>,-0.38,0.48
62,油電燃氣類指數,125.09,20190822,<p style ='color:green'>-</p>,-0.09,0.11
63,油電燃氣類指數,125.2,20190821,<p style ='color:red'>+</p>,0.13,0.16
64,油電燃氣類指數,125.04,20190820,<p style ='color:green'>-</p>,-0.29,0.36
65,油電燃氣類指數,125.4,20190819,<p style ='color:green'>-</p>,-0.64,0.81
66,油電燃氣類指數,126.21,20190816,<p style ='color:red'>+</p>,3.53,4.3
67,油電燃氣類指數,121.91,20190815,<p style ='color:green'>-</p>,-3.61,4.57
