,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,玻璃陶瓷類指數,31.54,20191122,<p style ='color:green'>-</p>,-0.32,0.10
1,玻璃陶瓷類指數,31.64,20191121,<p style ='color:green'>-</p>,-0.16,0.05
2,玻璃陶瓷類指數,31.69,20191120,<p style ='color:red'>+</p>,1.38,0.43
3,玻璃陶瓷類指數,31.26,20191119,<p style ='color:green'>-</p>,-1.01,0.32
4,玻璃陶瓷類指數,31.58,20191118,<p style ='color:green'>-</p>,-0.69,0.22
5,玻璃陶瓷類指數,31.8,20191115,<p style ='color:green'>-</p>,-0.25,0.08
6,玻璃陶瓷類指數,31.88,20191114,<p style ='color:green'>-</p>,-0.47,0.15
7,玻璃陶瓷類指數,32.03,20191113,<p style ='color:green'>-</p>,-0.06,0.02
8,玻璃陶瓷類指數,32.05,20191112,<p style ='color:green'>-</p>,-0.12,0.04
9,玻璃陶瓷類指數,32.09,20191111,<p style ='color:green'>-</p>,-1.20,0.39
10,玻璃陶瓷類指數,32.48,20191108,<p style ='color:red'>+</p>,0.62,0.20
11,玻璃陶瓷類指數,32.28,20191107,<p style ='color:green'>-</p>,-0.28,0.09
12,玻璃陶瓷類指數,32.37,20191106,<p style ='color:green'>-</p>,-0.34,0.11
13,玻璃陶瓷類指數,32.48,20191105,<p style ='color:red'>+</p>,0.71,0.23
14,玻璃陶瓷類指數,32.25,20191104,<p style ='color:red'>+</p>,0.37,0.12
15,玻璃陶瓷類指數,32.13,20191101,<p style ='color:red'>+</p>,0.34,0.11
16,玻璃陶瓷類指數,32.02,20191031,<p style ='color:green'>-</p>,-0.31,0.10
17,玻璃陶瓷類指數,32.12,20191030,<p style ='color:red'>+</p>,0.31,0.10
18,玻璃陶瓷類指數,32.02,20191029,<p style ='color:green'>-</p>,-0.09,0.03
19,玻璃陶瓷類指數,32.05,20191028,<p style ='color:green'>-</p>,-1.08,0.35
20,玻璃陶瓷類指數,32.4,20191025,<p style ='color:green'>-</p>,-0.31,0.10
21,玻璃陶瓷類指數,32.5,20191024,<p style ='color:red'>+</p>,0.31,0.10
22,玻璃陶瓷類指數,32.4,20191023,<p style ='color:green'>-</p>,-1.28,0.42
23,玻璃陶瓷類指數,32.82,20191022,<p style ='color:red'>+</p>,0.31,0.10
24,玻璃陶瓷類指數,32.72,20191021,<p style ='color:red'>+</p>,1.84,0.59
25,玻璃陶瓷類指數,32.13,20191018,<p style ='color:red'>+</p>,0.16,0.05
26,玻璃陶瓷類指數,32.08,20191017,,--,--
27,玻璃陶瓷類指數,32.08,20191016,<p style ='color:red'>+</p>,0.44,0.14
28,玻璃陶瓷類指數,31.94,20191015,<p style ='color:red'>+</p>,0.47,0.15
29,玻璃陶瓷類指數,31.79,20191014,,--,--
30,玻璃陶瓷類指數,31.79,20191009,<p style ='color:green'>-</p>,-0.59,0.19
31,玻璃陶瓷類指數,31.98,20191008,<p style ='color:green'>-</p>,-0.37,0.12
32,玻璃陶瓷類指數,32.1,20191007,<p style ='color:red'>+</p>,0.63,0.20
33,玻璃陶瓷類指數,31.9,20191004,<p style ='color:red'>+</p>,0.03,0.01
34,玻璃陶瓷類指數,31.89,20191003,<p style ='color:green'>-</p>,-0.53,0.17
35,玻璃陶瓷類指數,32.06,20191002,<p style ='color:green'>-</p>,-0.31,0.10
36,玻璃陶瓷類指數,32.16,20191001,<p style ='color:red'>+</p>,0.25,0.08
37,玻璃陶瓷類指數,32.08,20190927,<p style ='color:green'>-</p>,-1.75,0.57
38,玻璃陶瓷類指數,32.65,20190926,<p style ='color:green'>-</p>,-0.64,0.21
39,玻璃陶瓷類指數,32.86,20190925,<p style ='color:red'>+</p>,0.21,0.07
40,玻璃陶瓷類指數,32.79,20190924,<p style ='color:green'>-</p>,-0.67,0.22
41,玻璃陶瓷類指數,33.01,20190923,<p style ='color:green'>-</p>,-0.36,0.12
42,玻璃陶瓷類指數,33.13,20190920,<p style ='color:red'>+</p>,0.85,0.28
43,玻璃陶瓷類指數,32.85,20190919,<p style ='color:green'>-</p>,-0.36,0.12
44,玻璃陶瓷類指數,32.97,20190918,<p style ='color:red'>+</p>,1.35,0.44
45,玻璃陶瓷類指數,32.53,20190917,<p style ='color:green'>-</p>,-0.61,0.20
46,玻璃陶瓷類指數,32.73,20190916,<p style ='color:red'>+</p>,0.65,0.21
47,玻璃陶瓷類指數,32.52,20190912,<p style ='color:red'>+</p>,0.28,0.09
48,玻璃陶瓷類指數,32.43,20190911,<p style ='color:green'>-</p>,-0.89,0.29
49,玻璃陶瓷類指數,32.72,20190910,<p style ='color:green'>-</p>,-0.30,0.10
50,玻璃陶瓷類指數,32.82,20190909,<p style ='color:red'>+</p>,0.40,0.13
51,玻璃陶瓷類指數,32.69,20190906,<p style ='color:green'>-</p>,-0.37,0.12
52,玻璃陶瓷類指數,32.81,20190905,<p style ='color:green'>-</p>,-1.12,0.37
53,玻璃陶瓷類指數,33.18,20190904,<p style ='color:red'>+</p>,2.31,0.75
54,玻璃陶瓷類指數,32.43,20190903,<p style ='color:red'>+</p>,0.34,0.11
55,玻璃陶瓷類指數,32.32,20190902,<p style ='color:red'>+</p>,0.44,0.14
56,玻璃陶瓷類指數,32.18,20190830,<p style ='color:red'>+</p>,0.34,0.11
57,玻璃陶瓷類指數,32.07,20190829,<p style ='color:green'>-</p>,-0.56,0.18
58,玻璃陶瓷類指數,32.25,20190828,<p style ='color:green'>-</p>,-0.25,0.08
59,玻璃陶瓷類指數,32.33,20190827,<p style ='color:red'>+</p>,1.16,0.37
60,玻璃陶瓷類指數,31.96,20190826,<p style ='color:green'>-</p>,-0.87,0.28
61,玻璃陶瓷類指數,32.24,20190823,,--,--
62,玻璃陶瓷類指數,32.24,20190822,<p style ='color:green'>-</p>,-0.43,0.14
63,玻璃陶瓷類指數,32.38,20190821,<p style ='color:red'>+</p>,0.97,0.31
64,玻璃陶瓷類指數,32.07,20190820,<p style ='color:green'>-</p>,-0.03,0.01
65,玻璃陶瓷類指數,32.08,20190819,<p style ='color:green'>-</p>,-0.4,0.13
66,玻璃陶瓷類指數,32.21,20190816,<p style ='color:red'>+</p>,0.19,0.06
67,玻璃陶瓷類指數,32.15,20190815,<p style ='color:green'>-</p>,-1.53,0.5
