,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,發行量加權股價指數,"11,566.80",20191122,<p style ='color:red'>+</p>,0.07,8.53
1,發行量加權股價指數,"11,558.27",20191121,<p style ='color:green'>-</p>,-0.63,72.93
2,發行量加權股價指數,"11,631.20",20191120,<p style ='color:green'>-</p>,-0.22,25.2
3,發行量加權股價指數,"11,656.40",20191119,<p style ='color:red'>+</p>,0.49,56.62
4,發行量加權股價指數,"11,599.78",20191118,<p style ='color:red'>+</p>,0.64,74.18
5,發行量加權股價指數,"11,525.60",20191115,<p style ='color:red'>+</p>,0.66,75.18
6,發行量加權股價指數,"11,450.42",20191114,<p style ='color:green'>-</p>,-0.15,17.41
7,發行量加權股價指數,"11,467.83",20191113,<p style ='color:green'>-</p>,-0.46,52.54
8,發行量加權股價指數,"11,520.37",20191112,<p style ='color:red'>+</p>,0.81,93.09
9,發行量加權股價指數,"11,427.28",20191111,<p style ='color:green'>-</p>,-1.31,152.26
10,發行量加權股價指數,"11,579.54",20191108,<p style ='color:green'>-</p>,-0.23,27.02
11,發行量加權股價指數,"11,606.56",20191107,<p style ='color:green'>-</p>,-0.4,46.51
12,發行量加權股價指數,"11,653.07",20191106,<p style ='color:red'>+</p>,0.08,9.04
13,發行量加權股價指數,"11,644.03",20191105,<p style ='color:red'>+</p>,0.75,87.18
14,發行量加權股價指數,"11,556.85",20191104,<p style ='color:red'>+</p>,1.38,157.32
15,發行量加權股價指數,"11,399.53",20191101,<p style ='color:red'>+</p>,0.36,40.82
16,發行量加權股價指數,"11,358.71",20191031,<p style ='color:green'>-</p>,-0.19,21.57
17,發行量加權股價指數,"11,380.28",20191030,<p style ='color:red'>+</p>,0.41,46.41
18,發行量加權股價指數,"11,333.87",20191029,<p style ='color:red'>+</p>,0.17,18.85
19,發行量加權股價指數,"11,315.02",20191028,<p style ='color:red'>+</p>,0.17,18.9
20,發行量加權股價指數,"11,296.12",20191025,<p style ='color:green'>-</p>,-0.21,24.02
21,發行量加權股價指數,"11,320.14",20191024,<p style ='color:red'>+</p>,0.72,80.47
22,發行量加權股價指數,"11,239.67",20191023,<p style ='color:green'>-</p>,-0.28,31.58
23,發行量加權股價指數,"11,271.25",20191022,<p style ='color:red'>+</p>,0.78,87.1
24,發行量加權股價指數,"11,184.15",20191021,<p style ='color:red'>+</p>,0.04,3.93
25,發行量加權股價指數,"11,180.22",20191018,<p style ='color:green'>-</p>,-0.06,6.66
26,發行量加權股價指數,"11,186.88",20191017,<p style ='color:red'>+</p>,0.22,24.05
27,發行量加權股價指數,"11,162.83",20191016,<p style ='color:red'>+</p>,0.46,51.03
28,發行量加權股價指數,"11,111.80",20191015,<p style ='color:red'>+</p>,0.41,44.85
29,發行量加權股價指數,"11,066.95",20191014,<p style ='color:red'>+</p>,1.63,176.99
30,發行量加權股價指數,"10,889.96",20191009,<p style ='color:green'>-</p>,-1.16,127.35
31,發行量加權股價指數,"11,017.31",20191008,<p style ='color:red'>+</p>,0.75,82.25
32,發行量加權股價指數,"10,935.06",20191007,<p style ='color:red'>+</p>,0.37,40.58
33,發行量加權股價指數,"10,894.48",20191004,<p style ='color:red'>+</p>,0.17,18.57
34,發行量加權股價指數,"10,875.91",20191003,<p style ='color:green'>-</p>,-0.66,71.97
35,發行量加權股價指數,"10,947.88",20191002,<p style ='color:green'>-</p>,-0.18,19.77
36,發行量加權股價指數,"10,967.65",20191001,<p style ='color:red'>+</p>,1.27,137.97
37,發行量加權股價指數,"10,829.68",20190927,<p style ='color:green'>-</p>,-0.39,42.31
38,發行量加權股價指數,"10,871.99",20190926,<p style ='color:green'>-</p>,-0.02,1.7
39,發行量加權股價指數,"10,873.69",20190925,<p style ='color:green'>-</p>,-0.41,44.32
40,發行量加權股價指數,"10,918.01",20190924,<p style ='color:green'>-</p>,-0.01,1.01
41,發行量加權股價指數,"10,919.02",20190923,<p style ='color:green'>-</p>,-0.1,10.67
42,發行量加權股價指數,"10,929.69",20190920,<p style ='color:red'>+</p>,0.32,34.99
43,發行量加權股價指數,"10,894.70",20190919,<p style ='color:green'>-</p>,-0.32,34.75
44,發行量加權股價指數,"10,929.45",20190918,<p style ='color:red'>+</p>,0.51,54.95
45,發行量加權股價指數,"10,874.50",20190917,<p style ='color:green'>-</p>,-0.22,23.63
46,發行量加權股價指數,"10,898.13",20190916,<p style ='color:red'>+</p>,0.65,70.58
47,發行量加權股價指數,"10,827.55",20190912,<p style ='color:red'>+</p>,0.34,37.2
48,發行量加權股價指數,"10,790.35",20190911,<p style ='color:red'>+</p>,0.34,36.77
49,發行量加權股價指數,"10,753.58",20190910,<p style ='color:green'>-</p>,-0.44,47.56
50,發行量加權股價指數,"10,801.14",20190909,<p style ='color:red'>+</p>,0.19,20.5
51,發行量加權股價指數,"10,780.64",20190906,<p style ='color:red'>+</p>,0.22,23.71
52,發行量加權股價指數,"10,756.93",20190905,<p style ='color:red'>+</p>,0.93,99.62
53,發行量加權股價指數,"10,657.31",20190904,<p style ='color:red'>+</p>,0.94,99.1
54,發行量加權股價指數,"10,558.21",20190903,<p style ='color:green'>-</p>,-0.72,76.64
55,發行量加權股價指數,"10,634.85",20190902,<p style ='color:red'>+</p>,0.16,16.8
56,發行量加權股價指數,"10,618.05",20190830,<p style ='color:red'>+</p>,1.49,155.62
57,發行量加權股價指數,"10,462.43",20190829,<p style ='color:red'>+</p>,0.27,28.14
58,發行量加權股價指數,"10,434.29",20190828,<p style ='color:red'>+</p>,0.45,47.06
59,發行量加權股價指數,"10,387.23",20190827,<p style ='color:red'>+</p>,0.32,32.66
60,發行量加權股價指數,"10,354.57",20190826,<p style ='color:green'>-</p>,-1.74,183.54
61,發行量加權股價指數,"10,538.11",20190823,<p style ='color:red'>+</p>,0.08,8.33
62,發行量加權股價指數,"10,529.78",20190822,<p style ='color:red'>+</p>,0.04,3.98
63,發行量加權股價指數,"10,525.80",20190821,<p style ='color:red'>+</p>,0.03,3.3
64,發行量加權股價指數,"10,522.50",20190820,<p style ='color:red'>+</p>,0.32,33.75
65,發行量加權股價指數,"10,488.75",20190819,<p style ='color:red'>+</p>,0.65,67.86
66,發行量加權股價指數,"10,420.89",20190816,<p style ='color:red'>+</p>,0.91,93.76
67,發行量加權股價指數,"10,327.13",20190815,<p style ='color:green'>-</p>,-0.96,100.6
