,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,紡織纖維類指數,528.64,20191122,<p style ='color:red'>+</p>,0.19,0.99
1,紡織纖維類指數,527.65,20191121,<p style ='color:green'>-</p>,-0.75,3.99
2,紡織纖維類指數,531.64,20191120,<p style ='color:green'>-</p>,-0.03,0.18
3,紡織纖維類指數,531.82,20191119,<p style ='color:red'>+</p>,0.34,1.82
4,紡織纖維類指數,530.0,20191118,<p style ='color:green'>-</p>,-0.17,0.92
5,紡織纖維類指數,530.92,20191115,<p style ='color:red'>+</p>,0.57,3.0
6,紡織纖維類指數,527.92,20191114,<p style ='color:green'>-</p>,-0.61,3.26
7,紡織纖維類指數,531.18,20191113,<p style ='color:green'>-</p>,-0.72,3.83
8,紡織纖維類指數,535.01,20191112,<p style ='color:red'>+</p>,0.99,5.22
9,紡織纖維類指數,529.79,20191111,<p style ='color:green'>-</p>,-1.27,6.84
10,紡織纖維類指數,536.63,20191108,<p style ='color:green'>-</p>,-0.26,1.42
11,紡織纖維類指數,538.05,20191107,<p style ='color:green'>-</p>,-0.16,0.88
12,紡織纖維類指數,538.93,20191106,<p style ='color:green'>-</p>,-0.34,1.85
13,紡織纖維類指數,540.78,20191105,<p style ='color:green'>-</p>,-0.15,0.81
14,紡織纖維類指數,541.59,20191104,<p style ='color:red'>+</p>,0.87,4.67
15,紡織纖維類指數,536.92,20191101,<p style ='color:green'>-</p>,-0.25,1.32
16,紡織纖維類指數,538.24,20191031,<p style ='color:red'>+</p>,0.11,0.6
17,紡織纖維類指數,537.64,20191030,<p style ='color:red'>+</p>,0.61,3.25
18,紡織纖維類指數,534.39,20191029,<p style ='color:green'>-</p>,-0.43,2.31
19,紡織纖維類指數,536.7,20191028,<p style ='color:green'>-</p>,-0.34,1.82
20,紡織纖維類指數,538.52,20191025,<p style ='color:green'>-</p>,-0.25,1.37
21,紡織纖維類指數,539.89,20191024,<p style ='color:red'>+</p>,0.15,0.81
22,紡織纖維類指數,539.08,20191023,<p style ='color:green'>-</p>,-0.58,3.17
23,紡織纖維類指數,542.25,20191022,<p style ='color:red'>+</p>,0.36,1.97
24,紡織纖維類指數,540.28,20191021,<p style ='color:red'>+</p>,0.3,1.61
25,紡織纖維類指數,538.67,20191018,<p style ='color:green'>-</p>,-0.32,1.74
26,紡織纖維類指數,540.41,20191017,<p style ='color:red'>+</p>,0.81,4.36
27,紡織纖維類指數,536.05,20191016,<p style ='color:red'>+</p>,0.08,0.43
28,紡織纖維類指數,535.62,20191015,<p style ='color:red'>+</p>,0.67,3.55
29,紡織纖維類指數,532.07,20191014,<p style ='color:red'>+</p>,1.16,6.08
30,紡織纖維類指數,525.99,20191009,<p style ='color:green'>-</p>,-0.96,5.1
31,紡織纖維類指數,531.09,20191008,<p style ='color:green'>-</p>,-0.17,0.89
