,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,臺指反向一倍指數,"6,616.22",20191122,<p style ='color:green'>-</p>,-0.07,4.89
1,臺指反向一倍指數,"6,621.11",20191121,<p style ='color:red'>+</p>,0.63,41.26
2,臺指反向一倍指數,"6,579.85",20191120,<p style ='color:red'>+</p>,0.22,14.19
3,臺指反向一倍指數,"6,565.66",20191119,<p style ='color:green'>-</p>,-0.49,32.21
4,臺指反向一倍指數,"6,597.87",20191118,<p style ='color:green'>-</p>,-0.64,42.74
5,臺指反向一倍指數,"6,640.61",20191115,<p style ='color:green'>-</p>,-0.66,43.89
6,臺指反向一倍指數,"6,684.50",20191114,<p style ='color:red'>+</p>,0.15,10.13
7,臺指反向一倍指數,"6,674.37",20191113,<p style ='color:red'>+</p>,0.46,30.3
8,臺指反向一倍指數,"6,644.07",20191112,<p style ='color:green'>-</p>,-0.81,54.57
9,臺指反向一倍指數,"6,698.64",20191111,<p style ='color:red'>+</p>,1.31,86.94
10,臺指反向一倍指數,"6,611.70",20191108,<p style ='color:red'>+</p>,0.23,15.36
11,臺指反向一倍指數,"6,596.34",20191107,<p style ='color:red'>+</p>,0.4,26.22
12,臺指反向一倍指數,"6,570.12",20191106,<p style ='color:green'>-</p>,-0.08,5.1
13,臺指反向一倍指數,"6,575.22",20191105,<p style ='color:green'>-</p>,-0.75,49.98
14,臺指反向一倍指數,"6,625.20",20191104,<p style ='color:green'>-</p>,-1.38,92.71
15,臺指反向一倍指數,"6,717.91",20191101,<p style ='color:green'>-</p>,-0.36,24.23
16,臺指反向一倍指數,"6,742.14",20191031,<p style ='color:red'>+</p>,0.19,12.75
17,臺指反向一倍指數,"6,729.39",20191030,<p style ='color:green'>-</p>,-0.41,27.67
18,臺指反向一倍指數,"6,757.06",20191029,<p style ='color:green'>-</p>,-0.17,11.28
19,臺指反向一倍指數,"6,768.34",20191028,<p style ='color:green'>-</p>,-0.17,11.34
20,臺指反向一倍指數,"6,779.68",20191025,<p style ='color:red'>+</p>,0.21,14.36
21,臺指反向一倍指數,"6,765.32",20191024,<p style ='color:green'>-</p>,-0.72,48.79
22,臺指反向一倍指數,"6,814.11",20191023,<p style ='color:red'>+</p>,0.28,19.04
23,臺指反向一倍指數,"6,795.07",20191022,<p style ='color:green'>-</p>,-0.78,53.33
24,臺指反向一倍指數,"6,848.40",20191021,<p style ='color:green'>-</p>,-0.04,2.41
25,臺指反向一倍指數,"6,850.81",20191018,<p style ='color:red'>+</p>,0.06,4.08
26,臺指反向一倍指數,"6,846.73",20191017,<p style ='color:green'>-</p>,-0.22,14.78
27,臺指反向一倍指數,"6,861.51",20191016,<p style ='color:green'>-</p>,-0.46,31.66
28,臺指反向一倍指數,"6,893.17",20191015,<p style ='color:green'>-</p>,-0.41,28.05
29,臺指反向一倍指數,"6,921.22",20191014,<p style ='color:green'>-</p>,-1.63,114.35
30,臺指反向一倍指數,"7,035.57",20191009,<p style ='color:red'>+</p>,1.16,80.4
31,臺指反向一倍指數,"6,955.17",20191008,<p style ='color:green'>-</p>,-0.75,52.71
32,臺指反向一倍指數,"7,007.88",20191007,<p style ='color:green'>-</p>,-0.37,26.2
33,臺指反向一倍指數,"7,034.08",20191004,<p style ='color:green'>-</p>,-0.17,12.03
34,臺指反向一倍指數,"7,046.11",20191003,<p style ='color:red'>+</p>,0.66,46.02
35,臺指反向一倍指數,"7,000.09",20191002,<p style ='color:red'>+</p>,0.18,12.6
36,臺指反向一倍指數,"6,987.49",20191001,<p style ='color:green'>-</p>,-1.27,90.17
37,臺指反向一倍指數,"7,077.66",20190927,<p style ='color:red'>+</p>,0.39,27.44
38,臺指反向一倍指數,"7,050.22",20190926,<p style ='color:red'>+</p>,0.02,1.1
39,臺指反向一倍指數,"7,049.12",20190925,<p style ='color:red'>+</p>,0.41,28.5
40,臺指反向一倍指數,"7,020.62",20190924,<p style ='color:red'>+</p>,0.01,0.65
41,臺指反向一倍指數,"7,019.97",20190923,<p style ='color:red'>+</p>,0.1,6.85
42,臺指反向一倍指數,"7,013.12",20190920,<p style ='color:green'>-</p>,-0.32,22.6
43,臺指反向一倍指數,"7,035.72",20190919,<p style ='color:red'>+</p>,0.32,22.3
44,臺指反向一倍指數,"7,013.42",20190918,<p style ='color:green'>-</p>,-0.51,35.62
45,臺指反向一倍指數,"7,049.04",20190917,<p style ='color:red'>+</p>,0.22,15.25
46,臺指反向一倍指數,"7,033.79",20190916,<p style ='color:green'>-</p>,-0.65,46.15
47,臺指反向一倍指數,"7,079.94",20190912,<p style ='color:green'>-</p>,-0.34,24.49
48,臺指反向一倍指數,"7,104.43",20190911,<p style ='color:green'>-</p>,-0.34,24.38
49,臺指反向一倍指數,"7,128.81",20190910,<p style ='color:red'>+</p>,0.44,31.25
50,臺指反向一倍指數,"7,097.56",20190909,<p style ='color:green'>-</p>,-0.19,13.52
51,臺指反向一倍指數,"7,111.08",20190906,<p style ='color:green'>-</p>,-0.22,15.71
52,臺指反向一倍指數,"7,126.79",20190905,<p style ='color:green'>-</p>,-0.93,67.25
53,臺指反向一倍指數,"7,194.04",20190904,<p style ='color:green'>-</p>,-0.94,68.16
54,臺指反向一倍指數,"7,262.20",20190903,<p style ='color:red'>+</p>,0.72,51.96
55,臺指反向一倍指數,"7,210.24",20190902,<p style ='color:green'>-</p>,-0.16,11.43
56,臺指反向一倍指數,"7,221.67",20190830,<p style ='color:green'>-</p>,-1.49,109.04
57,臺指反向一倍指數,"7,330.71",20190829,<p style ='color:green'>-</p>,-0.27,19.82
58,臺指反向一倍指數,"7,350.53",20190828,<p style ='color:green'>-</p>,-0.45,33.45
59,臺指反向一倍指數,"7,383.98",20190827,<p style ='color:green'>-</p>,-0.32,23.36
60,臺指反向一倍指數,"7,407.34",20190826,<p style ='color:red'>+</p>,1.74,126.8
61,臺指反向一倍指數,"7,280.54",20190823,<p style ='color:green'>-</p>,-0.08,5.76
62,臺指反向一倍指數,"7,286.30",20190822,<p style ='color:green'>-</p>,-0.04,2.76
63,臺指反向一倍指數,"7,289.06",20190821,<p style ='color:green'>-</p>,-0.03,2.29
64,臺指反向一倍指數,"7,291.35",20190820,<p style ='color:green'>-</p>,-0.32,23.54
65,臺指反向一倍指數,"7,314.89",20190819,<p style ='color:green'>-</p>,-0.65,47.95
66,臺指反向一倍指數,"7,362.84",20190816,<p style ='color:green'>-</p>,-0.91,67.46
67,臺指反向一倍指數,"7,430.30",20190815,<p style ='color:red'>+</p>,0.96,71.0
