,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,臺指日報酬兩倍指數,"18,726.80",20191122,<p style ='color:red'>+</p>,0.15,27.60
1,臺指日報酬兩倍指數,"18,699.20",20191121,<p style ='color:green'>-</p>,-1.25,237.47
2,臺指日報酬兩倍指數,"18,936.67",20191120,<p style ='color:green'>-</p>,-0.43,82.23
3,臺指日報酬兩倍指數,"19,018.90",20191119,<p style ='color:red'>+</p>,0.98,183.87
4,臺指日報酬兩倍指數,"18,835.03",20191118,<p style ='color:red'>+</p>,1.29,239.37
5,臺指日報酬兩倍指數,"18,595.66",20191115,<p style ='color:red'>+</p>,1.31,241.02
6,臺指日報酬兩倍指數,"18,354.64",20191114,<p style ='color:green'>-</p>,-0.3,55.9
7,臺指日報酬兩倍指數,"18,410.54",20191113,<p style ='color:green'>-</p>,-0.91,169.47
8,臺指日報酬兩倍指數,"18,580.01",20191112,<p style ='color:red'>+</p>,1.63,297.86
9,臺指日報酬兩倍指數,"18,282.15",20191111,<p style ='color:green'>-</p>,-2.63,493.77
10,臺指日報酬兩倍指數,"18,775.92",20191108,<p style ='color:green'>-</p>,-0.47,87.83
11,臺指日報酬兩倍指數,"18,863.75",20191107,<p style ='color:green'>-</p>,-0.8,151.79
12,臺指日報酬兩倍指數,"19,015.54",20191106,<p style ='color:red'>+</p>,0.16,29.48
13,臺指日報酬兩倍指數,"18,986.06",20191105,<p style ='color:red'>+</p>,1.51,282.19
14,臺指日報酬兩倍指數,"18,703.87",20191104,<p style ='color:red'>+</p>,2.76,502.38
15,臺指日報酬兩倍指數,"18,201.49",20191101,<p style ='color:red'>+</p>,0.72,129.89
16,臺指日報酬兩倍指數,"18,071.60",20191031,<p style ='color:green'>-</p>,-0.38,68.77
17,臺指日報酬兩倍指數,"18,140.37",20191030,<p style ='color:red'>+</p>,0.82,147.36
18,臺指日報酬兩倍指數,"17,993.01",20191029,<p style ='color:red'>+</p>,0.33,59.75
19,臺指日報酬兩倍指數,"17,933.26",20191028,<p style ='color:red'>+</p>,0.33,59.81
20,臺指日報酬兩倍指數,"17,873.45",20191025,<p style ='color:green'>-</p>,-0.42,76.17
21,臺指日報酬兩倍指數,"17,949.62",20191024,<p style ='color:red'>+</p>,1.43,253.39
22,臺指日報酬兩倍指數,"17,696.23",20191023,<p style ='color:green'>-</p>,-0.56,99.72
23,臺指日報酬兩倍指數,"17,795.95",20191022,<p style ='color:red'>+</p>,1.56,272.93
24,臺指日報酬兩倍指數,"17,523.02",20191021,<p style ='color:red'>+</p>,0.07,12.31
25,臺指日報酬兩倍指數,"17,510.71",20191018,<p style ='color:green'>-</p>,-0.12,20.87
26,臺指日報酬兩倍指數,"17,531.58",20191017,<p style ='color:red'>+</p>,0.43,75.22
27,臺指日報酬兩倍指數,"17,456.36",20191016,<p style ='color:red'>+</p>,0.92,158.87
28,臺指日報酬兩倍指數,"17,297.49",20191015,<p style ='color:red'>+</p>,0.81,139.07
29,臺指日報酬兩倍指數,"17,158.42",20191014,<p style ='color:red'>+</p>,3.25,540.18
30,臺指日報酬兩倍指數,"16,618.24",20191009,<p style ='color:green'>-</p>,-2.31,393.27
31,臺指日報酬兩倍指數,"17,011.51",20191008,<p style ='color:red'>+</p>,1.5,252.12
32,臺指日報酬兩倍指數,"16,759.39",20191007,<p style ='color:red'>+</p>,0.74,123.93
33,臺指日報酬兩倍指數,"16,635.46",20191004,<p style ='color:red'>+</p>,0.34,56.61
34,臺指日報酬兩倍指數,"16,578.85",20191003,<p style ='color:green'>-</p>,-1.31,220.88
35,臺指日報酬兩倍指數,"16,799.73",20191002,<p style ='color:green'>-</p>,-0.36,60.78
36,臺指日報酬兩倍指數,"16,860.51",20191001,<p style ='color:red'>+</p>,2.55,418.93
37,臺指日報酬兩倍指數,"16,441.58",20190927,<p style ='color:green'>-</p>,-0.78,128.97
38,臺指日報酬兩倍指數,"16,570.55",20190926,<p style ='color:green'>-</p>,-0.03,5.18
