,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,臺灣50指數,"8,971.30",20191122,<p style ='color:green'>-</p>,-0.09,8.17
1,臺灣50指數,"8,979.47",20191121,<p style ='color:green'>-</p>,-0.79,71.93
2,臺灣50指數,"9,051.40",20191120,<p style ='color:green'>-</p>,-0.36,32.62
3,臺灣50指數,"9,084.02",20191119,<p style ='color:red'>+</p>,0.76,68.96
4,臺灣50指數,"9,015.06",20191118,<p style ='color:red'>+</p>,0.82,73.29
5,臺灣50指數,"8,941.77",20191115,<p style ='color:red'>+</p>,0.85,75.37
6,臺灣50指數,"8,866.40",20191114,<p style ='color:green'>-</p>,-0.07,6.44
7,臺灣50指數,"8,872.84",20191113,<p style ='color:green'>-</p>,-0.49,43.69
8,臺灣50指數,"8,916.53",20191112,<p style ='color:red'>+</p>,0.91,80.47
9,臺灣50指數,"8,836.06",20191111,<p style ='color:green'>-</p>,-1.4,125.8
10,臺灣50指數,"8,961.86",20191108,<p style ='color:green'>-</p>,-0.47,42.67
11,臺灣50指數,"9,004.53",20191107,<p style ='color:green'>-</p>,-0.41,36.65
12,臺灣50指數,"9,041.18",20191106,<p style ='color:red'>+</p>,0.3,27.16
13,臺灣50指數,"9,014.02",20191105,<p style ='color:red'>+</p>,0.94,83.66
14,臺灣50指數,"8,930.36",20191104,<p style ='color:red'>+</p>,1.97,172.68
15,臺灣50指數,"8,757.68",20191101,<p style ='color:red'>+</p>,0.45,39.6
16,臺灣50指數,"8,718.08",20191031,<p style ='color:green'>-</p>,-0.07,5.72
17,臺灣50指數,"8,723.80",20191030,<p style ='color:red'>+</p>,0.33,28.5
18,臺灣50指數,"8,695.30",20191029,<p style ='color:red'>+</p>,0.61,52.77
19,臺灣50指數,"8,642.53",20191028,<p style ='color:red'>+</p>,0.22,19.25
20,臺灣50指數,"8,623.28",20191025,<p style ='color:green'>-</p>,-0.15,12.61
21,臺灣50指數,"8,635.89",20191024,<p style ='color:red'>+</p>,0.61,52.59
22,臺灣50指數,"8,583.30",20191023,<p style ='color:green'>-</p>,-0.39,33.87
23,臺灣50指數,"8,617.17",20191022,<p style ='color:red'>+</p>,1.08,92.31
24,臺灣50指數,"8,524.86",20191021,<p style ='color:green'>-</p>,-0.19,16.2
25,臺灣50指數,"8,541.06",20191018,<p style ='color:green'>-</p>,-0.13,10.96
26,臺灣50指數,"8,552.02",20191017,<p style ='color:red'>+</p>,0.05,4.22
27,臺灣50指數,"8,547.80",20191016,<p style ='color:red'>+</p>,0.54,45.6
28,臺灣50指數,"8,502.20",20191015,<p style ='color:red'>+</p>,0.58,48.65
29,臺灣50指數,"8,453.55",20191014,<p style ='color:red'>+</p>,1.93,160.34
30,臺灣50指數,"8,293.21",20191009,<p style ='color:green'>-</p>,-1.37,114.82
31,臺灣50指數,"8,408.03",20191008,<p style ='color:red'>+</p>,1.38,114.27
32,臺灣50指數,"8,293.76",20191007,<p style ='color:red'>+</p>,0.44,36.01
33,臺灣50指數,"8,257.75",20191004,<p style ='color:red'>+</p>,0.22,17.92
34,臺灣50指數,"8,239.83",20191003,<p style ='color:green'>-</p>,-0.86,71.4
35,臺灣50指數,"8,311.23",20191002,<p style ='color:green'>-</p>,-0.34,28.43
36,臺灣50指數,"8,339.66",20191001,<p style ='color:red'>+</p>,1.65,135.15
37,臺灣50指數,"8,204.51",20190927,<p style ='color:red'>+</p>,0.14,11.87
38,臺灣50指數,"8,192.64",20190926,<p style ='color:red'>+</p>,0.23,18.5
39,臺灣50指數,"8,174.14",20190925,<p style ='color:green'>-</p>,-0.29,23.69
40,臺灣50指數,"8,197.83",20190924,<p style ='color:red'>+</p>,0.03,2.8
41,臺灣50指數,"8,195.03",20190923,<p style ='color:green'>-</p>,-0.27,21.86
42,臺灣50指數,"8,216.89",20190920,<p style ='color:red'>+</p>,0.2,16.8
