,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,臺灣50權重上限30%指數,"9,226.02",20191231,<p style ='color:green'>-</p>,-0.68,63.18
1,臺灣50權重上限30%指數,"9,289.20",20191230,<p style ='color:green'>-</p>,-0.47,43.71
2,臺灣50權重上限30%指數,"9,332.91",20191227,<p style ='color:red'>+</p>,0.81,75.05
3,臺灣50權重上限30%指數,"9,257.86",20191226,<p style ='color:green'>-</p>,-0.05,4.64
4,臺灣50權重上限30%指數,"9,262.50",20191225,<p style ='color:red'>+</p>,0.18,16.64
5,臺灣50權重上限30%指數,"9,245.86",20191224,<p style ='color:green'>-</p>,-0.52,48.56
6,臺灣50權重上限30%指數,"9,294.42",20191223,<p style ='color:red'>+</p>,0.66,61.21
7,臺灣50權重上限30%指數,"9,233.21",20191220,<p style ='color:green'>-</p>,-0.63,58.66
8,臺灣50權重上限30%指數,"9,291.87",20191219,<p style ='color:green'>-</p>,-1.09,102.6
9,臺灣50權重上限30%指數,"9,394.47",20191218,<p style ='color:red'>+</p>,0.22,20.82
10,臺灣50權重上限30%指數,"9,373.65",20191217,<p style ='color:red'>+</p>,1.63,150.25
11,臺灣50權重上限30%指數,"9,223.40",20191216,<p style ='color:green'>-</p>,-0.25,23.43
12,臺灣50權重上限30%指數,"9,246.83",20191213,<p style ='color:red'>+</p>,1.17,106.9
13,臺灣50權重上限30%指數,"9,139.93",20191212,<p style ='color:red'>+</p>,1.58,142.53
14,臺灣50權重上限30%指數,"8,997.40",20191211,<p style ='color:red'>+</p>,0.84,74.73
15,臺灣50權重上限30%指數,"8,922.67",20191210,<p style ='color:green'>-</p>,-0.47,41.72
16,臺灣50權重上限30%指數,"8,964.39",20191209,<p style ='color:red'>+</p>,0.58,51.26
17,臺灣50權重上限30%指數,"8,913.13",20191206,<p style ='color:red'>+</p>,0.18,15.72
18,臺灣50權重上限30%指數,"8,897.41",20191205,<p style ='color:red'>+</p>,0.83,72.93
19,臺灣50權重上限30%指數,"8,824.48",20191204,<p style ='color:green'>-</p>,-0.2,17.94
20,臺灣50權重上限30%指數,"8,842.42",20191203,<p style ='color:red'>+</p>,0.26,22.54
21,臺灣50權重上限30%指數,"8,819.88",20191202,<p style ='color:red'>+</p>,0.35,30.54
22,臺灣50權重上限30%指數,"8,789.34",20191129,<p style ='color:green'>-</p>,-1.28,113.67
23,臺灣50權重上限30%指數,"8,903.01",20191128,<p style ='color:green'>-</p>,-0.3,26.41
24,臺灣50權重上限30%指數,"8,929.42",20191127,<p style ='color:red'>+</p>,0.76,67.66
25,臺灣50權重上限30%指數,"8,861.76",20191126,<p style ='color:green'>-</p>,-0.01,0.85
26,臺灣50權重上限30%指數,"8,862.61",20191125,<p style ='color:green'>-</p>,-0.18,15.89
