,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,臺灣中型100指數,"8,656.31",20191231,<p style ='color:red'>+</p>,0.12,10.02
1,臺灣中型100指數,"8,646.29",20191230,<p style ='color:red'>+</p>,0.1,8.99
2,臺灣中型100指數,"8,637.30",20191227,<p style ='color:red'>+</p>,0.57,49.26
3,臺灣中型100指數,"8,588.04",20191226,<p style ='color:green'>-</p>,-0.23,20.14
4,臺灣中型100指數,"8,608.18",20191225,<p style ='color:red'>+</p>,0.47,40.05
5,臺灣中型100指數,"8,568.13",20191224,<p style ='color:green'>-</p>,-0.09,7.4
6,臺灣中型100指數,"8,575.53",20191223,<p style ='color:green'>-</p>,-0.02,1.6
7,臺灣中型100指數,"8,577.13",20191220,<p style ='color:green'>-</p>,-0.38,32.81
8,臺灣中型100指數,"8,609.94",20191219,<p style ='color:green'>-</p>,-0.43,37.52
9,臺灣中型100指數,"8,647.46",20191218,<p style ='color:red'>+</p>,0.11,9.54
10,臺灣中型100指數,"8,637.92",20191217,<p style ='color:red'>+</p>,0.73,62.95
11,臺灣中型100指數,"8,574.97",20191216,<p style ='color:red'>+</p>,0.99,83.71
12,臺灣中型100指數,"8,491.26",20191213,<p style ='color:red'>+</p>,0.06,4.81
13,臺灣中型100指數,"8,486.45",20191212,<p style ='color:red'>+</p>,0.1,8.49
14,臺灣中型100指數,"8,477.96",20191211,<p style ='color:red'>+</p>,0.28,23.85
15,臺灣中型100指數,"8,454.11",20191210,<p style ='color:red'>+</p>,0.14,11.95
16,臺灣中型100指數,"8,442.16",20191209,<p style ='color:red'>+</p>,0.51,43.12
17,臺灣中型100指數,"8,399.04",20191206,<p style ='color:red'>+</p>,0.03,2.25
18,臺灣中型100指數,"8,396.79",20191205,<p style ='color:red'>+</p>,0.51,42.26
19,臺灣中型100指數,"8,354.53",20191204,<p style ='color:green'>-</p>,-0.16,13.37
20,臺灣中型100指數,"8,367.90",20191203,<p style ='color:red'>+</p>,0.43,36.18
21,臺灣中型100指數,"8,331.72",20191202,<p style ='color:green'>-</p>,-0.41,33.9
22,臺灣中型100指數,"8,365.62",20191129,<p style ='color:green'>-</p>,-0.89,75.14
23,臺灣中型100指數,"8,440.76",20191128,<p style ='color:green'>-</p>,-0.25,21.4
24,臺灣中型100指數,"8,462.16",20191127,<p style ='color:red'>+</p>,0.39,33.14
25,臺灣中型100指數,"8,429.02",20191126,<p style ='color:red'>+</p>,0.57,47.9
26,臺灣中型100指數,"8,381.12",20191125,<p style ='color:red'>+</p>,0.03,2.32
27,臺灣中型100指數,"8,378.80",20191122,<p style ='color:red'>+</p>,0.38,31.31
28,臺灣中型100指數,"8,347.49",20191121,<p style ='color:green'>-</p>,-0.42,35.36
29,臺灣中型100指數,"8,382.85",20191120,<p style ='color:green'>-</p>,-0.13,10.99
30,臺灣中型100指數,"8,393.84",20191119,<p style ='color:red'>+</p>,0.29,24.02
31,臺灣中型100指數,"8,369.82",20191118,<p style ='color:red'>+</p>,0.39,32.6
32,臺灣中型100指數,"8,337.22",20191115,<p style ='color:red'>+</p>,0.36,29.63
33,臺灣中型100指數,"8,307.59",20191114,<p style ='color:green'>-</p>,-0.23,18.84
34,臺灣中型100指數,"8,326.43",20191113,<p style ='color:green'>-</p>,-0.53,44.29
35,臺灣中型100指數,"8,370.72",20191112,<p style ='color:red'>+</p>,1.02,84.42
36,臺灣中型100指數,"8,286.30",20191111,<p style ='color:green'>-</p>,-0.96,80.54
37,臺灣中型100指數,"8,366.84",20191108,<p style ='color:red'>+</p>,0.04,3.74
38,臺灣中型100指數,"8,363.10",20191107,<p style ='color:green'>-</p>,-0.61,51.38
39,臺灣中型100指數,"8,414.48",20191106,<p style ='color:green'>-</p>,-0.58,48.71
40,臺灣中型100指數,"8,463.19",20191105,<p style ='color:red'>+</p>,0.57,47.63
41,臺灣中型100指數,"8,415.56",20191104,<p style ='color:red'>+</p>,0.54,45.03
42,臺灣中型100指數,"8,370.53",20191101,<p style ='color:red'>+</p>,0.04,3.54
43,臺灣中型100指數,"8,366.99",20191031,<p style ='color:green'>-</p>,-0.12,10.01
44,臺灣中型100指數,"8,377.00",20191030,<p style ='color:red'>+</p>,0.52,43.25
45,臺灣中型100指數,"8,333.75",20191029,<p style ='color:green'>-</p>,-0.7,59.06
46,臺灣中型100指數,"8,392.81",20191028,<p style ='color:red'>+</p>,0.14,11.34
47,臺灣中型100指數,"8,381.47",20191025,<p style ='color:green'>-</p>,-0.36,30.23
48,臺灣中型100指數,"8,411.70",20191024,<p style ='color:red'>+</p>,0.89,73.81
49,臺灣中型100指數,"8,337.89",20191023,<p style ='color:red'>+</p>,0.36,29.56
50,臺灣中型100指數,"8,308.33",20191022,<p style ='color:red'>+</p>,0.18,15.12
51,臺灣中型100指數,"8,293.21",20191021,<p style ='color:red'>+</p>,0.1,8.5
52,臺灣中型100指數,"8,284.71",20191018,<p style ='color:red'>+</p>,0.12,9.7
53,臺灣中型100指數,"8,275.01",20191017,<p style ='color:red'>+</p>,0.63,52.18
54,臺灣中型100指數,"8,222.83",20191016,<p style ='color:red'>+</p>,0.26,21.34
55,臺灣中型100指數,"8,201.49",20191015,<p style ='color:red'>+</p>,0.11,8.92
56,臺灣中型100指數,"8,192.57",20191014,<p style ='color:red'>+</p>,1.5,121.36
57,臺灣中型100指數,"8,071.21",20191009,<p style ='color:green'>-</p>,-1.03,83.64
58,臺灣中型100指數,"8,154.85",20191008,<p style ='color:green'>-</p>,-0.11,9.17
59,臺灣中型100指數,"8,164.02",20191007,<p style ='color:red'>+</p>,0.41,33.44
60,臺灣中型100指數,"8,130.58",20191004,<p style ='color:red'>+</p>,0.21,17.02
61,臺灣中型100指數,"8,113.56",20191003,<p style ='color:green'>-</p>,-0.19,15.17
62,臺灣中型100指數,"8,128.73",20191002,<p style ='color:red'>+</p>,0.35,28.51
63,臺灣中型100指數,"8,100.22",20191001,<p style ='color:red'>+</p>,0.84,67.46
64,臺灣中型100指數,"8,032.76",20190927,<p style ='color:green'>-</p>,-1.38,112.32
65,臺灣中型100指數,"8,145.08",20190926,<p style ='color:green'>-</p>,-0.36,29.24
66,臺灣中型100指數,"8,174.32",20190925,<p style ='color:green'>-</p>,-0.62,51.29
67,臺灣中型100指數,"8,225.61",20190924,<p style ='color:green'>-</p>,-0.06,4.54
68,臺灣中型100指數,"8,230.15",20190923,<p style ='color:red'>+</p>,0.4,32.67
69,臺灣中型100指數,"8,197.48",20190920,<p style ='color:red'>+</p>,0.33,26.9
70,臺灣中型100指數,"8,170.58",20190919,<p style ='color:green'>-</p>,-0.11,8.97
71,臺灣中型100指數,"8,179.55",20190918,<p style ='color:red'>+</p>,0.43,35.21
72,臺灣中型100指數,"8,144.34",20190917,<p style ='color:red'>+</p>,0.04,2.89
