,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,臺灣公司治理100指數,"6,604.52",20191122,<p style ='color:red'>+</p>,0.14,9.05
1,臺灣公司治理100指數,"6,595.47",20191121,<p style ='color:green'>-</p>,-0.81,54.17
2,臺灣公司治理100指數,"6,649.64",20191120,<p style ='color:green'>-</p>,-0.16,10.72
3,臺灣公司治理100指數,"6,660.36",20191119,<p style ='color:red'>+</p>,0.5,33.45
4,臺灣公司治理100指數,"6,626.91",20191118,<p style ='color:red'>+</p>,0.8,52.3
5,臺灣公司治理100指數,"6,574.61",20191115,<p style ='color:red'>+</p>,0.68,44.71
6,臺灣公司治理100指數,"6,529.90",20191114,<p style ='color:green'>-</p>,-0.15,9.96
7,臺灣公司治理100指數,"6,539.86",20191113,<p style ='color:green'>-</p>,-0.56,36.84
8,臺灣公司治理100指數,"6,576.70",20191112,<p style ='color:red'>+</p>,0.76,49.88
9,臺灣公司治理100指數,"6,526.82",20191111,<p style ='color:green'>-</p>,-1.02,67.37
10,臺灣公司治理100指數,"6,594.19",20191108,<p style ='color:green'>-</p>,-0.47,31.46
11,臺灣公司治理100指數,"6,625.65",20191107,<p style ='color:green'>-</p>,-0.4,26.37
12,臺灣公司治理100指數,"6,652.02",20191106,<p style ='color:red'>+</p>,0.18,11.66
13,臺灣公司治理100指數,"6,640.36",20191105,<p style ='color:red'>+</p>,0.91,59.66
14,臺灣公司治理100指數,"6,580.70",20191104,<p style ='color:red'>+</p>,1.53,99.13
15,臺灣公司治理100指數,"6,481.57",20191101,<p style ='color:red'>+</p>,0.2,12.84
16,臺灣公司治理100指數,"6,468.73",20191031,<p style ='color:green'>-</p>,-0.28,18.26
17,臺灣公司治理100指數,"6,486.99",20191030,<p style ='color:red'>+</p>,0.45,29.16
18,臺灣公司治理100指數,"6,457.83",20191029,<p style ='color:red'>+</p>,0.44,28.04
19,臺灣公司治理100指數,"6,429.79",20191028,<p style ='color:red'>+</p>,0.2,13.01
20,臺灣公司治理100指數,"6,416.78",20191025,<p style ='color:green'>-</p>,-0.08,5.26
21,臺灣公司治理100指數,"6,422.04",20191024,<p style ='color:red'>+</p>,0.62,39.49
22,臺灣公司治理100指數,"6,382.55",20191023,<p style ='color:green'>-</p>,-0.36,23.29
23,臺灣公司治理100指數,"6,405.84",20191022,<p style ='color:red'>+</p>,0.92,58.35
24,臺灣公司治理100指數,"6,347.49",20191021,<p style ='color:green'>-</p>,-0.18,11.59
25,臺灣公司治理100指數,"6,359.08",20191018,<p style ='color:green'>-</p>,-0.01,0.36
26,臺灣公司治理100指數,"6,359.44",20191017,<p style ='color:green'>-</p>,-0.05,3.13
27,臺灣公司治理100指數,"6,362.57",20191016,<p style ='color:red'>+</p>,0.58,36.65
28,臺灣公司治理100指數,"6,325.92",20191015,<p style ='color:red'>+</p>,0.49,30.88
29,臺灣公司治理100指數,"6,295.04",20191014,<p style ='color:red'>+</p>,1.8,111.17
