,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,臺灣就業99指數,"6,715.98",20191122,<p style ='color:red'>+</p>,0.19,13.00
1,臺灣就業99指數,"6,702.98",20191121,<p style ='color:green'>-</p>,-0.79,53.62
2,臺灣就業99指數,"6,756.60",20191120,<p style ='color:red'>+</p>,0.04,2.43
3,臺灣就業99指數,"6,754.17",20191119,<p style ='color:red'>+</p>,0.15,10.23
4,臺灣就業99指數,"6,743.94",20191118,<p style ='color:red'>+</p>,0.88,59.03
5,臺灣就業99指數,"6,684.91",20191115,<p style ='color:red'>+</p>,0.62,41.27
6,臺灣就業99指數,"6,643.64",20191114,<p style ='color:green'>-</p>,-0.13,8.84
7,臺灣就業99指數,"6,652.48",20191113,<p style ='color:green'>-</p>,-0.51,34.27
8,臺灣就業99指數,"6,686.75",20191112,<p style ='color:red'>+</p>,0.74,49.13
9,臺灣就業99指數,"6,637.62",20191111,<p style ='color:green'>-</p>,-1.05,70.59
10,臺灣就業99指數,"6,708.21",20191108,<p style ='color:green'>-</p>,-0.14,9.38
11,臺灣就業99指數,"6,717.59",20191107,<p style ='color:green'>-</p>,-0.06,4.17
12,臺灣就業99指數,"6,721.76",20191106,<p style ='color:red'>+</p>,0.32,21.49
13,臺灣就業99指數,"6,700.27",20191105,<p style ='color:red'>+</p>,0.51,33.82
14,臺灣就業99指數,"6,666.45",20191104,<p style ='color:red'>+</p>,1.15,75.7
15,臺灣就業99指數,"6,590.75",20191101,<p style ='color:red'>+</p>,0.21,13.53
16,臺灣就業99指數,"6,577.22",20191031,<p style ='color:green'>-</p>,-0.25,16.63
17,臺灣就業99指數,"6,593.85",20191030,<p style ='color:red'>+</p>,0.17,11.03
18,臺灣就業99指數,"6,582.82",20191029,<p style ='color:green'>-</p>,-0.03,2.0
19,臺灣就業99指數,"6,584.82",20191028,<p style ='color:green'>-</p>,-0.07,4.92
20,臺灣就業99指數,"6,589.74",20191025,<p style ='color:green'>-</p>,-0.21,13.76
21,臺灣就業99指數,"6,603.50",20191024,<p style ='color:red'>+</p>,0.71,46.46
22,臺灣就業99指數,"6,557.04",20191023,<p style ='color:green'>-</p>,-0.25,16.49
23,臺灣就業99指數,"6,573.53",20191022,<p style ='color:red'>+</p>,0.61,40.06
24,臺灣就業99指數,"6,533.47",20191021,<p style ='color:red'>+</p>,0.11,7.37
25,臺灣就業99指數,"6,526.10",20191018,<p style ='color:green'>-</p>,-0.03,1.87
26,臺灣就業99指數,"6,527.97",20191017,<p style ='color:red'>+</p>,0.41,26.41
27,臺灣就業99指數,"6,501.56",20191016,<p style ='color:red'>+</p>,0.53,34.58
28,臺灣就業99指數,"6,466.98",20191015,<p style ='color:red'>+</p>,0.08,5.25
29,臺灣就業99指數,"6,461.73",20191014,<p style ='color:red'>+</p>,1.94,122.82
30,臺灣就業99指數,"6,338.91",20191009,<p style ='color:green'>-</p>,-1.29,83.09
31,臺灣就業99指數,"6,422.00",20191008,<p style ='color:red'>+</p>,0.41,26.25
32,臺灣就業99指數,"6,395.75",20191007,<p style ='color:red'>+</p>,0.26,16.48
33,臺灣就業99指數,"6,379.27",20191004,<p style ='color:red'>+</p>,0.36,22.96
34,臺灣就業99指數,"6,356.31",20191003,<p style ='color:green'>-</p>,-0.64,41.1
35,臺灣就業99指數,"6,397.41",20191002,<p style ='color:green'>-</p>,-0.34,21.89
36,臺灣就業99指數,"6,419.30",20191001,<p style ='color:red'>+</p>,1.27,80.22
37,臺灣就業99指數,"6,339.08",20190927,<p style ='color:green'>-</p>,-0.85,54.5
38,臺灣就業99指數,"6,393.58",20190926,<p style ='color:green'>-</p>,-0.26,16.8
39,臺灣就業99指數,"6,410.38",20190925,<p style ='color:green'>-</p>,-0.71,45.8
40,臺灣就業99指數,"6,456.18",20190924,<p style ='color:green'>-</p>,-0.09,6.02
41,臺灣就業99指數,"6,462.20",20190923,<p style ='color:green'>-</p>,-0.05,3.24
42,臺灣就業99指數,"6,465.44",20190920,<p style ='color:red'>+</p>,0.31,20.28
43,臺灣就業99指數,"6,445.16",20190919,<p style ='color:green'>-</p>,-0.18,11.88
44,臺灣就業99指數,"6,457.04",20190918,<p style ='color:red'>+</p>,0.31,20.25
45,臺灣就業99指數,"6,436.79",20190917,<p style ='color:red'>+</p>,0.01,0.6
46,臺灣就業99指數,"6,436.19",20190916,<p style ='color:red'>+</p>,0.26,16.61
47,臺灣就業99指數,"6,419.58",20190912,<p style ='color:red'>+</p>,0.3,19.0
48,臺灣就業99指數,"6,400.58",20190911,<p style ='color:red'>+</p>,0.47,29.93
49,臺灣就業99指數,"6,370.65",20190910,<p style ='color:green'>-</p>,-0.05,3.23
50,臺灣就業99指數,"6,373.88",20190909,<p style ='color:red'>+</p>,0.32,20.51
51,臺灣就業99指數,"6,353.37",20190906,<p style ='color:red'>+</p>,0.4,25.47
52,臺灣就業99指數,"6,327.90",20190905,<p style ='color:red'>+</p>,1.0,62.38
53,臺灣就業99指數,"6,265.52",20190904,<p style ='color:red'>+</p>,1.03,63.94
54,臺灣就業99指數,"6,201.58",20190903,<p style ='color:green'>-</p>,-0.82,51.41
55,臺灣就業99指數,"6,252.99",20190902,<p style ='color:red'>+</p>,0.27,17.11
56,臺灣就業99指數,"6,235.88",20190830,<p style ='color:red'>+</p>,1.58,97.04
57,臺灣就業99指數,"6,138.84",20190829,<p style ='color:red'>+</p>,0.4,24.5
58,臺灣就業99指數,"6,114.34",20190828,<p style ='color:red'>+</p>,0.43,26.47
59,臺灣就業99指數,"6,087.87",20190827,<p style ='color:red'>+</p>,0.2,11.96
60,臺灣就業99指數,"6,075.91",20190826,<p style ='color:green'>-</p>,-1.65,102.23
61,臺灣就業99指數,"6,178.14",20190823,<p style ='color:red'>+</p>,0.29,18.06
62,臺灣就業99指數,"6,160.08",20190822,<p style ='color:red'>+</p>,0.13,7.94
63,臺灣就業99指數,"6,152.14",20190821,<p style ='color:red'>+</p>,0.06,3.79
64,臺灣就業99指數,"6,148.35",20190820,<p style ='color:red'>+</p>,0.02,1.5
65,臺灣就業99指數,"6,146.85",20190819,<p style ='color:red'>+</p>,1.12,68.34
66,臺灣就業99指數,"6,078.51",20190816,<p style ='color:red'>+</p>,1.3,77.93
67,臺灣就業99指數,"6,000.58",20190815,<p style ='color:green'>-</p>,-0.81,48.86
