,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,臺灣發達指數,"8,482.55",20191122,<p style ='color:red'>+</p>,0.13,11.06
1,臺灣發達指數,"8,471.49",20191121,<p style ='color:green'>-</p>,-0.52,44.24
2,臺灣發達指數,"8,515.73",20191120,<p style ='color:green'>-</p>,-0.36,31.14
3,臺灣發達指數,"8,546.87",20191119,<p style ='color:red'>+</p>,0.46,38.85
4,臺灣發達指數,"8,508.02",20191118,<p style ='color:red'>+</p>,0.31,26.62
5,臺灣發達指數,"8,481.40",20191115,<p style ='color:red'>+</p>,0.49,41.39
6,臺灣發達指數,"8,440.01",20191114,<p style ='color:green'>-</p>,-0.19,15.66
7,臺灣發達指數,"8,455.67",20191113,<p style ='color:green'>-</p>,-0.72,61.55
8,臺灣發達指數,"8,517.22",20191112,<p style ='color:red'>+</p>,0.73,61.36
9,臺灣發達指數,"8,455.86",20191111,<p style ='color:green'>-</p>,-1.45,124.45
10,臺灣發達指數,"8,580.31",20191108,<p style ='color:red'>+</p>,0.06,5.51
11,臺灣發達指數,"8,574.80",20191107,<p style ='color:green'>-</p>,-0.18,15.89
12,臺灣發達指數,"8,590.69",20191106,<p style ='color:green'>-</p>,-0.35,30.28
13,臺灣發達指數,"8,620.97",20191105,<p style ='color:red'>+</p>,0.69,58.69
14,臺灣發達指數,"8,562.28",20191104,<p style ='color:red'>+</p>,1.48,124.53
15,臺灣發達指數,"8,437.75",20191101,<p style ='color:red'>+</p>,0.82,68.77
16,臺灣發達指數,"8,368.98",20191031,<p style ='color:green'>-</p>,-0.05,3.89
17,臺灣發達指數,"8,372.87",20191030,<p style ='color:red'>+</p>,0.45,37.39
18,臺灣發達指數,"8,335.48",20191029,<p style ='color:green'>-</p>,-0.25,20.97
19,臺灣發達指數,"8,356.45",20191028,<p style ='color:red'>+</p>,0.10,8.24
20,臺灣發達指數,"8,348.21",20191025,<p style ='color:green'>-</p>,-0.38,31.7
21,臺灣發達指數,"8,379.91",20191024,<p style ='color:red'>+</p>,1.01,83.77
22,臺灣發達指數,"8,296.14",20191023,<p style ='color:green'>-</p>,-0.53,44.04
23,臺灣發達指數,"8,340.18",20191022,<p style ='color:red'>+</p>,0.86,71.0
24,臺灣發達指數,"8,269.18",20191021,<p style ='color:red'>+</p>,0.41,33.52
25,臺灣發達指數,"8,235.66",20191018,<p style ='color:green'>-</p>,-0.02,1.76
26,臺灣發達指數,"8,237.42",20191017,<p style ='color:red'>+</p>,0.78,63.83
27,臺灣發達指數,"8,173.59",20191016,<p style ='color:red'>+</p>,0.17,14.23
28,臺灣發達指數,"8,159.36",20191015,<p style ='color:red'>+</p>,0.30,24.02
29,臺灣發達指數,"8,135.34",20191014,<p style ='color:red'>+</p>,1.45,116.34
30,臺灣發達指數,"8,019.00",20191009,<p style ='color:green'>-</p>,-1.14,92.15
31,臺灣發達指數,"8,111.15",20191008,<p style ='color:red'>+</p>,0.16,12.68
32,臺灣發達指數,"8,098.47",20191007,<p style ='color:red'>+</p>,0.64,51.58
33,臺灣發達指數,"8,046.89",20191004,<p style ='color:red'>+</p>,0.19,15.36
34,臺灣發達指數,"8,031.53",20191003,<p style ='color:green'>-</p>,-0.69,55.44
35,臺灣發達指數,"8,086.97",20191002,<p style ='color:green'>-</p>,-0.15,12.51
36,臺灣發達指數,"8,099.48",20191001,<p style ='color:red'>+</p>,0.75,60.16
37,臺灣發達指數,"8,039.32",20190927,<p style ='color:green'>-</p>,-0.71,57.11
38,臺灣發達指數,"8,096.43",20190926,<p style ='color:green'>-</p>,-0.06,5.07
39,臺灣發達指數,"8,101.50",20190925,<p style ='color:green'>-</p>,-0.50,41.0
40,臺灣發達指數,"8,142.50",20190924,<p style ='color:green'>-</p>,-0.30,24.14
41,臺灣發達指數,"8,166.64",20190923,<p style ='color:green'>-</p>,-0.18,14.86
42,臺灣發達指數,"8,181.50",20190920,<p style ='color:red'>+</p>,0.61,49.67
43,臺灣發達指數,"8,131.83",20190919,<p style ='color:green'>-</p>,-0.19,15.72
44,臺灣發達指數,"8,147.55",20190918,<p style ='color:red'>+</p>,0.45,36.46
45,臺灣發達指數,"8,111.09",20190917,<p style ='color:green'>-</p>,-0.55,44.89
46,臺灣發達指數,"8,155.98",20190916,<p style ='color:red'>+</p>,0.52,42.59
47,臺灣發達指數,"8,113.39",20190912,<p style ='color:red'>+</p>,0.79,63.67
48,臺灣發達指數,"8,049.72",20190911,<p style ='color:red'>+</p>,0.53,42.17
49,臺灣發達指數,"8,007.55",20190910,<p style ='color:green'>-</p>,-0.56,45.4
50,臺灣發達指數,"8,052.95",20190909,<p style ='color:green'>-</p>,-0.17,13.63
51,臺灣發達指數,"8,066.58",20190906,<p style ='color:red'>+</p>,0.02,1.9
