,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,臺灣資訊科技指數,"13,413.15",20191231,<p style ='color:green'>-</p>,-0.91,123.78
1,臺灣資訊科技指數,"13,536.93",20191230,<p style ='color:green'>-</p>,-0.85,116.14
2,臺灣資訊科技指數,"13,653.07",20191227,<p style ='color:red'>+</p>,1.21,163.22
3,臺灣資訊科技指數,"13,489.85",20191226,<p style ='color:green'>-</p>,-0.09,11.74
4,臺灣資訊科技指數,"13,501.59",20191225,<p style ='color:red'>+</p>,0.38,51.16
5,臺灣資訊科技指數,"13,450.43",20191224,<p style ='color:green'>-</p>,-0.63,84.74
6,臺灣資訊科技指數,"13,535.17",20191223,<p style ='color:red'>+</p>,1.15,153.51
7,臺灣資訊科技指數,"13,381.66",20191220,<p style ='color:green'>-</p>,-1.48,201.23
8,臺灣資訊科技指數,"13,582.89",20191219,<p style ='color:green'>-</p>,-2.14,297.62
9,臺灣資訊科技指數,"13,880.51",20191218,<p style ='color:green'>-</p>,-0.1,14.54
10,臺灣資訊科技指數,"13,895.05",20191217,<p style ='color:red'>+</p>,2.38,322.43
11,臺灣資訊科技指數,"13,572.62",20191216,<p style ='color:green'>-</p>,-0.33,44.59
12,臺灣資訊科技指數,"13,617.21",20191213,<p style ='color:red'>+</p>,1.74,233.12
13,臺灣資訊科技指數,"13,384.09",20191212,<p style ='color:red'>+</p>,2.93,380.5
14,臺灣資訊科技指數,"13,003.59",20191211,<p style ='color:red'>+</p>,1.36,174.27
15,臺灣資訊科技指數,"12,829.32",20191210,<p style ='color:green'>-</p>,-0.46,58.89
16,臺灣資訊科技指數,"12,888.21",20191209,<p style ='color:red'>+</p>,1.02,130.63
17,臺灣資訊科技指數,"12,757.58",20191206,<p style ='color:red'>+</p>,0.14,18.21
18,臺灣資訊科技指數,"12,739.37",20191205,<p style ='color:red'>+</p>,1.57,197.18
19,臺灣資訊科技指數,"12,542.19",20191204,<p style ='color:green'>-</p>,-0.12,15.62
20,臺灣資訊科技指數,"12,557.81",20191203,<p style ='color:red'>+</p>,0.12,15.31
21,臺灣資訊科技指數,"12,542.50",20191202,<p style ='color:red'>+</p>,0.42,52.86
22,臺灣資訊科技指數,"12,489.64",20191129,<p style ='color:green'>-</p>,-1.38,175.36
23,臺灣資訊科技指數,"12,665.00",20191128,<p style ='color:green'>-</p>,-0.29,37.34
24,臺灣資訊科技指數,"12,702.34",20191127,<p style ='color:red'>+</p>,0.94,118.12
25,臺灣資訊科技指數,"12,584.22",20191126,<p style ='color:red'>+</p>,0.02,3.02
26,臺灣資訊科技指數,"12,581.20",20191125,<p style ='color:green'>-</p>,-0.43,54.25
27,臺灣資訊科技指數,"12,635.45",20191122,<p style ='color:green'>-</p>,-0.2,24.82
28,臺灣資訊科技指數,"12,660.27",20191121,<p style ='color:green'>-</p>,-0.87,111.29
29,臺灣資訊科技指數,"12,771.56",20191120,<p style ='color:green'>-</p>,-0.33,42.88
30,臺灣資訊科技指數,"12,814.44",20191119,<p style ='color:red'>+</p>,1.08,136.54
31,臺灣資訊科技指數,"12,677.90",20191118,<p style ='color:red'>+</p>,1.14,142.88
32,臺灣資訊科技指數,"12,535.02",20191115,<p style ='color:red'>+</p>,1.11,138.17
33,臺灣資訊科技指數,"12,396.85",20191114,<p style ='color:red'>+</p>,0.02,2.68
34,臺灣資訊科技指數,"12,394.17",20191113,<p style ='color:green'>-</p>,-0.31,37.98
35,臺灣資訊科技指數,"12,432.15",20191112,<p style ='color:red'>+</p>,1.26,154.27
36,臺灣資訊科技指數,"12,277.88",20191111,<p style ='color:green'>-</p>,-1.43,178.67
37,臺灣資訊科技指數,"12,456.55",20191108,<p style ='color:green'>-</p>,-0.9,113.37
38,臺灣資訊科技指數,"12,569.92",20191107,<p style ='color:green'>-</p>,-0.72,91.32
39,臺灣資訊科技指數,"12,661.24",20191106,<p style ='color:red'>+</p>,0.19,24.38
40,臺灣資訊科技指數,"12,636.86",20191105,<p style ='color:red'>+</p>,1.14,142.2
41,臺灣資訊科技指數,"12,494.66",20191104,<p style ='color:red'>+</p>,2.2,269.36
42,臺灣資訊科技指數,"12,225.30",20191101,<p style ='color:red'>+</p>,0.2,24.91
43,臺灣資訊科技指數,"12,200.39",20191031,<p style ='color:green'>-</p>,-0.11,13.36
44,臺灣資訊科技指數,"12,213.75",20191030,<p style ='color:red'>+</p>,0.27,33.35
45,臺灣資訊科技指數,"12,180.40",20191029,<p style ='color:red'>+</p>,0.96,116.08
46,臺灣資訊科技指數,"12,064.32",20191028,<p style ='color:red'>+</p>,0.33,40.2
47,臺灣資訊科技指數,"12,024.12",20191025,<p style ='color:green'>-</p>,-0.03,3.14
48,臺灣資訊科技指數,"12,027.26",20191024,<p style ='color:red'>+</p>,0.33,39.63
49,臺灣資訊科技指數,"11,987.63",20191023,<p style ='color:red'>+</p>,0.06,7.45
50,臺灣資訊科技指數,"11,980.18",20191022,<p style ='color:red'>+</p>,1.12,132.52
51,臺灣資訊科技指數,"11,847.66",20191021,<p style ='color:green'>-</p>,-0.72,85.72
52,臺灣資訊科技指數,"11,933.38",20191018,<p style ='color:green'>-</p>,-0.11,13.22
53,臺灣資訊科技指數,"11,946.60",20191017,<p style ='color:green'>-</p>,-0.36,43.75
54,臺灣資訊科技指數,"11,990.35",20191016,<p style ='color:red'>+</p>,0.74,87.89
55,臺灣資訊科技指數,"11,902.46",20191015,<p style ='color:red'>+</p>,0.8,94.87
56,臺灣資訊科技指數,"11,807.59",20191014,<p style ='color:red'>+</p>,2.35,271.12
57,臺灣資訊科技指數,"11,536.47",20191009,<p style ='color:green'>-</p>,-1.66,194.84
58,臺灣資訊科技指數,"11,731.31",20191008,<p style ='color:red'>+</p>,2.15,246.73
59,臺灣資訊科技指數,"11,484.58",20191007,<p style ='color:red'>+</p>,0.46,52.5
60,臺灣資訊科技指數,"11,432.08",20191004,<p style ='color:red'>+</p>,0.23,26.1
61,臺灣資訊科技指數,"11,405.98",20191003,<p style ='color:green'>-</p>,-0.71,81.59
62,臺灣資訊科技指數,"11,487.57",20191002,<p style ='color:green'>-</p>,-0.18,20.97
63,臺灣資訊科技指數,"11,508.54",20191001,<p style ='color:red'>+</p>,2.41,270.44
64,臺灣資訊科技指數,"11,238.10",20190927,<p style ='color:red'>+</p>,0.54,60.47
65,臺灣資訊科技指數,"11,177.63",20190926,<p style ='color:red'>+</p>,0.37,40.97
66,臺灣資訊科技指數,"11,136.66",20190925,<p style ='color:green'>-</p>,-0.1,11.31
67,臺灣資訊科技指數,"11,147.97",20190924,<p style ='color:red'>+</p>,0.34,38.21
68,臺灣資訊科技指數,"11,109.76",20190923,<p style ='color:red'>+</p>,0.09,9.48
69,臺灣資訊科技指數,"11,100.28",20190920,<p style ='color:red'>+</p>,0.01,0.74
70,臺灣資訊科技指數,"11,099.54",20190919,<p style ='color:green'>-</p>,-0.58,65.02
