,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,臺灣高股息指數,"6,796.36",20191231,<p style ='color:green'>-</p>,-0.12,7.92
1,臺灣高股息指數,"6,804.28",20191230,<p style ='color:red'>+</p>,0.27,18.65
2,臺灣高股息指數,"6,785.63",20191227,<p style ='color:red'>+</p>,0.54,36.17
3,臺灣高股息指數,"6,749.46",20191226,<p style ='color:green'>-</p>,-0.26,17.29
4,臺灣高股息指數,"6,766.75",20191225,<p style ='color:red'>+</p>,0.44,29.45
5,臺灣高股息指數,"6,737.30",20191224,<p style ='color:red'>+</p>,0.35,23.47
6,臺灣高股息指數,"6,713.83",20191223,<p style ='color:red'>+</p>,0.08,5.38
7,臺灣高股息指數,"6,708.45",20191220,<p style ='color:green'>-</p>,-0.52,35.11
8,臺灣高股息指數,"6,743.56",20191219,<p style ='color:green'>-</p>,-0.13,8.6
9,臺灣高股息指數,"6,752.16",20191218,<p style ='color:red'>+</p>,0.05,3.13
10,臺灣高股息指數,"6,749.03",20191217,<p style ='color:red'>+</p>,0.79,53.0
11,臺灣高股息指數,"6,696.03",20191216,<p style ='color:red'>+</p>,0.67,44.63
12,臺灣高股息指數,"6,651.40",20191213,<p style ='color:red'>+</p>,0.13,8.6
13,臺灣高股息指數,"6,642.80",20191212,<p style ='color:red'>+</p>,0.37,24.48
14,臺灣高股息指數,"6,618.32",20191211,<p style ='color:red'>+</p>,0.33,21.46
15,臺灣高股息指數,"6,596.86",20191210,<p style ='color:green'>-</p>,-0.08,5.47
16,臺灣高股息指數,"6,602.33",20191209,<p style ='color:red'>+</p>,0.14,8.99
17,臺灣高股息指數,"6,593.34",20191206,<p style ='color:red'>+</p>,0.16,10.57
18,臺灣高股息指數,"6,582.77",20191205,<p style ='color:red'>+</p>,0.86,56.17
19,臺灣高股息指數,"6,526.60",20191204,<p style ='color:green'>-</p>,-0.19,12.38
20,臺灣高股息指數,"6,538.98",20191203,<p style ='color:red'>+</p>,1.42,91.51
21,臺灣高股息指數,"6,447.47",20191202,<p style ='color:green'>-</p>,-0.21,13.43
22,臺灣高股息指數,"6,460.90",20191129,<p style ='color:green'>-</p>,-1.05,68.47
23,臺灣高股息指數,"6,529.37",20191128,<p style ='color:green'>-</p>,-0.29,18.78
24,臺灣高股息指數,"6,548.15",20191127,<p style ='color:red'>+</p>,0.35,22.96
25,臺灣高股息指數,"6,525.19",20191126,<p style ='color:green'>-</p>,-0.08,5.32
26,臺灣高股息指數,"6,530.51",20191125,<p style ='color:green'>-</p>,-0.4,26.07
27,臺灣高股息指數,"6,556.58",20191122,<p style ='color:red'>+</p>,0.41,26.6
