,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,臺灣高薪100指數,"6,522.21",20191231,<p style ='color:green'>-</p>,-0.51,33.32
1,臺灣高薪100指數,"6,555.53",20191230,<p style ='color:green'>-</p>,-0.43,28.61
2,臺灣高薪100指數,"6,584.14",20191227,<p style ='color:red'>+</p>,0.61,39.82
3,臺灣高薪100指數,"6,544.32",20191226,<p style ='color:green'>-</p>,-0.06,3.61
4,臺灣高薪100指數,"6,547.93",20191225,<p style ='color:red'>+</p>,0.19,12.26
5,臺灣高薪100指數,"6,535.67",20191224,<p style ='color:green'>-</p>,-0.41,27.08
6,臺灣高薪100指數,"6,562.75",20191223,<p style ='color:red'>+</p>,0.37,24.38
7,臺灣高薪100指數,"6,538.37",20191220,<p style ='color:green'>-</p>,-0.42,27.84
8,臺灣高薪100指數,"6,566.21",20191219,<p style ='color:green'>-</p>,-0.58,38.63
9,臺灣高薪100指數,"6,604.84",20191218,<p style ='color:red'>+</p>,0.26,17.06
10,臺灣高薪100指數,"6,587.78",20191217,<p style ='color:red'>+</p>,1.11,72.22
11,臺灣高薪100指數,"6,515.56",20191216,<p style ='color:green'>-</p>,--,0.03
12,臺灣高薪100指數,"6,515.59",20191213,<p style ='color:red'>+</p>,0.78,50.48
13,臺灣高薪100指數,"6,465.11",20191212,<p style ='color:red'>+</p>,0.75,48.38
14,臺灣高薪100指數,"6,416.73",20191211,<p style ='color:red'>+</p>,0.6,38.4
15,臺灣高薪100指數,"6,378.33",20191210,<p style ='color:green'>-</p>,-0.15,9.28
16,臺灣高薪100指數,"6,387.61",20191209,<p style ='color:red'>+</p>,0.33,21.29
17,臺灣高薪100指數,"6,366.32",20191206,<p style ='color:red'>+</p>,0.02,1.44
18,臺灣高薪100指數,"6,364.88",20191205,<p style ='color:red'>+</p>,0.58,36.99
19,臺灣高薪100指數,"6,327.89",20191204,<p style ='color:green'>-</p>,-0.13,7.98
20,臺灣高薪100指數,"6,335.87",20191203,<p style ='color:red'>+</p>,0.45,28.64
21,臺灣高薪100指數,"6,307.23",20191202,<p style ='color:red'>+</p>,0.06,3.54
22,臺灣高薪100指數,"6,303.69",20191129,<p style ='color:green'>-</p>,-1.09,69.61
23,臺灣高薪100指數,"6,373.30",20191128,<p style ='color:green'>-</p>,-0.27,17.38
24,臺灣高薪100指數,"6,390.68",20191127,<p style ='color:red'>+</p>,0.51,32.61
25,臺灣高薪100指數,"6,358.07",20191126,<p style ='color:red'>+</p>,0.02,0.98
26,臺灣高薪100指數,"6,357.09",20191125,<p style ='color:green'>-</p>,-0.06,3.63
27,臺灣高薪100指數,"6,360.72",20191122,<p style ='color:red'>+</p>,0.2,12.67
28,臺灣高薪100指數,"6,348.05",20191121,<p style ='color:green'>-</p>,-0.65,41.48
29,臺灣高薪100指數,"6,389.53",20191120,<p style ='color:green'>-</p>,-0.2,12.52
30,臺灣高薪100指數,"6,402.05",20191119,<p style ='color:red'>+</p>,0.45,28.96
31,臺灣高薪100指數,"6,373.09",20191118,<p style ='color:red'>+</p>,0.76,47.79
32,臺灣高薪100指數,"6,325.30",20191115,<p style ='color:red'>+</p>,0.58,36.38
33,臺灣高薪100指數,"6,288.92",20191114,<p style ='color:green'>-</p>,-0.24,15.1
34,臺灣高薪100指數,"6,304.02",20191113,<p style ='color:green'>-</p>,-0.56,35.42
35,臺灣高薪100指數,"6,339.44",20191112,<p style ='color:red'>+</p>,0.89,55.8
