,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,觀光類指數,96.73,20191122,<p style ='color:green'>-</p>,-0.17,0.16
1,觀光類指數,96.89,20191121,<p style ='color:green'>-</p>,-0.41,0.4
2,觀光類指數,97.29,20191120,<p style ='color:green'>-</p>,-0.6,0.59
3,觀光類指數,97.88,20191119,<p style ='color:green'>-</p>,-0.42,0.41
4,觀光類指數,98.29,20191118,<p style ='color:red'>+</p>,0.07,0.07
5,觀光類指數,98.22,20191115,<p style ='color:red'>+</p>,0.72,0.7
6,觀光類指數,97.52,20191114,<p style ='color:green'>-</p>,-0.69,0.68
7,觀光類指數,98.2,20191113,<p style ='color:green'>-</p>,-0.48,0.47
8,觀光類指數,98.67,20191112,<p style ='color:red'>+</p>,0.52,0.51
9,觀光類指數,98.16,20191111,<p style ='color:green'>-</p>,-1.93,1.93
10,觀光類指數,100.09,20191108,<p style ='color:green'>-</p>,-0.15,0.15
11,觀光類指數,100.24,20191107,<p style ='color:green'>-</p>,-0.56,0.56
12,觀光類指數,100.8,20191106,<p style ='color:red'>+</p>,0.04,0.04
13,觀光類指數,100.76,20191105,<p style ='color:green'>-</p>,-0.08,0.08
14,觀光類指數,100.84,20191104,<p style ='color:red'>+</p>,0.87,0.87
15,觀光類指數,99.97,20191101,<p style ='color:red'>+</p>,0.35,0.35
16,觀光類指數,99.62,20191031,<p style ='color:red'>+</p>,0.17,0.17
17,觀光類指數,99.45,20191030,<p style ='color:green'>-</p>,-0.06,0.06
18,觀光類指數,99.51,20191029,<p style ='color:green'>-</p>,-0.07,0.07
19,觀光類指數,99.58,20191028,<p style ='color:green'>-</p>,-0.12,0.12
20,觀光類指數,99.7,20191025,<p style ='color:green'>-</p>,-0.16,0.16
21,觀光類指數,99.86,20191024,<p style ='color:red'>+</p>,0.77,0.76
22,觀光類指數,99.1,20191023,<p style ='color:green'>-</p>,-0.54,0.54
23,觀光類指數,99.64,20191022,<p style ='color:green'>-</p>,-0.09,0.09
24,觀光類指數,99.73,20191021,<p style ='color:red'>+</p>,0.68,0.67
25,觀光類指數,99.06,20191018,<p style ='color:red'>+</p>,0.46,0.45
26,觀光類指數,98.61,20191017,<p style ='color:green'>-</p>,-0.33,0.33
27,觀光類指數,98.94,20191016,<p style ='color:green'>-</p>,-0.68,0.68
28,觀光類指數,99.62,20191015,<p style ='color:green'>-</p>,-0.02,0.02
29,觀光類指數,99.64,20191014,<p style ='color:red'>+</p>,0.14,0.14
30,觀光類指數,99.5,20191009,<p style ='color:green'>-</p>,-0.46,0.46
31,觀光類指數,99.96,20191008,<p style ='color:red'>+</p>,0.68,0.68
32,觀光類指數,99.28,20191007,<p style ='color:red'>+</p>,0.49,0.48
33,觀光類指數,98.8,20191004,<p style ='color:green'>-</p>,-0.34,0.34
34,觀光類指數,99.14,20191003,<p style ='color:red'>+</p>,0.1,0.1
35,觀光類指數,99.04,20191002,<p style ='color:green'>-</p>,-0.31,0.31
36,觀光類指數,99.35,20191001,<p style ='color:green'>-</p>,-0.58,0.58
37,觀光類指數,99.93,20190927,<p style ='color:green'>-</p>,-1.03,1.04
38,觀光類指數,100.97,20190926,<p style ='color:green'>-</p>,-0.6,0.61
39,觀光類指數,101.58,20190925,<p style ='color:green'>-</p>,-0.05,0.05
40,觀光類指數,101.63,20190924,<p style ='color:red'>+</p>,0.46,0.47
41,觀光類指數,101.16,20190923,<p style ='color:green'>-</p>,-0.07,0.07
42,觀光類指數,101.23,20190920,<p style ='color:red'>+</p>,1.81,1.8
43,觀光類指數,99.43,20190919,<p style ='color:green'>-</p>,-0.26,0.26
44,觀光類指數,99.69,20190918,<p style ='color:red'>+</p>,0.58,0.57
45,觀光類指數,99.12,20190917,<p style ='color:red'>+</p>,0.52,0.51
46,觀光類指數,98.61,20190916,<p style ='color:green'>-</p>,-0.39,0.39
47,觀光類指數,99.0,20190912,<p style ='color:red'>+</p>,0.39,0.38
48,觀光類指數,98.62,20190911,<p style ='color:green'>-</p>,-1.32,1.32
49,觀光類指數,99.94,20190910,<p style ='color:red'>+</p>,0.21,0.21
50,觀光類指數,99.73,20190909,<p style ='color:green'>-</p>,-0.47,0.47
51,觀光類指數,100.2,20190906,<p style ='color:green'>-</p>,-0.44,0.44
52,觀光類指數,100.64,20190905,<p style ='color:green'>-</p>,-0.69,0.7
53,觀光類指數,101.34,20190904,<p style ='color:green'>-</p>,-0.02,0.02
54,觀光類指數,101.36,20190903,<p style ='color:red'>+</p>,0.1,0.1
55,觀光類指數,101.26,20190902,<p style ='color:red'>+</p>,1.31,1.31
56,觀光類指數,99.95,20190830,<p style ='color:red'>+</p>,1.18,1.17
57,觀光類指數,98.78,20190829,<p style ='color:red'>+</p>,0.81,0.79
58,觀光類指數,97.99,20190828,<p style ='color:red'>+</p>,0.18,0.18
59,觀光類指數,97.81,20190827,<p style ='color:red'>+</p>,0.61,0.59
60,觀光類指數,97.22,20190826,<p style ='color:green'>-</p>,-1.22,1.2
61,觀光類指數,98.42,20190823,<p style ='color:green'>-</p>,-1.58,1.58
62,觀光類指數,100.0,20190822,<p style ='color:red'>+</p>,0.02,0.02
63,觀光類指數,99.98,20190821,<p style ='color:red'>+</p>,0.35,0.35
64,觀光類指數,99.63,20190820,<p style ='color:red'>+</p>,0.78,0.77
65,觀光類指數,98.86,20190819,<p style ='color:green'>-</p>,-0.12,0.12
66,觀光類指數,98.98,20190816,<p style ='color:green'>-</p>,-0.25,0.25
67,觀光類指數,99.23,20190815,<p style ='color:green'>-</p>,-2.07,2.1
