,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,貿易百貨類指數,255.00,20191122,<p style ='color:red'>+</p>,0.85,2.16
1,貿易百貨類指數,252.84,20191121,<p style ='color:green'>-</p>,-1.16,2.98
2,貿易百貨類指數,255.82,20191120,<p style ='color:red'>+</p>,0.05,0.13
3,貿易百貨類指數,255.69,20191119,<p style ='color:red'>+</p>,0.66,1.68
4,貿易百貨類指數,254.01,20191118,<p style ='color:red'>+</p>,0.17,0.42
5,貿易百貨類指數,253.59,20191115,<p style ='color:red'>+</p>,0.83,2.08
6,貿易百貨類指數,251.51,20191114,<p style ='color:red'>+</p>,0.2,0.51
7,貿易百貨類指數,251.0,20191113,<p style ='color:green'>-</p>,-0.08,0.19
8,貿易百貨類指數,251.19,20191112,<p style ='color:green'>-</p>,-0.31,0.79
9,貿易百貨類指數,251.98,20191111,<p style ='color:green'>-</p>,-0.39,0.99
10,貿易百貨類指數,252.97,20191108,<p style ='color:green'>-</p>,-0.29,0.74
11,貿易百貨類指數,253.71,20191107,<p style ='color:red'>+</p>,0.58,1.47
12,貿易百貨類指數,252.24,20191106,<p style ='color:red'>+</p>,0.09,0.23
13,貿易百貨類指數,252.01,20191105,<p style ='color:red'>+</p>,0.63,1.57
14,貿易百貨類指數,250.44,20191104,<p style ='color:red'>+</p>,0.91,2.27
15,貿易百貨類指數,248.17,20191101,<p style ='color:green'>-</p>,-0.08,0.19
16,貿易百貨類指數,248.36,20191031,<p style ='color:green'>-</p>,-0.2,0.51
17,貿易百貨類指數,248.87,20191030,<p style ='color:red'>+</p>,0.75,1.85
18,貿易百貨類指數,247.02,20191029,<p style ='color:green'>-</p>,-0.02,0.04
19,貿易百貨類指數,247.06,20191028,<p style ='color:green'>-</p>,-0.37,0.92
20,貿易百貨類指數,247.98,20191025,<p style ='color:green'>-</p>,-0.43,1.08
21,貿易百貨類指數,249.06,20191024,<p style ='color:red'>+</p>,0.46,1.14
22,貿易百貨類指數,247.92,20191023,<p style ='color:green'>-</p>,-0.92,2.3
23,貿易百貨類指數,250.22,20191022,<p style ='color:red'>+</p>,2.18,5.33
24,貿易百貨類指數,244.89,20191021,<p style ='color:red'>+</p>,0.83,2.02
25,貿易百貨類指數,242.87,20191018,<p style ='color:red'>+</p>,0.42,1.02
26,貿易百貨類指數,241.85,20191017,<p style ='color:red'>+</p>,0.11,0.26
27,貿易百貨類指數,241.59,20191016,<p style ='color:red'>+</p>,0.63,1.52
28,貿易百貨類指數,240.07,20191015,<p style ='color:red'>+</p>,0.65,1.55
29,貿易百貨類指數,238.52,20191014,<p style ='color:red'>+</p>,1.02,2.42
30,貿易百貨類指數,236.1,20191009,<p style ='color:green'>-</p>,-0.94,2.23
31,貿易百貨類指數,238.33,20191008,<p style ='color:red'>+</p>,0.65,1.54
32,貿易百貨類指數,236.79,20191007,<p style ='color:red'>+</p>,0.19,0.46
33,貿易百貨類指數,236.33,20191004,<p style ='color:red'>+</p>,0.14,0.32
34,貿易百貨類指數,236.01,20191003,<p style ='color:green'>-</p>,-0.16,0.37
35,貿易百貨類指數,236.38,20191002,<p style ='color:green'>-</p>,-0.19,0.45
36,貿易百貨類指數,236.83,20191001,<p style ='color:green'>-</p>,-0.43,1.03
37,貿易百貨類指數,237.86,20190927,<p style ='color:green'>-</p>,-0.63,1.5
38,貿易百貨類指數,239.36,20190926,<p style ='color:green'>-</p>,-0.7,1.69
39,貿易百貨類指數,241.05,20190925,<p style ='color:green'>-</p>,-0.14,0.34
40,貿易百貨類指數,241.39,20190924,<p style ='color:green'>-</p>,-0.1,0.23
41,貿易百貨類指數,241.62,20190923,<p style ='color:green'>-</p>,-0.57,1.38
42,貿易百貨類指數,243.0,20190920,<p style ='color:red'>+</p>,0.15,0.36
43,貿易百貨類指數,242.64,20190919,<p style ='color:green'>-</p>,-0.31,0.75
44,貿易百貨類指數,243.39,20190918,<p style ='color:red'>+</p>,0.05,0.11
45,貿易百貨類指數,243.28,20190917,<p style ='color:red'>+</p>,0.18,0.43
46,貿易百貨類指數,242.85,20190916,<p style ='color:red'>+</p>,0.14,0.34
47,貿易百貨類指數,242.51,20190912,<p style ='color:green'>-</p>,-0.09,0.21
48,貿易百貨類指數,242.72,20190911,<p style ='color:red'>+</p>,0.57,1.37
49,貿易百貨類指數,241.35,20190910,<p style ='color:green'>-</p>,-0.02,0.06
50,貿易百貨類指數,241.41,20190909,<p style ='color:green'>-</p>,-0.05,0.12
51,貿易百貨類指數,241.53,20190906,<p style ='color:red'>+</p>,0.91,2.18
52,貿易百貨類指數,239.35,20190905,<p style ='color:red'>+</p>,0.1,0.24
53,貿易百貨類指數,239.11,20190904,<p style ='color:red'>+</p>,1.65,3.87
54,貿易百貨類指數,235.24,20190903,<p style ='color:green'>-</p>,-1.61,3.86
55,貿易百貨類指數,239.1,20190902,<p style ='color:red'>+</p>,0.23,0.54
56,貿易百貨類指數,238.56,20190830,<p style ='color:red'>+</p>,0.98,2.32
57,貿易百貨類指數,236.24,20190829,<p style ='color:red'>+</p>,1.07,2.5
58,貿易百貨類指數,233.74,20190828,<p style ='color:green'>-</p>,-0.12,0.29
59,貿易百貨類指數,234.03,20190827,<p style ='color:green'>-</p>,-0.29,0.67
60,貿易百貨類指數,234.7,20190826,<p style ='color:green'>-</p>,-1.19,2.82
61,貿易百貨類指數,237.52,20190823,<p style ='color:green'>-</p>,-0.3,0.71
62,貿易百貨類指數,238.23,20190822,<p style ='color:red'>+</p>,0.32,0.75
63,貿易百貨類指數,237.48,20190821,<p style ='color:green'>-</p>,-0.05,0.13
64,貿易百貨類指數,237.61,20190820,<p style ='color:red'>+</p>,0.22,0.52
65,貿易百貨類指數,237.09,20190819,<p style ='color:green'>-</p>,-0.25,0.6
66,貿易百貨類指數,237.69,20190816,<p style ='color:red'>+</p>,0.73,1.73
67,貿易百貨類指數,235.96,20190815,<p style ='color:green'>-</p>,-0.25,0.6
