,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,資訊服務類指數,117.94,20191231,<p style ='color:red'>+</p>,0.20,0.23
1,資訊服務類指數,117.71,20191230,<p style ='color:green'>-</p>,-0.25,0.29
2,資訊服務類指數,118.0,20191227,<p style ='color:red'>+</p>,0.27,0.32
3,資訊服務類指數,117.68,20191226,<p style ='color:green'>-</p>,-0.08,0.09
4,資訊服務類指數,117.77,20191225,<p style ='color:red'>+</p>,0.55,0.65
5,資訊服務類指數,117.12,20191224,<p style ='color:red'>+</p>,0.28,0.33
6,資訊服務類指數,116.79,20191223,<p style ='color:green'>-</p>,-0.29,0.34
7,資訊服務類指數,117.13,20191220,<p style ='color:red'>+</p>,0.02,0.02
8,資訊服務類指數,117.11,20191219,<p style ='color:green'>-</p>,-0.42,0.49
9,資訊服務類指數,117.6,20191218,<p style ='color:green'>-</p>,-0.55,0.65
10,資訊服務類指數,118.25,20191217,<p style ='color:red'>+</p>,0.38,0.45
11,資訊服務類指數,117.8,20191216,<p style ='color:green'>-</p>,-0.03,0.03
12,資訊服務類指數,117.83,20191213,<p style ='color:red'>+</p>,0.08,0.1
13,資訊服務類指數,117.73,20191212,<p style ='color:green'>-</p>,-0.05,0.06
14,資訊服務類指數,117.79,20191211,<p style ='color:red'>+</p>,0.68,0.79
15,資訊服務類指數,117.0,20191210,<p style ='color:green'>-</p>,-0.18,0.21
16,資訊服務類指數,117.21,20191209,<p style ='color:green'>-</p>,-0.28,0.33
17,資訊服務類指數,117.54,20191206,<p style ='color:red'>+</p>,0.44,0.51
18,資訊服務類指數,117.03,20191205,<p style ='color:red'>+</p>,0.42,0.49
19,資訊服務類指數,116.54,20191204,<p style ='color:red'>+</p>,0.29,0.34
20,資訊服務類指數,116.2,20191203,<p style ='color:green'>-</p>,-0.03,0.04
21,資訊服務類指數,116.24,20191202,<p style ='color:green'>-</p>,-0.28,0.33
22,資訊服務類指數,116.57,20191129,<p style ='color:green'>-</p>,-1.2,1.41
23,資訊服務類指數,117.98,20191128,<p style ='color:green'>-</p>,-0.85,1.01
24,資訊服務類指數,118.99,20191127,<p style ='color:red'>+</p>,0.2,0.24
25,資訊服務類指數,118.75,20191126,<p style ='color:red'>+</p>,0.46,0.54
26,資訊服務類指數,118.21,20191125,<p style ='color:green'>-</p>,-0.13,0.15
27,資訊服務類指數,118.36,20191122,<p style ='color:green'>-</p>,-0.04,0.05
28,資訊服務類指數,118.41,20191121,<p style ='color:red'>+</p>,0.27,0.32
29,資訊服務類指數,118.09,20191120,<p style ='color:green'>-</p>,-0.14,0.17
30,資訊服務類指數,118.26,20191119,<p style ='color:red'>+</p>,0.75,0.88
31,資訊服務類指數,117.38,20191118,<p style ='color:green'>-</p>,-0.14,0.16
32,資訊服務類指數,117.54,20191115,<p style ='color:green'>-</p>,-0.04,0.05
33,資訊服務類指數,117.59,20191114,<p style ='color:green'>-</p>,-0.28,0.33
34,資訊服務類指數,117.92,20191113,<p style ='color:green'>-</p>,-0.57,0.68
35,資訊服務類指數,118.6,20191112,<p style ='color:red'>+</p>,0.74,0.87
36,資訊服務類指數,117.73,20191111,<p style ='color:green'>-</p>,-1.11,1.32
37,資訊服務類指數,119.05,20191108,<p style ='color:green'>-</p>,-0.82,0.98
38,資訊服務類指數,120.03,20191107,<p style ='color:green'>-</p>,-0.76,0.92
39,資訊服務類指數,120.95,20191106,<p style ='color:red'>+</p>,1.2,1.43
40,資訊服務類指數,119.52,20191105,<p style ='color:red'>+</p>,0.38,0.45
41,資訊服務類指數,119.07,20191104,<p style ='color:red'>+</p>,1.11,1.31
42,資訊服務類指數,117.76,20191101,<p style ='color:red'>+</p>,1.58,1.83
43,資訊服務類指數,115.93,20191031,<p style ='color:green'>-</p>,-0.54,0.63
44,資訊服務類指數,116.56,20191030,<p style ='color:red'>+</p>,0.78,0.9
45,資訊服務類指數,115.66,20191029,<p style ='color:green'>-</p>,-1.04,1.22
46,資訊服務類指數,116.88,20191028,<p style ='color:green'>-</p>,-0.08,0.09
47,資訊服務類指數,116.97,20191025,<p style ='color:green'>-</p>,-0.42,0.49
48,資訊服務類指數,117.46,20191024,<p style ='color:red'>+</p>,0.37,0.43
49,資訊服務類指數,117.03,20191023,<p style ='color:green'>-</p>,-0.68,0.8
50,資訊服務類指數,117.83,20191022,<p style ='color:red'>+</p>,0.08,0.1
51,資訊服務類指數,117.73,20191021,<p style ='color:green'>-</p>,-0.05,0.06
52,資訊服務類指數,117.79,20191018,<p style ='color:red'>+</p>,0.62,0.72
53,資訊服務類指數,117.07,20191017,<p style ='color:red'>+</p>,0.07,0.08
54,資訊服務類指數,116.99,20191016,<p style ='color:green'>-</p>,-0.03,0.04
55,資訊服務類指數,117.03,20191015,<p style ='color:green'>-</p>,-0.03,0.04
56,資訊服務類指數,117.07,20191014,<p style ='color:red'>+</p>,0.49,0.57
57,資訊服務類指數,116.5,20191009,<p style ='color:green'>-</p>,-0.12,0.14
58,資訊服務類指數,116.64,20191008,<p style ='color:green'>-</p>,-0.16,0.19
59,資訊服務類指數,116.83,20191007,<p style ='color:green'>-</p>,-1.54,1.83
60,資訊服務類指數,118.66,20191004,<p style ='color:red'>+</p>,0.14,0.16
61,資訊服務類指數,118.5,20191003,<p style ='color:red'>+</p>,0.15,0.18
62,資訊服務類指數,118.32,20191002,<p style ='color:green'>-</p>,-0.2,0.24
63,資訊服務類指數,118.56,20191001,<p style ='color:red'>+</p>,0.1,0.12
64,資訊服務類指數,118.44,20190927,<p style ='color:green'>-</p>,-0.44,0.52
65,資訊服務類指數,118.96,20190926,<p style ='color:green'>-</p>,-0.47,0.56
66,資訊服務類指數,119.52,20190925,<p style ='color:green'>-</p>,-0.54,0.65
67,資訊服務類指數,120.17,20190924,<p style ='color:red'>+</p>,0.02,0.03
68,資訊服務類指數,120.14,20190923,<p style ='color:red'>+</p>,0.65,0.78
69,資訊服務類指數,119.36,20190920,<p style ='color:red'>+</p>,0.15,0.18
70,資訊服務類指數,119.18,20190919,<p style ='color:red'>+</p>,1.33,1.56
71,資訊服務類指數,117.62,20190918,<p style ='color:red'>+</p>,0.87,1.02
72,資訊服務類指數,116.6,20190917,<p style ='color:red'>+</p>,0.23,0.27
73,資訊服務類指數,116.33,20190916,<p style ='color:green'>-</p>,-0.19,0.22
74,資訊服務類指數,116.55,20190912,<p style ='color:green'>-</p>,-0.73,0.86
75,資訊服務類指數,117.41,20190911,<p style ='color:red'>+</p>,0.48,0.56
76,資訊服務類指數,116.85,20190910,<p style ='color:green'>-</p>,-0.42,0.49
77,資訊服務類指數,117.34,20190909,<p style ='color:green'>-</p>,-0.11,0.13
78,資訊服務類指數,117.47,20190906,<p style ='color:green'>-</p>,-1.03,1.22
79,資訊服務類指數,118.69,20190905,<p style ='color:green'>-</p>,-0.34,0.4
80,資訊服務類指數,119.09,20190904,<p style ='color:red'>+</p>,0.8,0.94
81,資訊服務類指數,118.15,20190903,<p style ='color:red'>+</p>,0.44,0.52
82,資訊服務類指數,117.63,20190902,<p style ='color:red'>+</p>,1.06,1.23
83,資訊服務類指數,116.4,20190830,<p style ='color:red'>+</p>,0.58,0.67
84,資訊服務類指數,115.73,20190829,<p style ='color:green'>-</p>,-0.18,0.21
85,資訊服務類指數,115.94,20190828,<p style ='color:green'>-</p>,-0.08,0.09
86,資訊服務類指數,116.03,20190827,<p style ='color:red'>+</p>,1.65,1.88
87,資訊服務類指數,114.15,20190826,<p style ='color:green'>-</p>,-0.97,1.12
88,資訊服務類指數,115.27,20190823,<p style ='color:red'>+</p>,0.71,0.81
89,資訊服務類指數,114.46,20190822,<p style ='color:red'>+</p>,0.09,0.1
90,資訊服務類指數,114.36,20190821,<p style ='color:red'>+</p>,0.23,0.26
91,資訊服務類指數,114.1,20190820,<p style ='color:red'>+</p>,0.06,0.07
92,資訊服務類指數,114.03,20190819,<p style ='color:green'>-</p>,-0.63,0.72
