,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,通信網路類指數,127.04,20191231,<p style ='color:green'>-</p>,-0.72,0.92
1,通信網路類指數,127.96,20191230,<p style ='color:green'>-</p>,-0.23,0.30
2,通信網路類指數,128.26,20191227,<p style ='color:red'>+</p>,0.49,0.62
3,通信網路類指數,127.64,20191226,<p style ='color:red'>+</p>,0.10,0.13
4,通信網路類指數,127.51,20191225,<p style ='color:red'>+</p>,0.25,0.32
5,通信網路類指數,127.19,20191224,<p style ='color:green'>-</p>,-0.83,1.07
6,通信網路類指數,128.26,20191223,<p style ='color:red'>+</p>,0.22,0.28
7,通信網路類指數,127.98,20191220,<p style ='color:red'>+</p>,0.68,0.87
8,通信網路類指數,127.11,20191219,<p style ='color:green'>-</p>,-0.36,0.46
9,通信網路類指數,127.57,20191218,<p style ='color:red'>+</p>,0.13,0.16
10,通信網路類指數,127.41,20191217,<p style ='color:red'>+</p>,0.15,0.19
11,通信網路類指數,127.22,20191216,<p style ='color:green'>-</p>,-0.59,0.75
12,通信網路類指數,127.97,20191213,<p style ='color:red'>+</p>,0.13,0.16
13,通信網路類指數,127.81,20191212,<p style ='color:red'>+</p>,0.46,0.59
14,通信網路類指數,127.22,20191211,<p style ='color:green'>-</p>,-0.17,0.22
15,通信網路類指數,127.44,20191210,<p style ='color:green'>-</p>,-0.34,0.43
16,通信網路類指數,127.87,20191209,<p style ='color:green'>-</p>,-0.20,0.26
17,通信網路類指數,128.13,20191206,<p style ='color:green'>-</p>,-0.57,0.74
18,通信網路類指數,128.87,20191205,<p style ='color:red'>+</p>,0.41,0.52
19,通信網路類指數,128.35,20191204,<p style ='color:green'>-</p>,-0.12,0.16
20,通信網路類指數,128.51,20191203,<p style ='color:red'>+</p>,0.05,0.07
21,通信網路類指數,128.44,20191202,<p style ='color:green'>-</p>,-0.04,0.05
22,通信網路類指數,128.49,20191129,<p style ='color:green'>-</p>,-0.01,0.01
23,通信網路類指數,128.5,20191128,<p style ='color:green'>-</p>,-0.61,0.79
24,通信網路類指數,129.29,20191127,<p style ='color:red'>+</p>,0.19,0.25
25,通信網路類指數,129.04,20191126,<p style ='color:green'>-</p>,-0.78,1.02
26,通信網路類指數,130.06,20191125,<p style ='color:red'>+</p>,0.04,0.05
27,通信網路類指數,130.01,20191122,<p style ='color:red'>+</p>,0.84,1.08
28,通信網路類指數,128.93,20191121,<p style ='color:green'>-</p>,-0.63,0.82
29,通信網路類指數,129.75,20191120,<p style ='color:red'>+</p>,0.63,0.81
30,通信網路類指數,128.94,20191119,<p style ='color:green'>-</p>,-0.22,0.28
31,通信網路類指數,129.22,20191118,<p style ='color:green'>-</p>,-0.11,0.14
32,通信網路類指數,129.36,20191115,<p style ='color:red'>+</p>,0.27,0.35
33,通信網路類指數,129.01,20191114,<p style ='color:red'>+</p>,0.33,0.42
34,通信網路類指數,128.59,20191113,<p style ='color:green'>-</p>,-0.72,0.93
35,通信網路類指數,129.52,20191112,<p style ='color:green'>-</p>,-0.13,0.17
36,通信網路類指數,129.69,20191111,<p style ='color:green'>-</p>,-0.06,0.08
37,通信網路類指數,129.77,20191108,<p style ='color:red'>+</p>,0.51,0.66
38,通信網路類指數,129.11,20191107,<p style ='color:green'>-</p>,-0.30,0.39
39,通信網路類指數,129.5,20191106,<p style ='color:red'>+</p>,0.23,0.30
40,通信網路類指數,129.2,20191105,<p style ='color:red'>+</p>,0.34,0.44
41,通信網路類指數,128.76,20191104,<p style ='color:red'>+</p>,0.19,0.25
42,通信網路類指數,128.51,20191101,<p style ='color:red'>+</p>,0.41,0.53
43,通信網路類指數,127.98,20191031,<p style ='color:green'>-</p>,-0.80,1.03
44,通信網路類指數,129.01,20191030,<p style ='color:red'>+</p>,0.35,0.45
45,通信網路類指數,128.56,20191029,<p style ='color:green'>-</p>,-0.64,0.83
