,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,造紙類指數,195.43,20191231,<p style ='color:red'>+</p>,0.33,0.64
1,造紙類指數,194.79,20191230,<p style ='color:red'>+</p>,0.06,0.12
2,造紙類指數,194.67,20191227,<p style ='color:red'>+</p>,0.11,0.21
3,造紙類指數,194.46,20191226,<p style ='color:red'>+</p>,1.39,2.67
4,造紙類指數,191.79,20191225,<p style ='color:red'>+</p>,0.23,0.44
5,造紙類指數,191.35,20191224,<p style ='color:green'>-</p>,-0.62,1.2
6,造紙類指數,192.55,20191223,<p style ='color:red'>+</p>,0.4,0.76
7,造紙類指數,191.79,20191220,<p style ='color:green'>-</p>,-1.46,2.85
8,造紙類指數,194.64,20191219,<p style ='color:green'>-</p>,-0.15,0.29
9,造紙類指數,194.93,20191218,<p style ='color:red'>+</p>,1.2,2.32
10,造紙類指數,192.61,20191217,<p style ='color:red'>+</p>,0.59,1.13
11,造紙類指數,191.48,20191216,<p style ='color:red'>+</p>,1.01,1.92
12,造紙類指數,189.56,20191213,<p style ='color:red'>+</p>,0.57,1.08
13,造紙類指數,188.48,20191212,<p style ='color:red'>+</p>,0.18,0.34
14,造紙類指數,188.14,20191211,<p style ='color:red'>+</p>,0.04,0.08
15,造紙類指數,188.06,20191210,<p style ='color:red'>+</p>,0.47,0.88
16,造紙類指數,187.18,20191209,<p style ='color:red'>+</p>,0.85,1.57
17,造紙類指數,185.61,20191206,<p style ='color:red'>+</p>,0.59,1.09
18,造紙類指數,184.52,20191205,<p style ='color:green'>-</p>,-0.04,0.08
19,造紙類指數,184.6,20191204,<p style ='color:red'>+</p>,0.02,0.04
20,造紙類指數,184.56,20191203,<p style ='color:red'>+</p>,0.02,0.03
21,造紙類指數,184.53,20191202,<p style ='color:green'>-</p>,-0.56,1.03
22,造紙類指數,185.56,20191129,<p style ='color:green'>-</p>,-0.43,0.8
23,造紙類指數,186.36,20191128,<p style ='color:green'>-</p>,-0.7,1.31
24,造紙類指數,187.67,20191127,<p style ='color:red'>+</p>,0.38,0.71
25,造紙類指數,186.96,20191126,<p style ='color:green'>-</p>,-0.1,0.18
26,造紙類指數,187.14,20191125,<p style ='color:red'>+</p>,1.07,1.99
27,造紙類指數,185.15,20191122,<p style ='color:green'>-</p>,-0.27,0.5
28,造紙類指數,185.65,20191121,<p style ='color:green'>-</p>,-0.33,0.62
29,造紙類指數,186.27,20191120,<p style ='color:red'>+</p>,0.48,0.89
30,造紙類指數,185.38,20191119,<p style ='color:red'>+</p>,0.25,0.46
31,造紙類指數,184.92,20191118,<p style ='color:red'>+</p>,0.09,0.17
32,造紙類指數,184.75,20191115,<p style ='color:red'>+</p>,1.22,2.23
33,造紙類指數,182.52,20191114,<p style ='color:red'>+</p>,0.25,0.45
34,造紙類指數,182.07,20191113,<p style ='color:green'>-</p>,-0.08,0.15
35,造紙類指數,182.22,20191112,<p style ='color:green'>-</p>,-0.27,0.49
36,造紙類指數,182.71,20191111,<p style ='color:green'>-</p>,-0.8,1.48
37,造紙類指數,184.19,20191108,<p style ='color:green'>-</p>,-0.43,0.79
38,造紙類指數,184.98,20191107,<p style ='color:red'>+</p>,0.36,0.67
39,造紙類指數,184.31,20191106,<p style ='color:green'>-</p>,-0.64,1.19
40,造紙類指數,185.5,20191105,<p style ='color:red'>+</p>,0.11,0.21
41,造紙類指數,185.29,20191104,<p style ='color:red'>+</p>,0.55,1.01
42,造紙類指數,184.28,20191101,<p style ='color:red'>+</p>,0.23,0.42
43,造紙類指數,183.86,20191031,<p style ='color:green'>-</p>,-0.29,0.54
44,造紙類指數,184.4,20191030,<p style ='color:red'>+</p>,0.1,0.18
45,造紙類指數,184.22,20191029,<p style ='color:green'>-</p>,-0.51,0.95
46,造紙類指數,185.17,20191028,<p style ='color:green'>-</p>,-0.06,0.12
47,造紙類指數,185.29,20191025,<p style ='color:red'>+</p>,0.09,0.17
48,造紙類指數,185.12,20191024,<p style ='color:red'>+</p>,0.43,0.8
49,造紙類指數,184.32,20191023,<p style ='color:green'>-</p>,-0.57,1.05
50,造紙類指數,185.37,20191022,<p style ='color:red'>+</p>,0.08,0.15
51,造紙類指數,185.22,20191021,<p style ='color:red'>+</p>,1.8,3.28
52,造紙類指數,181.94,20191018,<p style ='color:green'>-</p>,-0.93,1.71
53,造紙類指數,183.65,20191017,<p style ='color:red'>+</p>,0.34,0.63
54,造紙類指數,183.02,20191016,<p style ='color:red'>+</p>,0.46,0.84
55,造紙類指數,182.18,20191015,<p style ='color:red'>+</p>,0.02,0.04
