,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,金融保險類指數,"1,341.85",20191122,<p style ='color:red'>+</p>,0.28,3.70
1,金融保險類指數,"1,338.15",20191121,<p style ='color:green'>-</p>,-0.74,9.98
2,金融保險類指數,"1,348.13",20191120,<p style ='color:green'>-</p>,-0.17,2.28
3,金融保險類指數,"1,350.41",20191119,<p style ='color:red'>+</p>,0.05,0.72
4,金融保險類指數,"1,349.69",20191118,<p style ='color:red'>+</p>,0.58,7.78
5,金融保險類指數,"1,341.91",20191115,<p style ='color:red'>+</p>,0.41,5.44
6,金融保險類指數,"1,336.47",20191114,<p style ='color:green'>-</p>,-0.34,4.5
7,金融保險類指數,"1,340.97",20191113,<p style ='color:green'>-</p>,-0.51,6.93
8,金融保險類指數,"1,347.90",20191112,<p style ='color:red'>+</p>,0.55,7.34
9,金融保險類指數,"1,340.56",20191111,<p style ='color:green'>-</p>,-0.85,11.51
10,金融保險類指數,"1,352.07",20191108,<p style ='color:green'>-</p>,-0.01,0.09
11,金融保險類指數,"1,352.16",20191107,<p style ='color:green'>-</p>,-0.21,2.88
12,金融保險類指數,"1,355.04",20191106,<p style ='color:red'>+</p>,1.2,16.08
13,金融保險類指數,"1,338.96",20191105,<p style ='color:red'>+</p>,0.61,8.08
14,金融保險類指數,"1,330.88",20191104,<p style ='color:red'>+</p>,0.94,12.34
15,金融保險類指數,"1,318.54",20191101,<p style ='color:green'>-</p>,-0.08,1.02
16,金融保險類指數,"1,319.56",20191031,<p style ='color:green'>-</p>,-0.12,1.59
17,金融保險類指數,"1,321.15",20191030,<p style ='color:red'>+</p>,0.4,5.22
18,金融保險類指數,"1,315.93",20191029,<p style ='color:red'>+</p>,0.15,2.02
19,金融保險類指數,"1,313.91",20191028,<p style ='color:red'>+</p>,0.09,1.21
20,金融保險類指數,"1,312.70",20191025,<p style ='color:green'>-</p>,-0.05,0.62
21,金融保險類指數,"1,313.32",20191024,<p style ='color:red'>+</p>,0.8,10.4
