,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,鋼鐵類指數,102.06,20191231,<p style ='color:green'>-</p>,-0.02,0.02
1,鋼鐵類指數,102.08,20191230,<p style ='color:red'>+</p>,0.3,0.31
2,鋼鐵類指數,101.77,20191227,<p style ='color:red'>+</p>,0.27,0.27
3,鋼鐵類指數,101.5,20191226,<p style ='color:red'>+</p>,0.13,0.13
4,鋼鐵類指數,101.37,20191225,<p style ='color:green'>-</p>,-0.23,0.23
5,鋼鐵類指數,101.6,20191224,<p style ='color:green'>-</p>,-0.06,0.06
6,鋼鐵類指數,101.66,20191223,<p style ='color:red'>+</p>,0.97,0.98
7,鋼鐵類指數,100.68,20191220,<p style ='color:green'>-</p>,-0.34,0.34
8,鋼鐵類指數,101.02,20191219,<p style ='color:green'>-</p>,-0.59,0.6
9,鋼鐵類指數,101.62,20191218,<p style ='color:red'>+</p>,0.59,0.6
10,鋼鐵類指數,101.02,20191217,<p style ='color:red'>+</p>,0.85,0.85
11,鋼鐵類指數,100.17,20191216,<p style ='color:green'>-</p>,-0.19,0.19
12,鋼鐵類指數,100.36,20191213,<p style ='color:red'>+</p>,0.94,0.93
13,鋼鐵類指數,99.43,20191212,<p style ='color:green'>-</p>,-0.01,0.01
14,鋼鐵類指數,99.44,20191211,<p style ='color:red'>+</p>,0.06,0.06
15,鋼鐵類指數,99.38,20191210,<p style ='color:green'>-</p>,-0.12,0.12
16,鋼鐵類指數,99.5,20191209,<p style ='color:green'>-</p>,-0.07,0.07
17,鋼鐵類指數,99.57,20191206,<p style ='color:green'>-</p>,-0.05,0.05
18,鋼鐵類指數,99.62,20191205,<p style ='color:green'>-</p>,-0.42,0.42
19,鋼鐵類指數,100.04,20191204,<p style ='color:red'>+</p>,0.14,0.14
20,鋼鐵類指數,99.9,20191203,<p style ='color:red'>+</p>,0.81,0.8
21,鋼鐵類指數,99.1,20191202,<p style ='color:green'>-</p>,-0.24,0.24
22,鋼鐵類指數,99.34,20191129,<p style ='color:green'>-</p>,-1.05,1.05
23,鋼鐵類指數,100.39,20191128,<p style ='color:red'>+</p>,0.01,0.01
24,鋼鐵類指數,100.38,20191127,<p style ='color:red'>+</p>,0.14,0.14
25,鋼鐵類指數,100.24,20191126,<p style ='color:red'>+</p>,0.66,0.66
26,鋼鐵類指數,99.58,20191125,<p style ='color:red'>+</p>,0.22,0.22
27,鋼鐵類指數,99.36,20191122,<p style ='color:red'>+</p>,0.14,0.14
28,鋼鐵類指數,99.22,20191121,<p style ='color:green'>-</p>,-0.47,0.47
29,鋼鐵類指數,99.69,20191120,<p style ='color:red'>+</p>,0.16,0.16
30,鋼鐵類指數,99.53,20191119,<p style ='color:red'>+</p>,0.26,0.26
31,鋼鐵類指數,99.27,20191118,<p style ='color:red'>+</p>,0.76,0.75
32,鋼鐵類指數,98.52,20191115,<p style ='color:green'>-</p>,-0.04,0.04
33,鋼鐵類指數,98.56,20191114,<p style ='color:green'>-</p>,-0.84,0.83
34,鋼鐵類指數,99.39,20191113,<p style ='color:green'>-</p>,-1.61,1.63
35,鋼鐵類指數,101.02,20191112,<p style ='color:green'>-</p>,-0.05,0.05
36,鋼鐵類指數,101.07,20191111,<p style ='color:green'>-</p>,-0.46,0.47
37,鋼鐵類指數,101.54,20191108,<p style ='color:red'>+</p>,0.25,0.25
38,鋼鐵類指數,101.29,20191107,<p style ='color:red'>+</p>,0.27,0.27
39,鋼鐵類指數,101.02,20191106,<p style ='color:green'>-</p>,-0.53,0.54
40,鋼鐵類指數,101.56,20191105,<p style ='color:red'>+</p>,1.12,1.12
41,鋼鐵類指數,100.44,20191104,<p style ='color:red'>+</p>,0.14,0.14
42,鋼鐵類指數,100.3,20191101,<p style ='color:red'>+</p>,0.25,0.25
43,鋼鐵類指數,100.05,20191031,<p style ='color:green'>-</p>,-0.09,0.09
44,鋼鐵類指數,100.14,20191030,<p style ='color:red'>+</p>,0.17,0.17
45,鋼鐵類指數,99.97,20191029,<p style ='color:red'>+</p>,0.02,0.02
46,鋼鐵類指數,99.95,20191028,<p style ='color:green'>-</p>,-0.23,0.23
47,鋼鐵類指數,100.18,20191025,<p style ='color:green'>-</p>,-0.37,0.37
48,鋼鐵類指數,100.55,20191024,<p style ='color:red'>+</p>,0.38,0.38
49,鋼鐵類指數,100.17,20191023,<p style ='color:green'>-</p>,-0.03,0.03
50,鋼鐵類指數,100.2,20191022,<p style ='color:red'>+</p>,0.17,0.17
51,鋼鐵類指數,100.03,20191021,<p style ='color:red'>+</p>,0.23,0.23
52,鋼鐵類指數,99.8,20191018,<p style ='color:green'>-</p>,-0.09,0.09
53,鋼鐵類指數,99.89,20191017,<p style ='color:red'>+</p>,0.15,0.15
54,鋼鐵類指數,99.74,20191016,<p style ='color:red'>+</p>,0.08,0.08
55,鋼鐵類指數,99.66,20191015,<p style ='color:green'>-</p>,-0.1,0.1
56,鋼鐵類指數,99.76,20191014,<p style ='color:red'>+</p>,1.02,1.01
57,鋼鐵類指數,98.75,20191009,<p style ='color:green'>-</p>,-0.69,0.69
58,鋼鐵類指數,99.44,20191008,<p style ='color:red'>+</p>,0.47,0.47
59,鋼鐵類指數,98.97,20191007,<p style ='color:red'>+</p>,0.38,0.37
60,鋼鐵類指數,98.6,20191004,<p style ='color:green'>-</p>,-0.08,0.08
61,鋼鐵類指數,98.68,20191003,<p style ='color:green'>-</p>,-0.46,0.46
62,鋼鐵類指數,99.14,20191002,<p style ='color:green'>-</p>,-0.27,0.27
63,鋼鐵類指數,99.41,20191001,<p style ='color:red'>+</p>,0.02,0.02
64,鋼鐵類指數,99.39,20190927,<p style ='color:green'>-</p>,-0.67,0.67
65,鋼鐵類指數,100.06,20190926,<p style ='color:green'>-</p>,-0.27,0.27
66,鋼鐵類指數,100.33,20190925,<p style ='color:green'>-</p>,-0.94,0.95
