,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,電器電纜類指數,49.33,20191231,<p style ='color:green'>-</p>,-0.40,0.20
1,電器電纜類指數,49.53,20191230,<p style ='color:green'>-</p>,-0.6,0.3
2,電器電纜類指數,49.83,20191227,<p style ='color:red'>+</p>,0.46,0.23
3,電器電纜類指數,49.6,20191226,<p style ='color:green'>-</p>,-0.48,0.24
4,電器電纜類指數,49.84,20191225,<p style ='color:green'>-</p>,-0.91,0.46
5,電器電纜類指數,50.3,20191224,<p style ='color:red'>+</p>,0.6,0.3
6,電器電纜類指數,50.0,20191223,<p style ='color:red'>+</p>,0.62,0.31
7,電器電纜類指數,49.69,20191220,<p style ='color:red'>+</p>,2.14,1.04
8,電器電纜類指數,48.65,20191219,<p style ='color:red'>+</p>,0.25,0.12
9,電器電纜類指數,48.53,20191218,<p style ='color:red'>+</p>,0.54,0.26
10,電器電纜類指數,48.27,20191217,<p style ='color:green'>-</p>,-0.1,0.05
11,電器電纜類指數,48.32,20191216,<p style ='color:red'>+</p>,0.92,0.44
12,電器電纜類指數,47.88,20191213,<p style ='color:red'>+</p>,0.31,0.15
13,電器電纜類指數,47.73,20191212,<p style ='color:red'>+</p>,0.32,0.15
14,電器電纜類指數,47.58,20191211,<p style ='color:red'>+</p>,0.11,0.05
15,電器電纜類指數,47.53,20191210,<p style ='color:green'>-</p>,-0.29,0.14
16,電器電纜類指數,47.67,20191209,<p style ='color:red'>+</p>,0.8,0.38
17,電器電纜類指數,47.29,20191206,<p style ='color:red'>+</p>,0.21,0.1
18,電器電纜類指數,47.19,20191205,<p style ='color:red'>+</p>,0.66,0.31
19,電器電纜類指數,46.88,20191204,<p style ='color:red'>+</p>,0.17,0.08
20,電器電纜類指數,46.8,20191203,<p style ='color:red'>+</p>,0.88,0.41
21,電器電纜類指數,46.39,20191202,<p style ='color:green'>-</p>,-0.94,0.44
22,電器電纜類指數,46.83,20191129,<p style ='color:green'>-</p>,-0.38,0.18
23,電器電纜類指數,47.01,20191128,<p style ='color:red'>+</p>,0.04,0.02
24,電器電纜類指數,46.99,20191127,<p style ='color:red'>+</p>,0.86,0.4
25,電器電纜類指數,46.59,20191126,<p style ='color:green'>-</p>,-0.26,0.12
26,電器電纜類指數,46.71,20191125,<p style ='color:green'>-</p>,-0.38,0.18
27,電器電纜類指數,46.89,20191122,<p style ='color:red'>+</p>,0.93,0.43
28,電器電纜類指數,46.46,20191121,<p style ='color:green'>-</p>,-0.19,0.09
29,電器電纜類指數,46.55,20191120,<p style ='color:red'>+</p>,0.24,0.11
30,電器電纜類指數,46.44,20191119,<p style ='color:green'>-</p>,-0.39,0.18
31,電器電纜類指數,46.62,20191118,<p style ='color:red'>+</p>,0.5,0.23
32,電器電纜類指數,46.39,20191115,<p style ='color:red'>+</p>,0.02,0.01
33,電器電纜類指數,46.38,20191114,<p style ='color:green'>-</p>,-0.62,0.29
34,電器電纜類指數,46.67,20191113,<p style ='color:red'>+</p>,0.63,0.29
35,電器電纜類指數,46.38,20191112,<p style ='color:green'>-</p>,-0.06,0.03
