,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,電子工業類指數,527.82,20191231,<p style ='color:green'>-</p>,-0.59,3.13
1,電子工業類指數,530.95,20191230,<p style ='color:green'>-</p>,-0.46,2.44
2,電子工業類指數,533.39,20191227,<p style ='color:red'>+</p>,0.98,5.19
3,電子工業類指數,528.2,20191226,<p style ='color:green'>-</p>,-0.04,0.19
4,電子工業類指數,528.39,20191225,<p style ='color:red'>+</p>,0.46,2.43
5,電子工業類指數,525.96,20191224,<p style ='color:green'>-</p>,-0.44,2.33
6,電子工業類指數,528.29,20191223,<p style ='color:red'>+</p>,0.61,3.19
7,電子工業類指數,525.1,20191220,<p style ='color:green'>-</p>,-0.97,5.12
8,電子工業類指數,530.22,20191219,<p style ='color:green'>-</p>,-1.36,7.3
9,電子工業類指數,537.52,20191218,<p style ='color:green'>-</p>,-0.01,0.08
10,電子工業類指數,537.6,20191217,<p style ='color:red'>+</p>,1.73,9.12
11,電子工業類指數,528.48,20191216,<p style ='color:red'>+</p>,0.07,0.35
12,電子工業類指數,528.13,20191213,<p style ='color:red'>+</p>,1.04,5.45
13,電子工業類指數,522.68,20191212,<p style ='color:red'>+</p>,1.86,9.55
14,電子工業類指數,513.13,20191211,<p style ='color:red'>+</p>,0.99,5.02
15,電子工業類指數,508.11,20191210,<p style ='color:green'>-</p>,-0.46,2.37
16,電子工業類指數,510.48,20191209,<p style ='color:red'>+</p>,0.80,4.07
17,電子工業類指數,506.41,20191206,<p style ='color:red'>+</p>,0.13,0.67
18,電子工業類指數,505.74,20191205,<p style ='color:red'>+</p>,1.38,6.9
19,電子工業類指數,498.84,20191204,<p style ='color:green'>-</p>,-0.19,0.93
20,電子工業類指數,499.77,20191203,<p style ='color:red'>+</p>,0.33,1.64
21,電子工業類指數,498.13,20191202,<p style ='color:red'>+</p>,0.21,1.03
22,電子工業類指數,497.1,20191129,<p style ='color:green'>-</p>,-1.20,6.06
23,電子工業類指數,503.16,20191128,<p style ='color:green'>-</p>,-0.33,1.68
24,電子工業類指數,504.84,20191127,<p style ='color:red'>+</p>,0.85,4.27
25,電子工業類指數,500.57,20191126,<p style ='color:red'>+</p>,0.05,0.26
26,電子工業類指數,500.31,20191125,<p style ='color:green'>-</p>,-0.29,1.45
27,電子工業類指數,501.76,20191122,<p style ='color:green'>-</p>,-0.10,0.5
28,電子工業類指數,502.26,20191121,<p style ='color:green'>-</p>,-0.66,3.32
29,電子工業類指數,505.58,20191120,<p style ='color:green'>-</p>,-0.41,2.06
30,電子工業類指數,507.64,20191119,<p style ='color:red'>+</p>,0.80,4.04
31,電子工業類指數,503.6,20191118,<p style ='color:red'>+</p>,0.86,4.29
32,電子工業類指數,499.31,20191115,<p style ='color:red'>+</p>,0.86,4.28
