,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,電子通路類指數,117.50,20191122,<p style ='color:red'>+</p>,0.61,0.71
1,電子通路類指數,116.79,20191121,<p style ='color:green'>-</p>,-0.51,0.6
2,電子通路類指數,117.39,20191120,<p style ='color:red'>+</p>,0.1,0.12
3,電子通路類指數,117.27,20191119,<p style ='color:green'>-</p>,-0.26,0.31
4,電子通路類指數,117.58,20191118,<p style ='color:red'>+</p>,0.18,0.21
5,電子通路類指數,117.37,20191115,<p style ='color:green'>-</p>,-0.15,0.18
6,電子通路類指數,117.55,20191114,<p style ='color:red'>+</p>,0.05,0.06
7,電子通路類指數,117.49,20191113,<p style ='color:red'>+</p>,2.03,2.34
8,電子通路類指數,115.15,20191112,<p style ='color:red'>+</p>,0.91,1.04
9,電子通路類指數,114.11,20191111,<p style ='color:red'>+</p>,0.05,0.06
10,電子通路類指數,114.05,20191108,<p style ='color:green'>-</p>,-0.12,0.14
11,電子通路類指數,114.19,20191107,<p style ='color:green'>-</p>,-0.24,0.27
12,電子通路類指數,114.46,20191106,<p style ='color:red'>+</p>,0.26,0.3
13,電子通路類指數,114.16,20191105,<p style ='color:green'>-</p>,-0.12,0.14
14,電子通路類指數,114.3,20191104,<p style ='color:red'>+</p>,0.25,0.28
15,電子通路類指數,114.02,20191101,<p style ='color:red'>+</p>,0.14,0.16
16,電子通路類指數,113.86,20191031,<p style ='color:green'>-</p>,-0.02,0.02
17,電子通路類指數,113.88,20191030,<p style ='color:red'>+</p>,0.45,0.51
18,電子通路類指數,113.37,20191029,<p style ='color:green'>-</p>,-0.45,0.51
19,電子通路類指數,113.88,20191028,<p style ='color:green'>-</p>,-0.03,0.03
20,電子通路類指數,113.91,20191025,<p style ='color:red'>+</p>,0.18,0.2
21,電子通路類指數,113.71,20191024,<p style ='color:red'>+</p>,0.18,0.2
22,電子通路類指數,113.51,20191023,<p style ='color:red'>+</p>,0.51,0.58
23,電子通路類指數,112.93,20191022,<p style ='color:red'>+</p>,0.17,0.19
24,電子通路類指數,112.74,20191021,<p style ='color:red'>+</p>,0.24,0.27
25,電子通路類指數,112.47,20191018,<p style ='color:green'>-</p>,-0.27,0.31
26,電子通路類指數,112.78,20191017,<p style ='color:red'>+</p>,0.17,0.19
27,電子通路類指數,112.59,20191016,<p style ='color:red'>+</p>,0.56,0.63
28,電子通路類指數,111.96,20191015,<p style ='color:red'>+</p>,0.15,0.17
29,電子通路類指數,111.79,20191014,<p style ='color:red'>+</p>,0.24,0.27
30,電子通路類指數,111.52,20191009,<p style ='color:green'>-</p>,-1.1,1.24
31,電子通路類指數,112.76,20191008,<p style ='color:green'>-</p>,-0.57,0.65
32,電子通路類指數,113.41,20191007,<p style ='color:green'>-</p>,-0.81,0.93
33,電子通路類指數,114.34,20191004,<p style ='color:red'>+</p>,0.34,0.39
34,電子通路類指數,113.95,20191003,<p style ='color:green'>-</p>,-0.14,0.16
35,電子通路類指數,114.11,20191002,<p style ='color:green'>-</p>,-0.26,0.3
36,電子通路類指數,114.41,20191001,<p style ='color:red'>+</p>,0.79,0.9
37,電子通路類指數,113.51,20190927,<p style ='color:green'>-</p>,-0.71,0.81
38,電子通路類指數,114.32,20190926,<p style ='color:green'>-</p>,-0.28,0.32
39,電子通路類指數,114.64,20190925,<p style ='color:green'>-</p>,-0.49,0.57
40,電子通路類指數,115.21,20190924,<p style ='color:green'>-</p>,-0.38,0.44
41,電子通路類指數,115.65,20190923,<p style ='color:red'>+</p>,0.19,0.22
42,電子通路類指數,115.43,20190920,<p style ='color:red'>+</p>,0.1,0.11
