,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,電子零組件類指數,110.55,20191122,<p style ='color:green'>-</p>,-0.23,0.25
1,電子零組件類指數,110.8,20191121,<p style ='color:green'>-</p>,-0.12,0.13
2,電子零組件類指數,110.93,20191120,<p style ='color:green'>-</p>,-1.18,1.33
3,電子零組件類指數,112.26,20191119,<p style ='color:red'>+</p>,0.49,0.55
4,電子零組件類指數,111.71,20191118,<p style ='color:red'>+</p>,0.89,0.98
5,電子零組件類指數,110.73,20191115,<p style ='color:green'>-</p>,-0.05,0.05
6,電子零組件類指數,110.78,20191114,<p style ='color:green'>-</p>,-0.02,0.02
7,電子零組件類指數,110.8,20191113,<p style ='color:green'>-</p>,-0.58,0.65
8,電子零組件類指數,111.45,20191112,<p style ='color:red'>+</p>,1.86,2.04
9,電子零組件類指數,109.41,20191111,<p style ='color:green'>-</p>,-2.1,2.35
10,電子零組件類指數,111.76,20191108,<p style ='color:red'>+</p>,0.46,0.51
11,電子零組件類指數,111.25,20191107,<p style ='color:green'>-</p>,-0.3,0.34
12,電子零組件類指數,111.59,20191106,<p style ='color:green'>-</p>,-1.19,1.34
13,電子零組件類指數,112.93,20191105,<p style ='color:red'>+</p>,1.6,1.78
14,電子零組件類指數,111.15,20191104,<p style ='color:red'>+</p>,0.47,0.52
15,電子零組件類指數,110.63,20191101,<p style ='color:red'>+</p>,0.1,0.11
16,電子零組件類指數,110.52,20191031,<p style ='color:green'>-</p>,-0.8,0.89
17,電子零組件類指數,111.41,20191030,<p style ='color:red'>+</p>,1.15,1.27
18,電子零組件類指數,110.14,20191029,<p style ='color:green'>-</p>,-1.62,1.81
19,電子零組件類指數,111.95,20191028,<p style ='color:red'>+</p>,0.61,0.68
20,電子零組件類指數,111.27,20191025,<p style ='color:green'>-</p>,-0.19,0.21
21,電子零組件類指數,111.48,20191024,<p style ='color:red'>+</p>,1.23,1.35
22,電子零組件類指數,110.13,20191023,<p style ='color:green'>-</p>,-0.02,0.02
23,電子零組件類指數,110.15,20191022,<p style ='color:red'>+</p>,1.03,1.12
24,電子零組件類指數,109.03,20191021,<p style ='color:red'>+</p>,0.17,0.19
25,電子零組件類指數,108.84,20191018,<p style ='color:red'>+</p>,0.75,0.81
26,電子零組件類指數,108.03,20191017,<p style ='color:red'>+</p>,1.11,1.19
27,電子零組件類指數,106.84,20191016,<p style ='color:green'>-</p>,-0.43,0.46
28,電子零組件類指數,107.3,20191015,<p style ='color:red'>+</p>,0.02,0.02
29,電子零組件類指數,107.28,20191014,<p style ='color:red'>+</p>,3.12,3.25
30,電子零組件類指數,104.03,20191009,<p style ='color:green'>-</p>,-1.3,1.37
31,電子零組件類指數,105.4,20191008,<p style ='color:green'>-</p>,-0.27,0.29
32,電子零組件類指數,105.69,20191007,<p style ='color:red'>+</p>,1.63,1.7
33,電子零組件類指數,103.99,20191004,<p style ='color:green'>-</p>,-0.38,0.4
34,電子零組件類指數,104.39,20191003,<p style ='color:green'>-</p>,-0.65,0.68
35,電子零組件類指數,105.07,20191002,<p style ='color:red'>+</p>,0.64,0.67
36,電子零組件類指數,104.4,20191001,<p style ='color:red'>+</p>,2.02,2.07
37,電子零組件類指數,102.33,20190927,<p style ='color:green'>-</p>,-1.37,1.42
38,電子零組件類指數,103.75,20190926,<p style ='color:red'>+</p>,0.05,0.05
39,電子零組件類指數,103.7,20190925,<p style ='color:green'>-</p>,-1.5,1.58
40,電子零組件類指數,105.28,20190924,<p style ='color:green'>-</p>,-1.18,1.26
41,電子零組件類指數,106.54,20190923,<p style ='color:red'>+</p>,0.69,0.73
42,電子零組件類指數,105.81,20190920,<p style ='color:green'>-</p>,-0.32,0.34
43,電子零組件類指數,106.15,20190919,<p style ='color:red'>+</p>,0.26,0.27
44,電子零組件類指數,105.88,20190918,<p style ='color:red'>+</p>,0.55,0.58
45,電子零組件類指數,105.3,20190917,<p style ='color:red'>+</p>,0.05,0.05
46,電子零組件類指數,105.25,20190916,<p style ='color:red'>+</p>,0.47,0.49
47,電子零組件類指數,104.76,20190912,<p style ='color:red'>+</p>,1.17,1.21
48,電子零組件類指數,103.55,20190911,<p style ='color:red'>+</p>,0.25,0.26
49,電子零組件類指數,103.29,20190910,<p style ='color:green'>-</p>,-0.67,0.7
50,電子零組件類指數,103.99,20190909,<p style ='color:green'>-</p>,-1.33,1.4
51,電子零組件類指數,105.39,20190906,<p style ='color:green'>-</p>,-0.21,0.22
52,電子零組件類指數,105.61,20190905,<p style ='color:red'>+</p>,1.68,1.74
53,電子零組件類指數,103.87,20190904,<p style ='color:red'>+</p>,0.64,0.66
54,電子零組件類指數,103.21,20190903,<p style ='color:green'>-</p>,-0.57,0.59
55,電子零組件類指數,103.8,20190902,<p style ='color:red'>+</p>,1.34,1.37
56,電子零組件類指數,102.43,20190830,<p style ='color:red'>+</p>,1.82,1.83
57,電子零組件類指數,100.6,20190829,<p style ='color:red'>+</p>,0.39,0.39
58,電子零組件類指數,100.21,20190828,<p style ='color:green'>-</p>,-0.1,0.1
59,電子零組件類指數,100.31,20190827,<p style ='color:red'>+</p>,0.33,0.33
60,電子零組件類指數,99.98,20190826,<p style ='color:green'>-</p>,-3.89,4.05
61,電子零組件類指數,104.03,20190823,<p style ='color:green'>-</p>,-0.29,0.3
62,電子零組件類指數,104.33,20190822,<p style ='color:red'>+</p>,0.61,0.63
63,電子零組件類指數,103.7,20190821,<p style ='color:red'>+</p>,0.07,0.07
64,電子零組件類指數,103.63,20190820,<p style ='color:red'>+</p>,0.61,0.63
65,電子零組件類指數,103.0,20190819,<p style ='color:red'>+</p>,1.45,1.47
66,電子零組件類指數,101.53,20190816,<p style ='color:green'>-</p>,-0.01,0.01
67,電子零組件類指數,101.54,20190815,<p style ='color:green'>-</p>,-0.89,0.91
