,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,電子類兩倍槓桿指數,"16,100.71",20191122,<p style ='color:green'>-</p>,-0.20,32.12
1,電子類兩倍槓桿指數,"16,132.83",20191121,<p style ='color:green'>-</p>,-1.31,214.7
2,電子類兩倍槓桿指數,"16,347.53",20191120,<p style ='color:green'>-</p>,-0.81,133.76
3,電子類兩倍槓桿指數,"16,481.29",20191119,<p style ='color:red'>+</p>,1.60,260.26
4,電子類兩倍槓桿指數,"16,221.03",20191118,<p style ='color:red'>+</p>,1.72,274.03
5,電子類兩倍槓桿指數,"15,947.00",20191115,<p style ='color:red'>+</p>,1.73,271.07
6,電子類兩倍槓桿指數,"15,675.93",20191114,<p style ='color:green'>-</p>,-0.11,17.11
7,電子類兩倍槓桿指數,"15,693.04",20191113,<p style ='color:green'>-</p>,-0.87,137.47
8,電子類兩倍槓桿指數,"15,830.51",20191112,<p style ='color:red'>+</p>,2.48,383.53
9,電子類兩倍槓桿指數,"15,446.98",20191111,<p style ='color:green'>-</p>,-3.28,523.67
10,電子類兩倍槓桿指數,"15,970.65",20191108,<p style ='color:green'>-</p>,-0.61,97.49
11,電子類兩倍槓桿指數,"16,068.14",20191107,<p style ='color:green'>-</p>,-1.18,192.27
12,電子類兩倍槓桿指數,"16,260.41",20191106,<p style ='color:red'>+</p>,0.02,3.23
13,電子類兩倍槓桿指數,"16,257.18",20191105,<p style ='color:red'>+</p>,2.02,321.29
14,電子類兩倍槓桿指數,"15,935.89",20191104,<p style ='color:red'>+</p>,3.64,560.38
15,電子類兩倍槓桿指數,"15,375.51",20191101,<p style ='color:red'>+</p>,1.13,172.23
16,電子類兩倍槓桿指數,"15,203.28",20191031,<p style ='color:green'>-</p>,-0.23,35.61
17,電子類兩倍槓桿指數,"15,238.89",20191030,<p style ='color:red'>+</p>,0.57,86.59
18,電子類兩倍槓桿指數,"15,152.30",20191029,<p style ='color:red'>+</p>,0.67,100.58
19,電子類兩倍槓桿指數,"15,051.72",20191028,<p style ='color:red'>+</p>,0.62,93.46
20,電子類兩倍槓桿指數,"14,958.26",20191025,<p style ='color:green'>-</p>,-0.34,51.46
21,電子類兩倍槓桿指數,"15,009.72",20191024,<p style ='color:red'>+</p>,1.26,187.31
22,電子類兩倍槓桿指數,"14,822.41",20191023,<p style ='color:red'>+</p>,--,0.62
23,電子類兩倍槓桿指數,"14,821.79",20191022,<p style ='color:red'>+</p>,2.05,297.66
24,電子類兩倍槓桿指數,"14,524.13",20191021,<p style ='color:green'>-</p>,-0.57,83.19
25,電子類兩倍槓桿指數,"14,607.32",20191018,<p style ='color:green'>-</p>,-0.08,12.24
26,電子類兩倍槓桿指數,"14,619.56",20191017,<p style ='color:red'>+</p>,0.38,54.97
27,電子類兩倍槓桿指數,"14,564.59",20191016,<p style ='color:red'>+</p>,0.72,104.68
28,電子類兩倍槓桿指數,"14,459.91",20191015,<p style ='color:red'>+</p>,1.08,154.37
29,電子類兩倍槓桿指數,"14,305.54",20191014,<p style ='color:red'>+</p>,3.96,545.14
30,電子類兩倍槓桿指數,"13,760.40",20191009,<p style ='color:green'>-</p>,-2.94,417.16
31,電子類兩倍槓桿指數,"14,177.56",20191008,<p style ='color:red'>+</p>,2.32,321.25
32,電子類兩倍槓桿指數,"13,856.31",20191007,<p style ='color:red'>+</p>,1.15,157.64
33,電子類兩倍槓桿指數,"13,698.67",20191004,<p style ='color:red'>+</p>,0.38,51.46
34,電子類兩倍槓桿指數,"13,647.21",20191003,<p style ='color:green'>-</p>,-1.19,164.24
35,電子類兩倍槓桿指數,"13,811.45",20191002,<p style ='color:green'>-</p>,-0.06,8.93
36,電子類兩倍槓桿指數,"13,820.38",20191001,<p style ='color:red'>+</p>,3.79,504.91
37,電子類兩倍槓桿指數,"13,315.47",20190927,<p style ='color:green'>-</p>,-0.13,17.54
38,電子類兩倍槓桿指數,"13,333.01",20190926,<p style ='color:red'>+</p>,0.35,46.12
39,電子類兩倍槓桿指數,"13,286.89",20190925,<p style ='color:green'>-</p>,-0.7,94.32
40,電子類兩倍槓桿指數,"13,381.21",20190924,<p style ='color:green'>-</p>,-0.03,3.52
41,電子類兩倍槓桿指數,"13,384.73",20190923,<p style ='color:red'>+</p>,0.45,59.63
42,電子類兩倍槓桿指數,"13,325.10",20190920,<p style ='color:red'>+</p>,0.36,47.85
43,電子類兩倍槓桿指數,"13,277.25",20190919,<p style ='color:green'>-</p>,-0.49,65.52
44,電子類兩倍槓桿指數,"13,342.77",20190918,<p style ='color:red'>+</p>,1.31,172.04
45,電子類兩倍槓桿指數,"13,170.73",20190917,<p style ='color:green'>-</p>,-0.18,23.85
46,電子類兩倍槓桿指數,"13,194.58",20190916,<p style ='color:red'>+</p>,1.0,130.25
47,電子類兩倍槓桿指數,"13,064.33",20190912,<p style ='color:red'>+</p>,0.77,100.34
48,電子類兩倍槓桿指數,"12,963.99",20190911,<p style ='color:red'>+</p>,1.09,139.94
49,電子類兩倍槓桿指數,"12,824.05",20190910,<p style ='color:green'>-</p>,-1.87,243.75
50,電子類兩倍槓桿指數,"13,067.80",20190909,<p style ='color:red'>+</p>,0.18,23.14
51,電子類兩倍槓桿指數,"13,044.66",20190906,<p style ='color:red'>+</p>,0.34,44.47
52,電子類兩倍槓桿指數,"13,000.19",20190905,<p style ='color:red'>+</p>,2.43,308.15
53,電子類兩倍槓桿指數,"12,692.04",20190904,<p style ='color:red'>+</p>,2.26,280.48
54,電子類兩倍槓桿指數,"12,411.56",20190903,<p style ='color:green'>-</p>,-1.84,232.98
55,電子類兩倍槓桿指數,"12,644.54",20190902,<p style ='color:red'>+</p>,0.38,48.33
56,電子類兩倍槓桿指數,"12,596.21",20190830,<p style ='color:red'>+</p>,3.26,397.85
57,電子類兩倍槓桿指數,"12,198.36",20190829,<p style ='color:red'>+</p>,0.83,100.31
58,電子類兩倍槓桿指數,"12,098.05",20190828,<p style ='color:red'>+</p>,1.43,170.43
59,電子類兩倍槓桿指數,"11,927.62",20190827,<p style ='color:red'>+</p>,1.19,139.73
60,電子類兩倍槓桿指數,"11,787.89",20190826,<p style ='color:green'>-</p>,-4.31,531.57
61,電子類兩倍槓桿指數,"12,319.46",20190823,<p style ='color:green'>-</p>,-0.13,16.32
62,電子類兩倍槓桿指數,"12,335.78",20190822,<p style ='color:red'>+</p>,0.11,13.5
63,電子類兩倍槓桿指數,"12,322.28",20190821,<p style ='color:red'>+</p>,0.45,55.57
64,電子類兩倍槓桿指數,"12,266.71",20190820,<p style ='color:red'>+</p>,1.07,130.09
65,電子類兩倍槓桿指數,"12,136.62",20190819,<p style ='color:red'>+</p>,2.06,245.39
66,電子類兩倍槓桿指數,"11,891.23",20190816,<p style ='color:red'>+</p>,1.55,181.54
67,電子類兩倍槓桿指數,"11,709.69",20190815,<p style ='color:green'>-</p>,-1.52,180.73
