,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,電子類反向指數,"6,655.73",20191122,<p style ='color:red'>+</p>,0.10,6.62
1,電子類反向指數,"6,649.11",20191121,<p style ='color:red'>+</p>,0.66,43.38
2,電子類反向指數,"6,605.73",20191120,<p style ='color:red'>+</p>,0.41,26.7
3,電子類反向指數,"6,579.03",20191119,<p style ='color:green'>-</p>,-0.80,53.21
4,電子類反向指數,"6,632.24",20191118,<p style ='color:green'>-</p>,-0.86,57.48
5,電子類反向指數,"6,689.72",20191115,<p style ='color:green'>-</p>,-0.86,58.34
6,電子類反向指數,"6,748.06",20191114,<p style ='color:red'>+</p>,0.05,3.68
7,電子類反向指數,"6,744.38",20191113,<p style ='color:red'>+</p>,0.43,29.16
8,電子類反向指數,"6,715.22",20191112,<p style ='color:green'>-</p>,-1.24,84.41
9,電子類反向指數,"6,799.63",20191111,<p style ='color:red'>+</p>,1.64,109.68
10,電子類反向指數,"6,689.95",20191108,<p style ='color:red'>+</p>,0.30,20.23
11,電子類反向指數,"6,669.72",20191107,<p style ='color:red'>+</p>,0.59,39.2
12,電子類反向指數,"6,630.52",20191106,<p style ='color:green'>-</p>,-0.01,0.66
13,電子類反向指數,"6,631.18",20191105,<p style ='color:green'>-</p>,-1.01,67.53
14,電子類反向指數,"6,698.71",20191104,<p style ='color:green'>-</p>,-1.82,124.34
15,電子類反向指數,"6,823.05",20191101,<p style ='color:green'>-</p>,-0.57,38.87
16,電子類反向指數,"6,861.92",20191031,<p style ='color:red'>+</p>,0.12,8.01
17,電子類反向指數,"6,853.91",20191030,<p style ='color:green'>-</p>,-0.29,19.64
18,電子類反向指數,"6,873.55",20191029,<p style ='color:green'>-</p>,-0.33,23.04
19,電子類反向指數,"6,896.59",20191028,<p style ='color:green'>-</p>,-0.31,21.61
20,電子類反向指數,"6,918.20",20191025,<p style ='color:red'>+</p>,0.17,11.84
21,電子類反向指數,"6,906.36",20191024,<p style ='color:green'>-</p>,-0.63,43.92
22,電子類反向指數,"6,950.28",20191023,<p style ='color:green'>-</p>,--,0.14
23,電子類反向指數,"6,950.42",20191022,<p style ='color:green'>-</p>,-1.02,71.96
24,電子類反向指數,"7,022.38",20191021,<p style ='color:red'>+</p>,0.28,19.94
25,電子類反向指數,"7,002.44",20191018,<p style ='color:red'>+</p>,0.04,2.93
26,電子類反向指數,"6,999.51",20191017,<p style ='color:green'>-</p>,-0.19,13.23
27,電子類反向指數,"7,012.74",20191016,<p style ='color:green'>-</p>,-0.36,25.48
28,電子類反向指數,"7,038.22",20191015,<p style ='color:green'>-</p>,-0.54,38.18
29,電子類反向指數,"7,076.40",20191014,<p style ='color:green'>-</p>,-1.98,143.0
30,電子類反向指數,"7,219.40",20191009,<p style ='color:red'>+</p>,1.47,104.67
31,電子類反向指數,"7,114.73",20191008,<p style ='color:green'>-</p>,-1.16,83.44
32,電子類反向指數,"7,198.17",20191007,<p style ='color:green'>-</p>,-0.58,41.66
33,電子類反向指數,"7,239.83",20191004,<p style ='color:green'>-</p>,-0.19,13.68
34,電子類反向指數,"7,253.51",20191003,<p style ='color:red'>+</p>,0.59,42.87
35,電子類反向指數,"7,210.64",20191002,<p style ='color:red'>+</p>,0.03,2.33
36,電子類反向指數,"7,208.31",20191001,<p style ='color:green'>-</p>,-1.9,139.31
37,電子類反向指數,"7,347.62",20190927,<p style ='color:red'>+</p>,0.07,4.83
38,電子類反向指數,"7,342.79",20190926,<p style ='color:green'>-</p>,-0.17,12.76
39,電子類反向指數,"7,355.55",20190925,<p style ='color:red'>+</p>,0.35,25.83
40,電子類反向指數,"7,329.72",20190924,<p style ='color:red'>+</p>,0.01,0.96
41,電子類反向指數,"7,328.76",20190923,<p style ='color:green'>-</p>,-0.22,16.43
42,電子類反向指數,"7,345.19",20190920,<p style ='color:green'>-</p>,-0.18,13.26
