,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,電機機械類指數,174.81,20191122,<p style ='color:green'>-</p>,-0.11,0.19
1,電機機械類指數,175.0,20191121,<p style ='color:green'>-</p>,-0.48,0.85
2,電機機械類指數,175.85,20191120,<p style ='color:green'>-</p>,-0.11,0.20
3,電機機械類指數,176.05,20191119,<p style ='color:red'>+</p>,0.61,1.07
4,電機機械類指數,174.98,20191118,<p style ='color:green'>-</p>,-0.35,0.62
5,電機機械類指數,175.6,20191115,<p style ='color:red'>+</p>,0.97,1.68
6,電機機械類指數,173.92,20191114,,--,--
7,電機機械類指數,173.92,20191113,<p style ='color:green'>-</p>,-0.24,0.41
8,電機機械類指數,174.33,20191112,<p style ='color:red'>+</p>,0.07,0.12
9,電機機械類指數,174.21,20191111,<p style ='color:green'>-</p>,-0.62,1.08
10,電機機械類指數,175.29,20191108,<p style ='color:red'>+</p>,0.19,0.33
11,電機機械類指數,174.96,20191107,<p style ='color:green'>-</p>,-0.34,0.6
12,電機機械類指數,175.56,20191106,<p style ='color:green'>-</p>,-0.77,1.37
13,電機機械類指數,176.93,20191105,<p style ='color:red'>+</p>,0.36,0.64
14,電機機械類指數,176.29,20191104,<p style ='color:red'>+</p>,0.19,0.34
15,電機機械類指數,175.95,20191101,<p style ='color:red'>+</p>,1.3,2.25
16,電機機械類指數,173.7,20191031,<p style ='color:green'>-</p>,-0.18,0.31
17,電機機械類指數,174.01,20191030,<p style ='color:red'>+</p>,0.48,0.83
18,電機機械類指數,173.18,20191029,<p style ='color:green'>-</p>,-0.63,1.1
19,電機機械類指數,174.28,20191028,<p style ='color:red'>+</p>,0.58,1.0
20,電機機械類指數,173.28,20191025,<p style ='color:red'>+</p>,0.55,0.95
21,電機機械類指數,172.33,20191024,<p style ='color:red'>+</p>,0.75,1.28
22,電機機械類指數,171.05,20191023,<p style ='color:green'>-</p>,-0.63,1.09
23,電機機械類指數,172.14,20191022,<p style ='color:green'>-</p>,-0.11,0.19
24,電機機械類指數,172.33,20191021,<p style ='color:green'>-</p>,-0.6,1.04
25,電機機械類指數,173.37,20191018,<p style ='color:red'>+</p>,0.37,0.64
26,電機機械類指數,172.73,20191017,<p style ='color:red'>+</p>,0.02,0.03
27,電機機械類指數,172.7,20191016,<p style ='color:red'>+</p>,0.8,1.37
28,電機機械類指數,171.33,20191015,<p style ='color:red'>+</p>,0.27,0.46
29,電機機械類指數,170.87,20191014,<p style ='color:red'>+</p>,2.66,4.42
30,電機機械類指數,166.45,20191009,<p style ='color:red'>+</p>,0.13,0.21
31,電機機械類指數,166.24,20191008,<p style ='color:green'>-</p>,-0.37,0.61
32,電機機械類指數,166.85,20191007,<p style ='color:green'>-</p>,-0.47,0.78
33,電機機械類指數,167.63,20191004,<p style ='color:green'>-</p>,-0.35,0.59
34,電機機械類指數,168.22,20191003,<p style ='color:green'>-</p>,-0.06,0.1
35,電機機械類指數,168.32,20191002,<p style ='color:green'>-</p>,-0.3,0.5
36,電機機械類指數,168.82,20191001,<p style ='color:red'>+</p>,0.36,0.61
37,電機機械類指數,168.21,20190927,<p style ='color:green'>-</p>,-1.33,2.26
38,電機機械類指數,170.47,20190926,<p style ='color:green'>-</p>,-0.49,0.84
39,電機機械類指數,171.31,20190925,<p style ='color:green'>-</p>,-0.4,0.68
40,電機機械類指數,171.99,20190924,<p style ='color:red'>+</p>,0.02,0.03
41,電機機械類指數,171.96,20190923,<p style ='color:red'>+</p>,0.8,1.36
42,電機機械類指數,170.6,20190920,<p style ='color:red'>+</p>,0.51,0.87
43,電機機械類指數,169.73,20190919,<p style ='color:green'>-</p>,-0.71,1.21
44,電機機械類指數,170.94,20190918,<p style ='color:red'>+</p>,0.13,0.22
45,電機機械類指數,170.72,20190917,<p style ='color:red'>+</p>,0.05,0.09
46,電機機械類指數,170.63,20190916,<p style ='color:green'>-</p>,-0.01,0.01
47,電機機械類指數,170.64,20190912,<p style ='color:red'>+</p>,0.54,0.91
48,電機機械類指數,169.73,20190911,<p style ='color:red'>+</p>,1.88,3.13
49,電機機械類指數,166.6,20190910,<p style ='color:red'>+</p>,1.04,1.72
50,電機機械類指數,164.88,20190909,<p style ='color:green'>-</p>,-0.57,0.95
51,電機機械類指數,165.83,20190906,<p style ='color:red'>+</p>,0.65,1.07
52,電機機械類指數,164.76,20190905,<p style ='color:red'>+</p>,1.14,1.85
53,電機機械類指數,162.91,20190904,<p style ='color:red'>+</p>,0.19,0.31
54,電機機械類指數,162.6,20190903,<p style ='color:green'>-</p>,-0.97,1.59
55,電機機械類指數,164.19,20190902,<p style ='color:red'>+</p>,0.93,1.51
56,電機機械類指數,162.68,20190830,<p style ='color:red'>+</p>,0.67,1.08
57,電機機械類指數,161.6,20190829,<p style ='color:green'>-</p>,-0.3,0.49
58,電機機械類指數,162.09,20190828,<p style ='color:green'>-</p>,-0.39,0.64
59,電機機械類指數,162.73,20190827,<p style ='color:red'>+</p>,0.87,1.4
60,電機機械類指數,161.33,20190826,<p style ='color:green'>-</p>,-2.24,3.7
61,電機機械類指數,165.03,20190823,<p style ='color:green'>-</p>,-0.24,0.39
