,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,電腦及週邊設備類指數,103.89,20191122,<p style ='color:red'>+</p>,0.30,0.31
1,電腦及週邊設備類指數,103.58,20191121,<p style ='color:green'>-</p>,-0.53,0.55
2,電腦及週邊設備類指數,104.13,20191120,<p style ='color:red'>+</p>,0.13,0.14
3,電腦及週邊設備類指數,103.99,20191119,<p style ='color:red'>+</p>,0.7,0.72
4,電腦及週邊設備類指數,103.27,20191118,<p style ='color:red'>+</p>,0.93,0.95
5,電腦及週邊設備類指數,102.32,20191115,<p style ='color:red'>+</p>,0.53,0.54
6,電腦及週邊設備類指數,101.78,20191114,<p style ='color:red'>+</p>,0.77,0.78
7,電腦及週邊設備類指數,101.0,20191113,<p style ='color:green'>-</p>,-0.16,0.16
8,電腦及週邊設備類指數,101.16,20191112,<p style ='color:red'>+</p>,1.03,1.03
9,電腦及週邊設備類指數,100.13,20191111,<p style ='color:green'>-</p>,-1.36,1.38
10,電腦及週邊設備類指數,101.51,20191108,<p style ='color:red'>+</p>,1.49,1.49
11,電腦及週邊設備類指數,100.02,20191107,<p style ='color:green'>-</p>,-0.51,0.51
12,電腦及週邊設備類指數,100.53,20191106,<p style ='color:green'>-</p>,-0.38,0.38
13,電腦及週邊設備類指數,100.91,20191105,<p style ='color:red'>+</p>,0.33,0.33
14,電腦及週邊設備類指數,100.58,20191104,<p style ='color:red'>+</p>,1.07,1.06
15,電腦及週邊設備類指數,99.52,20191101,<p style ='color:red'>+</p>,0.48,0.48
16,電腦及週邊設備類指數,99.04,20191031,<p style ='color:red'>+</p>,0.27,0.27
17,電腦及週邊設備類指數,98.77,20191030,<p style ='color:green'>-</p>,-0.02,0.02
18,電腦及週邊設備類指數,98.79,20191029,<p style ='color:green'>-</p>,-0.3,0.3
19,電腦及週邊設備類指數,99.09,20191028,<p style ='color:red'>+</p>,0.55,0.54
20,電腦及週邊設備類指數,98.55,20191025,<p style ='color:green'>-</p>,-0.09,0.09
21,電腦及週邊設備類指數,98.64,20191024,<p style ='color:red'>+</p>,0.56,0.55
22,電腦及週邊設備類指數,98.09,20191023,<p style ='color:red'>+</p>,0.38,0.37
23,電腦及週邊設備類指數,97.72,20191022,<p style ='color:red'>+</p>,1.47,1.42
24,電腦及週邊設備類指數,96.3,20191021,<p style ='color:red'>+</p>,0.8,0.76
25,電腦及週邊設備類指數,95.54,20191018,<p style ='color:green'>-</p>,-0.28,0.27
26,電腦及週邊設備類指數,95.81,20191017,<p style ='color:red'>+</p>,0.74,0.7
27,電腦及週邊設備類指數,95.11,20191016,<p style ='color:red'>+</p>,0.6,0.57
28,電腦及週邊設備類指數,94.54,20191015,<p style ='color:red'>+</p>,0.32,0.3
29,電腦及週邊設備類指數,94.24,20191014,<p style ='color:red'>+</p>,0.53,0.5
30,電腦及週邊設備類指數,93.74,20191009,<p style ='color:green'>-</p>,-1.06,1.0
31,電腦及週邊設備類指數,94.74,20191008,<p style ='color:red'>+</p>,0.54,0.51
32,電腦及週邊設備類指數,94.23,20191007,<p style ='color:red'>+</p>,0.47,0.44
33,電腦及週邊設備類指數,93.79,20191004,<p style ='color:red'>+</p>,0.05,0.05
34,電腦及週邊設備類指數,93.74,20191003,<p style ='color:green'>-</p>,-0.2,0.19
35,電腦及週邊設備類指數,93.93,20191002,<p style ='color:green'>-</p>,-0.18,0.17
36,電腦及週邊設備類指數,94.1,20191001,<p style ='color:red'>+</p>,0.38,0.36
37,電腦及週邊設備類指數,93.74,20190927,<p style ='color:green'>-</p>,-1.39,1.32
38,電腦及週邊設備類指數,95.06,20190926,<p style ='color:green'>-</p>,-0.24,0.23
39,電腦及週邊設備類指數,95.29,20190925,<p style ='color:green'>-</p>,-0.54,0.52
40,電腦及週邊設備類指數,95.81,20190924,<p style ='color:red'>+</p>,0.62,0.59
41,電腦及週邊設備類指數,95.22,20190923,<p style ='color:red'>+</p>,0.5,0.47
42,電腦及週邊設備類指數,94.75,20190920,<p style ='color:red'>+</p>,0.84,0.79
43,電腦及週邊設備類指數,93.96,20190919,<p style ='color:green'>-</p>,-0.48,0.45
44,電腦及週邊設備類指數,94.41,20190918,<p style ='color:red'>+</p>,0.36,0.34
45,電腦及週邊設備類指數,94.07,20190917,<p style ='color:green'>-</p>,-0.04,0.04
46,電腦及週邊設備類指數,94.11,20190916,<p style ='color:red'>+</p>,0.06,0.06
47,電腦及週邊設備類指數,94.05,20190912,<p style ='color:red'>+</p>,0.3,0.28
48,電腦及週邊設備類指數,93.77,20190911,<p style ='color:red'>+</p>,0.42,0.39
49,電腦及週邊設備類指數,93.38,20190910,<p style ='color:green'>-</p>,-0.53,0.5
50,電腦及週邊設備類指數,93.88,20190909,<p style ='color:green'>-</p>,-0.32,0.3
51,電腦及週邊設備類指數,94.18,20190906,<p style ='color:red'>+</p>,0.52,0.49
52,電腦及週邊設備類指數,93.69,20190905,<p style ='color:red'>+</p>,0.46,0.43
53,電腦及週邊設備類指數,93.26,20190904,<p style ='color:red'>+</p>,1.04,0.96
54,電腦及週邊設備類指數,92.3,20190903,<p style ='color:green'>-</p>,-0.86,0.8
55,電腦及週邊設備類指數,93.1,20190902,<p style ='color:red'>+</p>,0.2,0.19
56,電腦及週邊設備類指數,92.91,20190830,<p style ='color:red'>+</p>,1.37,1.26
57,電腦及週邊設備類指數,91.65,20190829,<p style ='color:red'>+</p>,0.27,0.25
58,電腦及週邊設備類指數,91.4,20190828,<p style ='color:red'>+</p>,0.18,0.16
59,電腦及週邊設備類指數,91.24,20190827,<p style ='color:red'>+</p>,0.73,0.66
60,電腦及週邊設備類指數,90.58,20190826,<p style ='color:green'>-</p>,-1.86,1.72
61,電腦及週邊設備類指數,92.3,20190823,<p style ='color:green'>-</p>,-0.1,0.09
62,電腦及週邊設備類指數,92.39,20190822,<p style ='color:green'>-</p>,-0.22,0.2
63,電腦及週邊設備類指數,92.59,20190821,<p style ='color:red'>+</p>,0.09,0.08
64,電腦及週邊設備類指數,92.51,20190820,<p style ='color:red'>+</p>,0.75,0.69
65,電腦及週邊設備類指數,91.82,20190819,<p style ='color:red'>+</p>,0.64,0.58
66,電腦及週邊設備類指數,91.24,20190816,<p style ='color:red'>+</p>,1.09,0.98
67,電腦及週邊設備類指數,90.26,20190815,<p style ='color:green'>-</p>,-1.12,1.02
