,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,食品類指數,"1,759.11",20191122,<p style ='color:red'>+</p>,0.40,7.07
1,食品類指數,"1,752.04",20191121,<p style ='color:green'>-</p>,-1.16,20.55
2,食品類指數,"1,772.59",20191120,<p style ='color:red'>+</p>,0.38,6.76
3,食品類指數,"1,765.83",20191119,<p style ='color:red'>+</p>,0.1,1.73
4,食品類指數,"1,764.10",20191118,<p style ='color:red'>+</p>,0.83,14.54
5,食品類指數,"1,749.56",20191115,<p style ='color:red'>+</p>,0.57,9.93
6,食品類指數,"1,739.63",20191114,<p style ='color:green'>-</p>,-0.5,8.73
7,食品類指數,"1,748.36",20191113,<p style ='color:green'>-</p>,-0.08,1.32
8,食品類指數,"1,749.68",20191112,<p style ='color:red'>+</p>,0.3,5.29
9,食品類指數,"1,744.39",20191111,<p style ='color:red'>+</p>,0.04,0.7
10,食品類指數,"1,743.69",20191108,<p style ='color:green'>-</p>,-1.18,20.78
11,食品類指數,"1,764.47",20191107,<p style ='color:green'>-</p>,-0.25,4.47
12,食品類指數,"1,768.94",20191106,<p style ='color:green'>-</p>,-1.05,18.81
13,食品類指數,"1,787.75",20191105,<p style ='color:green'>-</p>,-0.17,3.1
14,食品類指數,"1,790.85",20191104,<p style ='color:red'>+</p>,1.83,32.16
15,食品類指數,"1,758.69",20191101,<p style ='color:green'>-</p>,-0.9,16.01
16,食品類指數,"1,774.70",20191031,<p style ='color:green'>-</p>,-0.49,8.81
17,食品類指數,"1,783.51",20191030,<p style ='color:red'>+</p>,0.03,0.56
18,食品類指數,"1,782.95",20191029,<p style ='color:red'>+</p>,0.31,5.59
19,食品類指數,"1,777.36",20191028,<p style ='color:red'>+</p>,0.87,15.25
20,食品類指數,"1,762.11",20191025,<p style ='color:green'>-</p>,-0.04,0.68
21,食品類指數,"1,762.79",20191024,<p style ='color:red'>+</p>,1.33,23.1
22,食品類指數,"1,739.69",20191023,<p style ='color:green'>-</p>,-1.38,24.41
23,食品類指數,"1,764.10",20191022,<p style ='color:red'>+</p>,0.46,8.0
24,食品類指數,"1,756.10",20191021,<p style ='color:red'>+</p>,0.89,15.48
25,食品類指數,"1,740.62",20191018,<p style ='color:red'>+</p>,0.66,11.49
26,食品類指數,"1,729.13",20191017,<p style ='color:green'>-</p>,-0.08,1.41
27,食品類指數,"1,730.54",20191016,<p style ='color:red'>+</p>,0.39,6.71
28,食品類指數,"1,723.83",20191015,<p style ='color:red'>+</p>,0.53,9.06
29,食品類指數,"1,714.77",20191014,<p style ='color:green'>-</p>,-0.28,4.81
30,食品類指數,"1,719.58",20191009,<p style ='color:green'>-</p>,-1.07,18.64
31,食品類指數,"1,738.22",20191008,<p style ='color:green'>-</p>,-0.26,4.51
32,食品類指數,"1,742.73",20191007,<p style ='color:red'>+</p>,0.04,0.73
33,食品類指數,"1,742.00",20191004,<p style ='color:red'>+</p>,0.34,5.93
34,食品類指數,"1,736.07",20191003,<p style ='color:green'>-</p>,-0.31,5.37
35,食品類指數,"1,741.44",20191002,<p style ='color:red'>+</p>,0.15,2.68
36,食品類指數,"1,738.76",20191001,<p style ='color:green'>-</p>,-1.15,20.23
37,食品類指數,"1,758.99",20190927,<p style ='color:green'>-</p>,-1.39,24.8
